[2025-07-29T21:50:05.905+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data manual__2025-07-29T21:50:03.460170+00:00 [queued]>
[2025-07-29T21:50:05.910+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data manual__2025-07-29T21:50:03.460170+00:00 [queued]>
[2025-07-29T21:50:05.910+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 1
[2025-07-29T21:50:05.916+0000] {taskinstance.py:1380} INFO - Executing <Task(KafkaProduceOperator): generate_txn_fact_data> on 2025-07-29 21:50:03.460170+00:00
[2025-07-29T21:50:05.919+0000] {standard_task_runner.py:57} INFO - Started process 375 to run task
[2025-07-29T21:50:05.921+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'manual__2025-07-29T21:50:03.460170+00:00', '--job-id', '570', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator.py', '--cfg-path', '/tmp/tmp1lv7lq46']
[2025-07-29T21:50:05.926+0000] {standard_task_runner.py:85} INFO - Job 570: Subtask generate_txn_fact_data
[2025-07-29T21:50:05.946+0000] {task_command.py:415} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data manual__2025-07-29T21:50:03.460170+00:00 [running]> on host 3acd6421b4eb
[2025-07-29T21:50:05.984+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='GGCODE' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2025-07-29T21:50:03.460170+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-07-29T21:50:03.460170+00:00'
[2025-07-29T21:50:05.986+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.19.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.19.0.3', 9092) IPv4]
[2025-07-29T21:50:05.987+0000] {conn.py:618} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <checking_api_versions_recv> [IPv4 ('172.19.0.3', 9092)]>: Broker version identified as 2.5
[2025-07-29T21:50:05.987+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.19.0.3', 9092)]>: Connection complete.
[2025-07-29T21:50:06.092+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.19.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.19.0.3', 9092) IPv4]
[2025-07-29T21:50:06.092+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connected> [IPv4 ('172.19.0.3', 9092)]>: Connection complete.
[2025-07-29T21:50:06.092+0000] {conn.py:945} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.19.0.3', 9092)]>: Closing connection. 
[2025-07-29T21:50:06.093+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000001', 'transaction_date': 1749765005988, 'account_id': 'A00067', 'customer_id': 'C00003', 'transaction_type': 'Deposit', 'currency': 'EUR', 'branch_id': 'B00051', 'transaction_amount': 68602.82, 'exchange_rate': 0.262}
[2025-07-29T21:50:06.094+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000002', 'transaction_date': 1727473806094, 'account_id': 'A00025', 'customer_id': 'C00040', 'transaction_type': 'Withdraw', 'currency': 'USD', 'branch_id': 'B00080', 'transaction_amount': 80066.43, 'exchange_rate': 0.4868}
[2025-07-29T21:50:06.094+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000003', 'transaction_date': 1741816206094, 'account_id': 'A00100', 'customer_id': 'C00077', 'transaction_type': 'Credit', 'currency': 'EUR', 'branch_id': 'B00010', 'transaction_amount': 97723.5, 'exchange_rate': 1.1328}
[2025-07-29T21:50:06.095+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000004', 'transaction_date': 1744062606095, 'account_id': 'A00085', 'customer_id': 'C00002', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00023', 'transaction_amount': 75209.98, 'exchange_rate': 0.2221}
[2025-07-29T21:50:06.095+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000005', 'transaction_date': 1744235406095, 'account_id': 'A00068', 'customer_id': 'C00095', 'transaction_type': 'Debit', 'currency': 'USD', 'branch_id': 'B00037', 'transaction_amount': 17163.9, 'exchange_rate': 1.2071}
[2025-07-29T21:50:06.096+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000006', 'transaction_date': 1740001806096, 'account_id': 'A00077', 'customer_id': 'C00007', 'transaction_type': 'Credit', 'currency': 'EUR', 'branch_id': 'B00064', 'transaction_amount': 9745.05, 'exchange_rate': 1.0895}
[2025-07-29T21:50:06.096+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000007', 'transaction_date': 1739397006096, 'account_id': 'A00049', 'customer_id': 'C00014', 'transaction_type': 'Deposit', 'currency': 'EUR', 'branch_id': 'B00086', 'transaction_amount': 36294.48, 'exchange_rate': 1.2655}
[2025-07-29T21:50:06.097+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000008', 'transaction_date': 1747518606097, 'account_id': 'A00099', 'customer_id': 'C00067', 'transaction_type': 'Deposit', 'currency': 'EUR', 'branch_id': 'B00078', 'transaction_amount': 18583.76, 'exchange_rate': 1.4224}
[2025-07-29T21:50:06.097+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000009', 'transaction_date': 1722376206097, 'account_id': 'A00081', 'customer_id': 'C00011', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00037', 'transaction_amount': 48833.08, 'exchange_rate': 0.6487}
[2025-07-29T21:50:06.097+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000010', 'transaction_date': 1735336206097, 'account_id': 'A00012', 'customer_id': 'C00080', 'transaction_type': 'Credit', 'currency': 'USD', 'branch_id': 'B00060', 'transaction_amount': 41180.43, 'exchange_rate': 0.1555}
[2025-07-29T21:50:06.098+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000011', 'transaction_date': 1732398606098, 'account_id': 'A00099', 'customer_id': 'C00041', 'transaction_type': 'Transfer', 'currency': 'USD', 'branch_id': 'B00021', 'transaction_amount': 96478.54, 'exchange_rate': 0.6096}
[2025-07-29T21:50:06.098+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000012', 'transaction_date': 1747259406098, 'account_id': 'A00025', 'customer_id': 'C00100', 'transaction_type': 'Credit', 'currency': 'GBP', 'branch_id': 'B00081', 'transaction_amount': 74865.13, 'exchange_rate': 1.4239}
