[2025-07-29T21:50:05.933+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data manual__2025-07-29T21:50:04.465692+00:00 [queued]>
[2025-07-29T21:50:05.936+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data manual__2025-07-29T21:50:04.465692+00:00 [queued]>
[2025-07-29T21:50:05.938+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 1
[2025-07-29T21:50:05.944+0000] {taskinstance.py:1380} INFO - Executing <Task(KafkaProduceOperator): generate_txn_fact_data> on 2025-07-29 21:50:04.465692+00:00
[2025-07-29T21:50:05.946+0000] {standard_task_runner.py:57} INFO - Started process 377 to run task
[2025-07-29T21:50:05.948+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'manual__2025-07-29T21:50:04.465692+00:00', '--job-id', '572', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator.py', '--cfg-path', '/tmp/tmpvrcdsfh2']
[2025-07-29T21:50:05.949+0000] {standard_task_runner.py:85} INFO - Job 572: Subtask generate_txn_fact_data
[2025-07-29T21:50:05.971+0000] {task_command.py:415} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data manual__2025-07-29T21:50:04.465692+00:00 [running]> on host 3acd6421b4eb
[2025-07-29T21:50:06.003+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='GGCODE' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2025-07-29T21:50:04.465692+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-07-29T21:50:04.465692+00:00'
[2025-07-29T21:50:06.007+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.19.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.19.0.3', 9092) IPv4]
[2025-07-29T21:50:06.009+0000] {conn.py:618} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <checking_api_versions_recv> [IPv4 ('172.19.0.3', 9092)]>: Broker version identified as 2.5
[2025-07-29T21:50:06.009+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.19.0.3', 9092)]>: Connection complete.
[2025-07-29T21:50:06.111+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.19.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.19.0.3', 9092) IPv4]
[2025-07-29T21:50:06.111+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connected> [IPv4 ('172.19.0.3', 9092)]>: Connection complete.
[2025-07-29T21:50:06.111+0000] {conn.py:945} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.19.0.3', 9092)]>: Closing connection. 
[2025-07-29T21:50:06.112+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000001', 'transaction_date': 1752961806010, 'account_id': 'A00031', 'customer_id': 'C00020', 'transaction_type': 'Credit', 'currency': 'GBP', 'branch_id': 'B00033', 'transaction_amount': 23028.4, 'exchange_rate': 1.2358}
[2025-07-29T21:50:06.112+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000002', 'transaction_date': 1723585806112, 'account_id': 'A00005', 'customer_id': 'C00003', 'transaction_type': 'Transfer', 'currency': 'USD', 'branch_id': 'B00098', 'transaction_amount': 1887.38, 'exchange_rate': 1.4049}
[2025-07-29T21:50:06.113+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000003', 'transaction_date': 1751579406113, 'account_id': 'A00064', 'customer_id': 'C00099', 'transaction_type': 'Deposit', 'currency': 'GBP', 'branch_id': 'B00083', 'transaction_amount': 33337.34, 'exchange_rate': 1.1381}
[2025-07-29T21:50:06.113+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000004', 'transaction_date': 1752529806113, 'account_id': 'A00019', 'customer_id': 'C00030', 'transaction_type': 'Withdraw', 'currency': 'EUR', 'branch_id': 'B00089', 'transaction_amount': 94069.35, 'exchange_rate': 0.4257}
[2025-07-29T21:50:06.114+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000005', 'transaction_date': 1748382606114, 'account_id': 'A00079', 'customer_id': 'C00019', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00092', 'transaction_amount': 5820.79, 'exchange_rate': 1.1376}
[2025-07-29T21:50:06.114+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000006', 'transaction_date': 1739569806114, 'account_id': 'A00043', 'customer_id': 'C00097', 'transaction_type': 'Withdraw', 'currency': 'GBP', 'branch_id': 'B00081', 'transaction_amount': 31148.24, 'exchange_rate': 0.0007}
[2025-07-29T21:50:06.114+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000007', 'transaction_date': 1741902606114, 'account_id': 'A00066', 'customer_id': 'C00023', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00034', 'transaction_amount': 60220.67, 'exchange_rate': 0.7538}
[2025-07-29T21:50:06.115+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000008', 'transaction_date': 1732917006115, 'account_id': 'A00071', 'customer_id': 'C00015', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00092', 'transaction_amount': 14885.97, 'exchange_rate': 0.854}
[2025-07-29T21:50:06.115+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000009', 'transaction_date': 1733867406115, 'account_id': 'A00095', 'customer_id': 'C00010', 'transaction_type': 'Credit', 'currency': 'USD', 'branch_id': 'B00075', 'transaction_amount': 54969.04, 'exchange_rate': 1.3471}
[2025-07-29T21:50:06.116+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000010', 'transaction_date': 1731102606116, 'account_id': 'A00059', 'customer_id': 'C00094', 'transaction_type': 'Credit', 'currency': 'GBP', 'branch_id': 'B00016', 'transaction_amount': 56241.15, 'exchange_rate': 0.9777}
[2025-07-29T21:50:06.116+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000011', 'transaction_date': 1741470606116, 'account_id': 'A00008', 'customer_id': 'C00043', 'transaction_type': 'Debit', 'currency': 'USD', 'branch_id': 'B00096', 'transaction_amount': 43891.82, 'exchange_rate': 0.4483}
[2025-07-29T21:50:06.116+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000012', 'transaction_date': 1749765006116, 'account_id': 'A00061', 'customer_id': 'C00043', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00014', 'transaction_amount': 19086.66, 'exchange_rate': 0.537}
