[2025-07-29T22:11:56.610+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data manual__2025-07-29T22:11:55.921554+00:00 [queued]>
[2025-07-29T22:11:56.615+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data manual__2025-07-29T22:11:55.921554+00:00 [queued]>
[2025-07-29T22:11:56.615+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 1
[2025-07-29T22:11:56.621+0000] {taskinstance.py:1380} INFO - Executing <Task(KafkaProduceOperator): generate_txn_fact_data> on 2025-07-29 22:11:55.921554+00:00
[2025-07-29T22:11:56.624+0000] {standard_task_runner.py:57} INFO - Started process 395 to run task
[2025-07-29T22:11:56.626+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'manual__2025-07-29T22:11:55.921554+00:00', '--job-id', '592', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator.py', '--cfg-path', '/tmp/tmpxq3b1z9w']
[2025-07-29T22:11:56.628+0000] {standard_task_runner.py:85} INFO - Job 592: Subtask generate_txn_fact_data
[2025-07-29T22:11:56.657+0000] {task_command.py:415} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data manual__2025-07-29T22:11:55.921554+00:00 [running]> on host 931bde20eb1e
[2025-07-29T22:11:56.697+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='GGCODE' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2025-07-29T22:11:55.921554+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-07-29T22:11:55.921554+00:00'
[2025-07-29T22:11:56.698+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.19.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.19.0.3', 9092) IPv4]
[2025-07-29T22:11:56.699+0000] {conn.py:618} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <checking_api_versions_recv> [IPv4 ('172.19.0.3', 9092)]>: Broker version identified as 2.5
[2025-07-29T22:11:56.700+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.19.0.3', 9092)]>: Connection complete.
[2025-07-29T22:11:56.802+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.19.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.19.0.3', 9092) IPv4]
[2025-07-29T22:11:56.802+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connected> [IPv4 ('172.19.0.3', 9092)]>: Connection complete.
[2025-07-29T22:11:56.802+0000] {conn.py:945} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.19.0.3', 9092)]>: Closing connection. 
[2025-07-29T22:11:56.803+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000001', 'transaction_date': 1727129516700, 'account_id': 'A00045', 'customer_id': 'C00051', 'transaction_type': 'Withdraw', 'currency': 'EUR', 'branch_id': 'B00098', 'transaction_amount': 78842.75, 'exchange_rate': 0.6599}
[2025-07-29T22:11:56.803+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000002', 'transaction_date': 1727043116803, 'account_id': 'A00083', 'customer_id': 'C00030', 'transaction_type': 'Credit', 'currency': 'GBP', 'branch_id': 'B00004', 'transaction_amount': 51111.67, 'exchange_rate': 0.6396}
[2025-07-29T22:11:56.804+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000003', 'transaction_date': 1750889516804, 'account_id': 'A00000', 'customer_id': 'C00015', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00015', 'transaction_amount': 84144.64, 'exchange_rate': 1.2104}
[2025-07-29T22:11:56.804+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000004', 'transaction_date': 1748729516804, 'account_id': 'A00021', 'customer_id': 'C00053', 'transaction_type': 'Credit', 'currency': 'GBP', 'branch_id': 'B00066', 'transaction_amount': 85250.49, 'exchange_rate': 1.1776}
[2025-07-29T22:11:56.805+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000005', 'transaction_date': 1742595116805, 'account_id': 'A00078', 'customer_id': 'C00099', 'transaction_type': 'Credit', 'currency': 'EUR', 'branch_id': 'B00070', 'transaction_amount': 99568.16, 'exchange_rate': 0.6709}
[2025-07-29T22:11:56.805+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000006', 'transaction_date': 1738102316805, 'account_id': 'A00016', 'customer_id': 'C00079', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00076', 'transaction_amount': 8175.02, 'exchange_rate': 0.7831}
[2025-07-29T22:11:56.806+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000007', 'transaction_date': 1729807916806, 'account_id': 'A00080', 'customer_id': 'C00008', 'transaction_type': 'Credit', 'currency': 'USD', 'branch_id': 'B00087', 'transaction_amount': 2370.87, 'exchange_rate': 0.8692}
[2025-07-29T22:11:56.806+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000008', 'transaction_date': 1749507116806, 'account_id': 'A00054', 'customer_id': 'C00001', 'transaction_type': 'Credit', 'currency': 'GBP', 'branch_id': 'B00089', 'transaction_amount': 48105.51, 'exchange_rate': 0.8194}
[2025-07-29T22:11:56.807+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000009', 'transaction_date': 1753654316806, 'account_id': 'A00029', 'customer_id': 'C00076', 'transaction_type': 'Debit', 'currency': 'USD', 'branch_id': 'B00031', 'transaction_amount': 5916.61, 'exchange_rate': 1.2102}
[2025-07-29T22:11:56.807+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000010', 'transaction_date': 1753395116807, 'account_id': 'A00021', 'customer_id': 'C00099', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00086', 'transaction_amount': 59181.68, 'exchange_rate': 0.743}
[2025-07-29T22:11:56.808+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000011', 'transaction_date': 1728339116808, 'account_id': 'A00027', 'customer_id': 'C00066', 'transaction_type': 'Withdraw', 'currency': 'GBP', 'branch_id': 'B00032', 'transaction_amount': 24547.52, 'exchange_rate': 0.6733}
[2025-07-29T22:11:56.808+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000012', 'transaction_date': 1744755116808, 'account_id': 'A00016', 'customer_id': 'C00069', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00079', 'transaction_amount': 2609.83, 'exchange_rate': 0.141}
[2025-07-29T22:11:56.809+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000013', 'transaction_date': 1747087916808, 'account_id': 'A00070', 'customer_id': 'C00095', 'transaction_type': 'Withdraw', 'currency': 'USD', 'branch_id': 'B00047', 'transaction_amount': 79014.17, 'exchange_rate': 0.2867}
[2025-07-29T22:11:56.809+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000014', 'transaction_date': 1750457516809, 'account_id': 'A00087', 'customer_id': 'C00095', 'transaction_type': 'Transfer', 'currency': 'EUR', 'branch_id': 'B00072', 'transaction_amount': 48849.73, 'exchange_rate': 0.5179}
[2025-07-29T22:11:56.809+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000015', 'transaction_date': 1752963116809, 'account_id': 'A00097', 'customer_id': 'C00066', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00063', 'transaction_amount': 62461.96, 'exchange_rate': 0.882}
[2025-07-29T22:11:56.810+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000016', 'transaction_date': 1726179116810, 'account_id': 'A00085', 'customer_id': 'C00094', 'transaction_type': 'Transfer', 'currency': 'USD', 'branch_id': 'B00009', 'transaction_amount': 72776.4, 'exchange_rate': 0.4899}
[2025-07-29T22:11:56.810+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000017', 'transaction_date': 1734127916810, 'account_id': 'A00033', 'customer_id': 'C00071', 'transaction_type': 'Transfer', 'currency': 'EUR', 'branch_id': 'B00017', 'transaction_amount': 83360.79, 'exchange_rate': 1.1902}
[2025-07-29T22:11:56.811+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000018', 'transaction_date': 1749161516811, 'account_id': 'A00020', 'customer_id': 'C00084', 'transaction_type': 'Transfer', 'currency': 'USD', 'branch_id': 'B00005', 'transaction_amount': 63608.27, 'exchange_rate': 0.7194}
[2025-07-29T22:11:56.811+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000019', 'transaction_date': 1747606316811, 'account_id': 'A00066', 'customer_id': 'C00065', 'transaction_type': 'Credit', 'currency': 'GBP', 'branch_id': 'B00039', 'transaction_amount': 49812.85, 'exchange_rate': 0.7925}
[2025-07-29T22:11:56.812+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000020', 'transaction_date': 1733004716812, 'account_id': 'A00016', 'customer_id': 'C00047', 'transaction_type': 'Debit', 'currency': 'USD', 'branch_id': 'B00016', 'transaction_amount': 80229.9, 'exchange_rate': 0.4097}
[2025-07-29T22:11:56.812+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000021', 'transaction_date': 1732918316812, 'account_id': 'A00029', 'customer_id': 'C00033', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00063', 'transaction_amount': 86705.68, 'exchange_rate': 0.5374}
[2025-07-29T22:11:56.813+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000022', 'transaction_date': 1731967916813, 'account_id': 'A00054', 'customer_id': 'C00008', 'transaction_type': 'Withdraw', 'currency': 'GBP', 'branch_id': 'B00047', 'transaction_amount': 13044.93, 'exchange_rate': 1.1548}
[2025-07-29T22:11:56.813+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000023', 'transaction_date': 1735078316813, 'account_id': 'A00038', 'customer_id': 'C00053', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00067', 'transaction_amount': 55884.88, 'exchange_rate': 0.6622}
[2025-07-29T22:11:56.814+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000024', 'transaction_date': 1724191916814, 'account_id': 'A00082', 'customer_id': 'C00034', 'transaction_type': 'Credit', 'currency': 'USD', 'branch_id': 'B00058', 'transaction_amount': 50038.54, 'exchange_rate': 0.2002}
[2025-07-29T22:11:56.814+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000025', 'transaction_date': 1732918316814, 'account_id': 'A00003', 'customer_id': 'C00002', 'transaction_type': 'Deposit', 'currency': 'GBP', 'branch_id': 'B00078', 'transaction_amount': 95170.02, 'exchange_rate': 0.3201}
[2025-07-29T22:11:56.815+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000026', 'transaction_date': 1728079916815, 'account_id': 'A00098', 'customer_id': 'C00076', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00056', 'transaction_amount': 41263.67, 'exchange_rate': 0.2817}
[2025-07-29T22:11:56.815+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000027', 'transaction_date': 1730067116815, 'account_id': 'A00029', 'customer_id': 'C00018', 'transaction_type': 'Credit', 'currency': 'GBP', 'branch_id': 'B00003', 'transaction_amount': 6409.72, 'exchange_rate': 0.3764}
[2025-07-29T22:11:56.816+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000028', 'transaction_date': 1731535916816, 'account_id': 'A00072', 'customer_id': 'C00092', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00041', 'transaction_amount': 11317.35, 'exchange_rate': 0.8702}
[2025-07-29T22:11:56.816+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000029', 'transaction_date': 1750543916816, 'account_id': 'A00092', 'customer_id': 'C00053', 'transaction_type': 'Deposit', 'currency': 'EUR', 'branch_id': 'B00010', 'transaction_amount': 47717.44, 'exchange_rate': 1.0829}
[2025-07-29T22:11:56.817+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000030', 'transaction_date': 1742854316817, 'account_id': 'A00089', 'customer_id': 'C00067', 'transaction_type': 'Withdraw', 'currency': 'GBP', 'branch_id': 'B00037', 'transaction_amount': 34371.92, 'exchange_rate': 0.3476}
[2025-07-29T22:11:56.817+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000031', 'transaction_date': 1731190316817, 'account_id': 'A00076', 'customer_id': 'C00080', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00071', 'transaction_amount': 85905.04, 'exchange_rate': 1.032}
[2025-07-29T22:11:56.818+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000032', 'transaction_date': 1727475116818, 'account_id': 'A00084', 'customer_id': 'C00078', 'transaction_type': 'Deposit', 'currency': 'GBP', 'branch_id': 'B00007', 'transaction_amount': 16930.96, 'exchange_rate': 1.1809}
[2025-07-29T22:11:56.818+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000033', 'transaction_date': 1749852716818, 'account_id': 'A00047', 'customer_id': 'C00080', 'transaction_type': 'Debit', 'currency': 'USD', 'branch_id': 'B00032', 'transaction_amount': 28898.77, 'exchange_rate': 1.4862}
[2025-07-29T22:11:56.819+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000034', 'transaction_date': 1747865516819, 'account_id': 'A00061', 'customer_id': 'C00030', 'transaction_type': 'Withdraw', 'currency': 'USD', 'branch_id': 'B00056', 'transaction_amount': 59090.99, 'exchange_rate': 1.1156}
[2025-07-29T22:11:56.819+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000035', 'transaction_date': 1745964716819, 'account_id': 'A00055', 'customer_id': 'C00012', 'transaction_type': 'Deposit', 'currency': 'GBP', 'branch_id': 'B00100', 'transaction_amount': 89819.55, 'exchange_rate': 0.9795}
[2025-07-29T22:11:56.820+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000036', 'transaction_date': 1751062316820, 'account_id': 'A00059', 'customer_id': 'C00065', 'transaction_type': 'Transfer', 'currency': 'EUR', 'branch_id': 'B00037', 'transaction_amount': 61257.84, 'exchange_rate': 0.75}
[2025-07-29T22:11:56.820+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000037', 'transaction_date': 1742767916820, 'account_id': 'A00056', 'customer_id': 'C00030', 'transaction_type': 'Debit', 'currency': 'USD', 'branch_id': 'B00061', 'transaction_amount': 32940.96, 'exchange_rate': 1.1033}
[2025-07-29T22:11:56.821+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000038', 'transaction_date': 1743631916821, 'account_id': 'A00004', 'customer_id': 'C00087', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00093', 'transaction_amount': 16581.82, 'exchange_rate': 0.1135}
[2025-07-29T22:11:56.821+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000039', 'transaction_date': 1741299116821, 'account_id': 'A00047', 'customer_id': 'C00082', 'transaction_type': 'Withdraw', 'currency': 'USD', 'branch_id': 'B00024', 'transaction_amount': 70613.95, 'exchange_rate': 0.2012}
[2025-07-29T22:11:56.822+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000040', 'transaction_date': 1740262316822, 'account_id': 'A00002', 'customer_id': 'C00015', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00042', 'transaction_amount': 21733.11, 'exchange_rate': 0.6117}
[2025-07-29T22:11:56.823+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000041', 'transaction_date': 1746396716822, 'account_id': 'A00066', 'customer_id': 'C00003', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00068', 'transaction_amount': 52876.65, 'exchange_rate': 0.463}
[2025-07-29T22:11:56.823+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000042', 'transaction_date': 1725574316823, 'account_id': 'A00006', 'customer_id': 'C00010', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00013', 'transaction_amount': 14369.95, 'exchange_rate': 1.3566}
[2025-07-29T22:11:56.824+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000043', 'transaction_date': 1725315116824, 'account_id': 'A00035', 'customer_id': 'C00003', 'transaction_type': 'Deposit', 'currency': 'EUR', 'branch_id': 'B00004', 'transaction_amount': 42782.99, 'exchange_rate': 1.4778}
[2025-07-29T22:11:56.824+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000044', 'transaction_date': 1736892716824, 'account_id': 'A00065', 'customer_id': 'C00084', 'transaction_type': 'Transfer', 'currency': 'EUR', 'branch_id': 'B00097', 'transaction_amount': 44358.92, 'exchange_rate': 0.1848}
[2025-07-29T22:11:56.825+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000045', 'transaction_date': 1736979116825, 'account_id': 'A00099', 'customer_id': 'C00078', 'transaction_type': 'Transfer', 'currency': 'EUR', 'branch_id': 'B00011', 'transaction_amount': 8513.98, 'exchange_rate': 0.0785}
[2025-07-29T22:11:56.826+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000046', 'transaction_date': 1737065516825, 'account_id': 'A00083', 'customer_id': 'C00058', 'transaction_type': 'Credit', 'currency': 'GBP', 'branch_id': 'B00020', 'transaction_amount': 2512.89, 'exchange_rate': 1.4573}
[2025-07-29T22:11:56.827+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000047', 'transaction_date': 1750371116826, 'account_id': 'A00033', 'customer_id': 'C00023', 'transaction_type': 'Transfer', 'currency': 'EUR', 'branch_id': 'B00050', 'transaction_amount': 88377.43, 'exchange_rate': 0.8589}
[2025-07-29T22:11:56.827+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000048', 'transaction_date': 1747087916827, 'account_id': 'A00047', 'customer_id': 'C00016', 'transaction_type': 'Credit', 'currency': 'USD', 'branch_id': 'B00028', 'transaction_amount': 37876.02, 'exchange_rate': 0.8181}
[2025-07-29T22:11:56.827+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000049', 'transaction_date': 1743027116827, 'account_id': 'A00037', 'customer_id': 'C00000', 'transaction_type': 'Credit', 'currency': 'GBP', 'branch_id': 'B00040', 'transaction_amount': 23675.61, 'exchange_rate': 1.2284}
[2025-07-29T22:11:56.828+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000050', 'transaction_date': 1731967916828, 'account_id': 'A00010', 'customer_id': 'C00021', 'transaction_type': 'Credit', 'currency': 'GBP', 'branch_id': 'B00047', 'transaction_amount': 39458.91, 'exchange_rate': 0.0501}
[2025-07-29T22:11:56.829+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000051', 'transaction_date': 1741299116829, 'account_id': 'A00011', 'customer_id': 'C00034', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00038', 'transaction_amount': 50590.94, 'exchange_rate': 0.5119}
[2025-07-29T22:11:56.830+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000052', 'transaction_date': 1734732716830, 'account_id': 'A00077', 'customer_id': 'C00060', 'transaction_type': 'Credit', 'currency': 'USD', 'branch_id': 'B00036', 'transaction_amount': 14151.2, 'exchange_rate': 1.3332}
[2025-07-29T22:11:56.830+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000053', 'transaction_date': 1750025516830, 'account_id': 'A00096', 'customer_id': 'C00098', 'transaction_type': 'Deposit', 'currency': 'EUR', 'branch_id': 'B00091', 'transaction_amount': 33470.24, 'exchange_rate': 0.9796}
