[2025-07-28T22:46:55.133+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-03-20T00:00:00+00:00 [queued]>
[2025-07-28T22:46:55.145+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-03-20T00:00:00+00:00 [queued]>
[2025-07-28T22:46:55.146+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 1
[2025-07-28T22:46:55.194+0000] {taskinstance.py:1380} INFO - Executing <Task(KafkaProduceOperator): generate_txn_fact_data> on 2025-03-20 00:00:00+00:00
[2025-07-28T22:46:55.200+0000] {standard_task_runner.py:57} INFO - Started process 253 to run task
[2025-07-28T22:46:55.204+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'scheduled__2025-03-20T00:00:00+00:00', '--job-id', '416', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator.py', '--cfg-path', '/tmp/tmpl7826wsj']
[2025-07-28T22:46:55.213+0000] {standard_task_runner.py:85} INFO - Job 416: Subtask generate_txn_fact_data
[2025-07-28T22:46:55.310+0000] {task_command.py:415} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-03-20T00:00:00+00:00 [running]> on host 3d064542141b
[2025-07-28T22:46:55.452+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='GGCODE' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2025-03-20T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-03-20T00:00:00+00:00'
[2025-07-28T22:46:55.458+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.19.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.19.0.3', 9092) IPv4]
[2025-07-28T22:46:55.468+0000] {conn.py:618} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <checking_api_versions_recv> [IPv4 ('172.19.0.3', 9092)]>: Broker version identified as 2.5
[2025-07-28T22:46:55.473+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.19.0.3', 9092)]>: Connection complete.
[2025-07-28T22:46:55.579+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.19.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.19.0.3', 9092) IPv4]
[2025-07-28T22:46:55.580+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connected> [IPv4 ('172.19.0.3', 9092)]>: Connection complete.
[2025-07-28T22:46:55.580+0000] {conn.py:945} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.19.0.3', 9092)]>: Closing connection. 
[2025-07-28T22:46:55.790+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000001', 'transaction_date': 1733870815480, 'account_id': 'A00040', 'customer_id': 'C00084', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00098', 'transaction_amount': 27312.02, 'exchange_rate': 0.9498}
[2025-07-28T22:46:55.791+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000002', 'transaction_date': 1725490015791, 'account_id': 'A00055', 'customer_id': 'C00014', 'transaction_type': 'Withdraw', 'currency': 'EUR', 'branch_id': 'B00007', 'transaction_amount': 62824.52, 'exchange_rate': 1.1313}
[2025-07-28T22:46:55.794+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000003', 'transaction_date': 1738104415794, 'account_id': 'A00023', 'customer_id': 'C00096', 'transaction_type': 'Withdraw', 'currency': 'GBP', 'branch_id': 'B00038', 'transaction_amount': 52074.63, 'exchange_rate': 0.511}
[2025-07-28T22:46:55.796+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000004', 'transaction_date': 1729205215796, 'account_id': 'A00056', 'customer_id': 'C00060', 'transaction_type': 'Withdraw', 'currency': 'USD', 'branch_id': 'B00051', 'transaction_amount': 56631.48, 'exchange_rate': 1.4169}
[2025-07-28T22:46:55.797+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000005', 'transaction_date': 1740696415797, 'account_id': 'A00076', 'customer_id': 'C00070', 'transaction_type': 'Credit', 'currency': 'USD', 'branch_id': 'B00052', 'transaction_amount': 90815.71, 'exchange_rate': 0.0996}
[2025-07-28T22:46:55.799+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000006', 'transaction_date': 1753138015799, 'account_id': 'A00078', 'customer_id': 'C00048', 'transaction_type': 'Credit', 'currency': 'EUR', 'branch_id': 'B00051', 'transaction_amount': 52245.98, 'exchange_rate': 0.0215}
[2025-07-28T22:46:55.801+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000007', 'transaction_date': 1742165215800, 'account_id': 'A00031', 'customer_id': 'C00056', 'transaction_type': 'Transfer', 'currency': 'EUR', 'branch_id': 'B00089', 'transaction_amount': 9569.51, 'exchange_rate': 0.6566}
[2025-07-28T22:46:55.802+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000008', 'transaction_date': 1728168415801, 'account_id': 'A00002', 'customer_id': 'C00088', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00044', 'transaction_amount': 96571.44, 'exchange_rate': 0.0203}
[2025-07-28T22:46:55.803+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000009', 'transaction_date': 1733957215803, 'account_id': 'A00031', 'customer_id': 'C00057', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00094', 'transaction_amount': 22008.09, 'exchange_rate': 0.5796}
[2025-07-28T22:46:55.805+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000010', 'transaction_date': 1747522015805, 'account_id': 'A00033', 'customer_id': 'C00083', 'transaction_type': 'Credit', 'currency': 'GBP', 'branch_id': 'B00076', 'transaction_amount': 81655.23, 'exchange_rate': 1.4548}
[2025-07-28T22:46:55.805+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000011', 'transaction_date': 1731278815805, 'account_id': 'A00028', 'customer_id': 'C00040', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00074', 'transaction_amount': 70705.98, 'exchange_rate': 0.6988}
[2025-07-28T22:46:55.807+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000012', 'transaction_date': 1731192415806, 'account_id': 'A00051', 'customer_id': 'C00050', 'transaction_type': 'Credit', 'currency': 'GBP', 'branch_id': 'B00087', 'transaction_amount': 58881.19, 'exchange_rate': 0.4944}
[2025-07-28T22:46:55.808+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000013', 'transaction_date': 1744325215808, 'account_id': 'A00037', 'customer_id': 'C00097', 'transaction_type': 'Credit', 'currency': 'GBP', 'branch_id': 'B00016', 'transaction_amount': 79607.4, 'exchange_rate': 1.1005}
[2025-07-28T22:46:55.810+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000014', 'transaction_date': 1725490015810, 'account_id': 'A00013', 'customer_id': 'C00067', 'transaction_type': 'Deposit', 'currency': 'GBP', 'branch_id': 'B00092', 'transaction_amount': 55776.25, 'exchange_rate': 1.4523}
[2025-07-28T22:46:55.812+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000015', 'transaction_date': 1739400415812, 'account_id': 'A00004', 'customer_id': 'C00094', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00021', 'transaction_amount': 78791.81, 'exchange_rate': 1.4262}
[2025-07-28T22:46:55.813+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000016', 'transaction_date': 1728254815813, 'account_id': 'A00075', 'customer_id': 'C00100', 'transaction_type': 'Withdraw', 'currency': 'GBP', 'branch_id': 'B00095', 'transaction_amount': 35320.7, 'exchange_rate': 0.8248}
[2025-07-28T22:46:55.814+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000017', 'transaction_date': 1750632415814, 'account_id': 'A00045', 'customer_id': 'C00080', 'transaction_type': 'Withdraw', 'currency': 'USD', 'branch_id': 'B00064', 'transaction_amount': 16623.17, 'exchange_rate': 0.1203}
[2025-07-28T22:46:55.816+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000018', 'transaction_date': 1731365215816, 'account_id': 'A00041', 'customer_id': 'C00054', 'transaction_type': 'Debit', 'currency': 'USD', 'branch_id': 'B00090', 'transaction_amount': 67475.74, 'exchange_rate': 0.3788}
