[2025-07-28T22:46:55.139+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-03-21T00:00:00+00:00 [queued]>
[2025-07-28T22:46:55.155+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-03-21T00:00:00+00:00 [queued]>
[2025-07-28T22:46:55.155+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 1
[2025-07-28T22:46:55.195+0000] {taskinstance.py:1380} INFO - Executing <Task(KafkaProduceOperator): generate_txn_fact_data> on 2025-03-21 00:00:00+00:00
[2025-07-28T22:46:55.203+0000] {standard_task_runner.py:57} INFO - Started process 255 to run task
[2025-07-28T22:46:55.208+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'scheduled__2025-03-21T00:00:00+00:00', '--job-id', '421', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator.py', '--cfg-path', '/tmp/tmp40choil2']
[2025-07-28T22:46:55.217+0000] {standard_task_runner.py:85} INFO - Job 421: Subtask generate_txn_fact_data
[2025-07-28T22:46:55.334+0000] {task_command.py:415} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-03-21T00:00:00+00:00 [running]> on host 3d064542141b
[2025-07-28T22:46:55.461+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='GGCODE' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2025-03-21T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-03-21T00:00:00+00:00'
[2025-07-28T22:46:55.467+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.19.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.19.0.3', 9092) IPv4]
[2025-07-28T22:46:55.471+0000] {conn.py:618} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <checking_api_versions_recv> [IPv4 ('172.19.0.3', 9092)]>: Broker version identified as 2.5
[2025-07-28T22:46:55.473+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.19.0.3', 9092)]>: Connection complete.
[2025-07-28T22:46:55.588+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.19.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.19.0.3', 9092) IPv4]
[2025-07-28T22:46:55.590+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connected> [IPv4 ('172.19.0.3', 9092)]>: Connection complete.
[2025-07-28T22:46:55.591+0000] {conn.py:945} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.19.0.3', 9092)]>: Closing connection. 
[2025-07-28T22:46:55.602+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000001', 'transaction_date': 1739227615481, 'account_id': 'A00012', 'customer_id': 'C00050', 'transaction_type': 'Withdraw', 'currency': 'USD', 'branch_id': 'B00018', 'transaction_amount': 46228.44, 'exchange_rate': 1.1373}
[2025-07-28T22:46:55.609+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000002', 'transaction_date': 1738536415606, 'account_id': 'A00057', 'customer_id': 'C00039', 'transaction_type': 'Deposit', 'currency': 'EUR', 'branch_id': 'B00089', 'transaction_amount': 65696.43, 'exchange_rate': 0.4129}
[2025-07-28T22:46:55.611+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000003', 'transaction_date': 1740264415611, 'account_id': 'A00080', 'customer_id': 'C00057', 'transaction_type': 'Withdraw', 'currency': 'EUR', 'branch_id': 'B00100', 'transaction_amount': 5173.44, 'exchange_rate': 0.3985}
[2025-07-28T22:46:55.615+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000004', 'transaction_date': 1747954015615, 'account_id': 'A00031', 'customer_id': 'C00074', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00075', 'transaction_amount': 37082.1, 'exchange_rate': 0.4792}
[2025-07-28T22:46:55.615+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000005', 'transaction_date': 1732056415615, 'account_id': 'A00036', 'customer_id': 'C00060', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00010', 'transaction_amount': 43366.56, 'exchange_rate': 0.0513}
[2025-07-28T22:46:55.616+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000006', 'transaction_date': 1747435615616, 'account_id': 'A00084', 'customer_id': 'C00038', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00052', 'transaction_amount': 7345.71, 'exchange_rate': 1.3004}
[2025-07-28T22:46:55.617+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000007', 'transaction_date': 1723243615616, 'account_id': 'A00049', 'customer_id': 'C00022', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00055', 'transaction_amount': 76490.13, 'exchange_rate': 1.0879}
[2025-07-28T22:46:55.612+0000] {sender.py:471} WARNING - <Sender client_id=kafka-python-producer-1 transactional_id=None>: Got error produce response on topic-partition ('transaction_facts', 0), retrying (inf attempts left). Error: <class 'kafka.errors.NotLeaderForPartitionError'>
[2025-07-28T22:46:55.619+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000008', 'transaction_date': 1730069215619, 'account_id': 'A00033', 'customer_id': 'C00049', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00003', 'transaction_amount': 28466.22, 'exchange_rate': 1.2625}
[2025-07-28T22:46:55.621+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000009', 'transaction_date': 1726440415620, 'account_id': 'A00094', 'customer_id': 'C00049', 'transaction_type': 'Deposit', 'currency': 'GBP', 'branch_id': 'B00068', 'transaction_amount': 44158.91, 'exchange_rate': 0.5482}
[2025-07-28T22:46:55.621+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000010', 'transaction_date': 1723243615621, 'account_id': 'A00096', 'customer_id': 'C00023', 'transaction_type': 'Deposit', 'currency': 'EUR', 'branch_id': 'B00027', 'transaction_amount': 95880.62, 'exchange_rate': 0.1178}
[2025-07-28T22:46:55.623+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000011', 'transaction_date': 1724366815623, 'account_id': 'A00065', 'customer_id': 'C00018', 'transaction_type': 'Withdraw', 'currency': 'GBP', 'branch_id': 'B00092', 'transaction_amount': 12852.48, 'exchange_rate': 0.7439}
[2025-07-28T22:46:55.623+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000012', 'transaction_date': 1740523615623, 'account_id': 'A00051', 'customer_id': 'C00031', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00097', 'transaction_amount': 9555.37, 'exchange_rate': 0.7703}
[2025-07-28T22:46:55.623+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000013', 'transaction_date': 1746744415623, 'account_id': 'A00037', 'customer_id': 'C00004', 'transaction_type': 'Credit', 'currency': 'EUR', 'branch_id': 'B00028', 'transaction_amount': 62304.5, 'exchange_rate': 0.6289}
[2025-07-28T22:46:55.624+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000014', 'transaction_date': 1731106015623, 'account_id': 'A00074', 'customer_id': 'C00051', 'transaction_type': 'Credit', 'currency': 'EUR', 'branch_id': 'B00049', 'transaction_amount': 28255.67, 'exchange_rate': 0.7182}
[2025-07-28T22:46:55.624+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000015', 'transaction_date': 1740610015624, 'account_id': 'A00059', 'customer_id': 'C00048', 'transaction_type': 'Withdraw', 'currency': 'GBP', 'branch_id': 'B00002', 'transaction_amount': 65832.14, 'exchange_rate': 0.1745}
[2025-07-28T22:46:55.625+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000016', 'transaction_date': 1735339615625, 'account_id': 'A00061', 'customer_id': 'C00005', 'transaction_type': 'Transfer', 'currency': 'EUR', 'branch_id': 'B00006', 'transaction_amount': 26956.13, 'exchange_rate': 0.4607}
[2025-07-28T22:46:55.628+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000017', 'transaction_date': 1727131615628, 'account_id': 'A00045', 'customer_id': 'C00055', 'transaction_type': 'Deposit', 'currency': 'EUR', 'branch_id': 'B00029', 'transaction_amount': 31344.49, 'exchange_rate': 0.6717}
[2025-07-28T22:46:55.630+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000018', 'transaction_date': 1734043615630, 'account_id': 'A00033', 'customer_id': 'C00070', 'transaction_type': 'Withdraw', 'currency': 'USD', 'branch_id': 'B00019', 'transaction_amount': 45311.34, 'exchange_rate': 1.2193}
