[2025-07-28T22:46:56.088+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-03-29T00:00:00+00:00 [queued]>
[2025-07-28T22:46:56.094+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-03-29T00:00:00+00:00 [queued]>
[2025-07-28T22:46:56.095+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 1
[2025-07-28T22:46:56.102+0000] {taskinstance.py:1380} INFO - Executing <Task(KafkaProduceOperator): generate_txn_fact_data> on 2025-03-29 00:00:00+00:00
[2025-07-28T22:46:56.105+0000] {standard_task_runner.py:57} INFO - Started process 287 to run task
[2025-07-28T22:46:56.107+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'scheduled__2025-03-29T00:00:00+00:00', '--job-id', '431', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator.py', '--cfg-path', '/tmp/tmppec7izmn']
[2025-07-28T22:46:56.110+0000] {standard_task_runner.py:85} INFO - Job 431: Subtask generate_txn_fact_data
[2025-07-28T22:46:56.139+0000] {task_command.py:415} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-03-29T00:00:00+00:00 [running]> on host 3d064542141b
[2025-07-28T22:46:56.168+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='GGCODE' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2025-03-29T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-03-29T00:00:00+00:00'
[2025-07-28T22:46:56.169+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.19.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.19.0.3', 9092) IPv4]
[2025-07-28T22:46:56.170+0000] {conn.py:618} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <checking_api_versions_recv> [IPv4 ('172.19.0.3', 9092)]>: Broker version identified as 2.5
[2025-07-28T22:46:56.170+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.19.0.3', 9092)]>: Connection complete.
[2025-07-28T22:46:56.273+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.19.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.19.0.3', 9092) IPv4]
[2025-07-28T22:46:56.273+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connected> [IPv4 ('172.19.0.3', 9092)]>: Connection complete.
[2025-07-28T22:46:56.273+0000] {conn.py:945} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.19.0.3', 9092)]>: Closing connection. 
[2025-07-28T22:46:56.274+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000001', 'transaction_date': 1736117216171, 'account_id': 'A00065', 'customer_id': 'C00061', 'transaction_type': 'Transfer', 'currency': 'USD', 'branch_id': 'B00010', 'transaction_amount': 68837.75, 'exchange_rate': 1.2685}
[2025-07-28T22:46:56.275+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000002', 'transaction_date': 1722984416274, 'account_id': 'A00023', 'customer_id': 'C00082', 'transaction_type': 'Debit', 'currency': 'USD', 'branch_id': 'B00016', 'transaction_amount': 81753.51, 'exchange_rate': 0.8347}
[2025-07-28T22:46:56.275+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000003', 'transaction_date': 1729810016275, 'account_id': 'A00011', 'customer_id': 'C00037', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00028', 'transaction_amount': 75233.66, 'exchange_rate': 0.3576}
[2025-07-28T22:46:56.275+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000004', 'transaction_date': 1734994016275, 'account_id': 'A00039', 'customer_id': 'C00076', 'transaction_type': 'Credit', 'currency': 'EUR', 'branch_id': 'B00003', 'transaction_amount': 27156.61, 'exchange_rate': 1.0798}
[2025-07-28T22:46:56.276+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000005', 'transaction_date': 1744584416276, 'account_id': 'A00026', 'customer_id': 'C00044', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00028', 'transaction_amount': 44969.59, 'exchange_rate': 0.7208}
[2025-07-28T22:46:56.276+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000006', 'transaction_date': 1748731616276, 'account_id': 'A00073', 'customer_id': 'C00030', 'transaction_type': 'Credit', 'currency': 'EUR', 'branch_id': 'B00026', 'transaction_amount': 17813.78, 'exchange_rate': 0.1662}
[2025-07-28T22:46:56.277+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000007', 'transaction_date': 1743979616277, 'account_id': 'A00012', 'customer_id': 'C00047', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00075', 'transaction_amount': 91479.37, 'exchange_rate': 0.7396}
[2025-07-28T22:46:56.277+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000008', 'transaction_date': 1748645216277, 'account_id': 'A00084', 'customer_id': 'C00085', 'transaction_type': 'Withdraw', 'currency': 'GBP', 'branch_id': 'B00072', 'transaction_amount': 54524.08, 'exchange_rate': 1.2809}
[2025-07-28T22:46:56.278+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000009', 'transaction_date': 1742078816278, 'account_id': 'A00022', 'customer_id': 'C00036', 'transaction_type': 'Credit', 'currency': 'GBP', 'branch_id': 'B00039', 'transaction_amount': 70397.4, 'exchange_rate': 0.1431}
[2025-07-28T22:46:56.279+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000010', 'transaction_date': 1732142816278, 'account_id': 'A00066', 'customer_id': 'C00031', 'transaction_type': 'Withdraw', 'currency': 'EUR', 'branch_id': 'B00014', 'transaction_amount': 84366.87, 'exchange_rate': 0.3346}
[2025-07-28T22:46:56.279+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000011', 'transaction_date': 1731365216279, 'account_id': 'A00029', 'customer_id': 'C00041', 'transaction_type': 'Transfer', 'currency': 'USD', 'branch_id': 'B00067', 'transaction_amount': 55360.57, 'exchange_rate': 0.0633}
[2025-07-28T22:46:56.279+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000012', 'transaction_date': 1749163616279, 'account_id': 'A00084', 'customer_id': 'C00099', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00003', 'transaction_amount': 10978.57, 'exchange_rate': 0.5121}
