[2025-07-28T22:47:10.719+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-04-14T00:00:00+00:00 [queued]>
[2025-07-28T22:47:10.725+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-04-14T00:00:00+00:00 [queued]>
[2025-07-28T22:47:10.726+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 1
[2025-07-28T22:47:10.770+0000] {taskinstance.py:1380} INFO - Executing <Task(KafkaProduceOperator): generate_txn_fact_data> on 2025-04-14 00:00:00+00:00
[2025-07-28T22:47:10.773+0000] {standard_task_runner.py:57} INFO - Started process 368 to run task
[2025-07-28T22:47:10.776+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'scheduled__2025-04-14T00:00:00+00:00', '--job-id', '447', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator.py', '--cfg-path', '/tmp/tmp2uzgt09v']
[2025-07-28T22:47:10.778+0000] {standard_task_runner.py:85} INFO - Job 447: Subtask generate_txn_fact_data
[2025-07-28T22:47:10.813+0000] {task_command.py:415} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-04-14T00:00:00+00:00 [running]> on host 3d064542141b
[2025-07-28T22:47:10.862+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='GGCODE' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2025-04-14T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-04-14T00:00:00+00:00'
[2025-07-28T22:47:10.865+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.19.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.19.0.3', 9092) IPv4]
[2025-07-28T22:47:10.868+0000] {conn.py:618} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <checking_api_versions_recv> [IPv4 ('172.19.0.3', 9092)]>: Broker version identified as 2.5
[2025-07-28T22:47:10.870+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.19.0.3', 9092)]>: Connection complete.
[2025-07-28T22:47:10.978+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.19.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.19.0.3', 9092) IPv4]
[2025-07-28T22:47:10.979+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connected> [IPv4 ('172.19.0.3', 9092)]>: Connection complete.
[2025-07-28T22:47:10.979+0000] {conn.py:945} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.19.0.3', 9092)]>: Closing connection. 
[2025-07-28T22:47:10.982+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000001', 'transaction_date': 1740178030875, 'account_id': 'A00090', 'customer_id': 'C00019', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00016', 'transaction_amount': 99122.69, 'exchange_rate': 0.3419}
[2025-07-28T22:47:10.983+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000002', 'transaction_date': 1727218030983, 'account_id': 'A00049', 'customer_id': 'C00051', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00055', 'transaction_amount': 77795.49, 'exchange_rate': 0.3304}
[2025-07-28T22:47:10.984+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000003', 'transaction_date': 1740869230984, 'account_id': 'A00088', 'customer_id': 'C00081', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00025', 'transaction_amount': 64082.03, 'exchange_rate': 1.1158}
[2025-07-28T22:47:10.985+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000004', 'transaction_date': 1734907630985, 'account_id': 'A00015', 'customer_id': 'C00073', 'transaction_type': 'Withdraw', 'currency': 'USD', 'branch_id': 'B00018', 'transaction_amount': 30166.25, 'exchange_rate': 1.365}
[2025-07-28T22:47:10.987+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000005', 'transaction_date': 1726699630987, 'account_id': 'A00016', 'customer_id': 'C00076', 'transaction_type': 'Withdraw', 'currency': 'EUR', 'branch_id': 'B00036', 'transaction_amount': 92874.89, 'exchange_rate': 0.5025}
[2025-07-28T22:47:10.988+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000006', 'transaction_date': 1741560430988, 'account_id': 'A00088', 'customer_id': 'C00010', 'transaction_type': 'Withdraw', 'currency': 'EUR', 'branch_id': 'B00069', 'transaction_amount': 27759.21, 'exchange_rate': 1.2164}
[2025-07-28T22:47:10.989+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000007', 'transaction_date': 1744066030989, 'account_id': 'A00016', 'customer_id': 'C00004', 'transaction_type': 'Deposit', 'currency': 'EUR', 'branch_id': 'B00041', 'transaction_amount': 65502.95, 'exchange_rate': 1.1074}
[2025-07-28T22:47:10.990+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000008', 'transaction_date': 1753742830989, 'account_id': 'A00046', 'customer_id': 'C00073', 'transaction_type': 'Credit', 'currency': 'GBP', 'branch_id': 'B00033', 'transaction_amount': 96255.17, 'exchange_rate': 0.5597}
[2025-07-28T22:47:10.990+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000009', 'transaction_date': 1726958830990, 'account_id': 'A00045', 'customer_id': 'C00006', 'transaction_type': 'Credit', 'currency': 'EUR', 'branch_id': 'B00023', 'transaction_amount': 87976.81, 'exchange_rate': 0.1889}
[2025-07-28T22:47:10.991+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000010', 'transaction_date': 1739227630990, 'account_id': 'A00075', 'customer_id': 'C00011', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00011', 'transaction_amount': 31651.37, 'exchange_rate': 0.293}
[2025-07-28T22:47:10.991+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000011', 'transaction_date': 1741646830991, 'account_id': 'A00022', 'customer_id': 'C00040', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00100', 'transaction_amount': 36804.11, 'exchange_rate': 0.0017}
[2025-07-28T22:47:10.991+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000012', 'transaction_date': 1727390830991, 'account_id': 'A00066', 'customer_id': 'C00050', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00083', 'transaction_amount': 71470.52, 'exchange_rate': 0.5453}
