[2025-07-28T22:47:24.191+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-05-28T00:00:00+00:00 [queued]>
[2025-07-28T22:47:24.197+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-05-28T00:00:00+00:00 [queued]>
[2025-07-28T22:47:24.197+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 1
[2025-07-28T22:47:24.228+0000] {taskinstance.py:1380} INFO - Executing <Task(KafkaProduceOperator): generate_txn_fact_data> on 2025-05-28 00:00:00+00:00
[2025-07-28T22:47:24.231+0000] {standard_task_runner.py:57} INFO - Started process 501 to run task
[2025-07-28T22:47:24.234+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'scheduled__2025-05-28T00:00:00+00:00', '--job-id', '491', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator.py', '--cfg-path', '/tmp/tmpzcxwhxeb']
[2025-07-28T22:47:24.235+0000] {standard_task_runner.py:85} INFO - Job 491: Subtask generate_txn_fact_data
[2025-07-28T22:47:24.268+0000] {task_command.py:415} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-05-28T00:00:00+00:00 [running]> on host 3d064542141b
[2025-07-28T22:47:24.419+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='GGCODE' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2025-05-28T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-28T00:00:00+00:00'
[2025-07-28T22:47:24.423+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.19.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.19.0.3', 9092) IPv4]
[2025-07-28T22:47:24.430+0000] {conn.py:618} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <checking_api_versions_recv> [IPv4 ('172.19.0.3', 9092)]>: Broker version identified as 2.5
[2025-07-28T22:47:24.430+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.19.0.3', 9092)]>: Connection complete.
[2025-07-28T22:47:24.536+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.19.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.19.0.3', 9092) IPv4]
[2025-07-28T22:47:24.538+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connected> [IPv4 ('172.19.0.3', 9092)]>: Connection complete.
[2025-07-28T22:47:24.540+0000] {conn.py:945} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.19.0.3', 9092)]>: Closing connection. 
[2025-07-28T22:47:24.543+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000001', 'transaction_date': 1731106044432, 'account_id': 'A00002', 'customer_id': 'C00006', 'transaction_type': 'Withdraw', 'currency': 'EUR', 'branch_id': 'B00024', 'transaction_amount': 94932.83, 'exchange_rate': 1.2505}
[2025-07-28T22:47:24.545+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000002', 'transaction_date': 1743979644545, 'account_id': 'A00017', 'customer_id': 'C00066', 'transaction_type': 'Credit', 'currency': 'EUR', 'branch_id': 'B00100', 'transaction_amount': 35159.0, 'exchange_rate': 0.1977}
[2025-07-28T22:47:24.548+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000003', 'transaction_date': 1724453244547, 'account_id': 'A00014', 'customer_id': 'C00065', 'transaction_type': 'Transfer', 'currency': 'EUR', 'branch_id': 'B00056', 'transaction_amount': 52348.03, 'exchange_rate': 0.8079}
[2025-07-28T22:47:24.552+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000004', 'transaction_date': 1732747644551, 'account_id': 'A00056', 'customer_id': 'C00087', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00037', 'transaction_amount': 30781.63, 'exchange_rate': 0.8781}
[2025-07-28T22:47:24.563+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000005', 'transaction_date': 1746139644563, 'account_id': 'A00091', 'customer_id': 'C00022', 'transaction_type': 'Withdraw', 'currency': 'EUR', 'branch_id': 'B00098', 'transaction_amount': 21387.95, 'exchange_rate': 0.0145}
[2025-07-28T22:47:24.568+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000006', 'transaction_date': 1725230844565, 'account_id': 'A00071', 'customer_id': 'C00040', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00056', 'transaction_amount': 72885.27, 'exchange_rate': 1.337}
[2025-07-28T22:47:24.571+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000007', 'transaction_date': 1732661244571, 'account_id': 'A00083', 'customer_id': 'C00002', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00005', 'transaction_amount': 29280.14, 'exchange_rate': 0.6377}
[2025-07-28T22:47:24.573+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000008', 'transaction_date': 1743115644573, 'account_id': 'A00028', 'customer_id': 'C00016', 'transaction_type': 'Withdraw', 'currency': 'EUR', 'branch_id': 'B00000', 'transaction_amount': 85518.67, 'exchange_rate': 0.9848}
[2025-07-28T22:47:24.575+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000009', 'transaction_date': 1750891644575, 'account_id': 'A00006', 'customer_id': 'C00039', 'transaction_type': 'Withdraw', 'currency': 'GBP', 'branch_id': 'B00026', 'transaction_amount': 57475.37, 'exchange_rate': 1.2877}
[2025-07-28T22:47:24.576+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000010', 'transaction_date': 1722811644576, 'account_id': 'A00033', 'customer_id': 'C00023', 'transaction_type': 'Transfer', 'currency': 'USD', 'branch_id': 'B00045', 'transaction_amount': 22322.24, 'exchange_rate': 1.2791}
[2025-07-28T22:47:24.578+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000011', 'transaction_date': 1738277244578, 'account_id': 'A00066', 'customer_id': 'C00093', 'transaction_type': 'Credit', 'currency': 'GBP', 'branch_id': 'B00004', 'transaction_amount': 79907.8, 'exchange_rate': 1.0517}
[2025-07-28T22:47:24.582+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000012', 'transaction_date': 1730674044582, 'account_id': 'A00047', 'customer_id': 'C00041', 'transaction_type': 'Credit', 'currency': 'USD', 'branch_id': 'B00080', 'transaction_amount': 5088.38, 'exchange_rate': 0.1014}
[2025-07-28T22:47:24.586+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000013', 'transaction_date': 1735426044585, 'account_id': 'A00048', 'customer_id': 'C00070', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00078', 'transaction_amount': 25838.25, 'exchange_rate': 0.1011}
[2025-07-28T22:47:24.587+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000014', 'transaction_date': 1743634044587, 'account_id': 'A00058', 'customer_id': 'C00013', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00059', 'transaction_amount': 28785.03, 'exchange_rate': 0.4409}
[2025-07-28T22:47:24.589+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000015', 'transaction_date': 1752965244589, 'account_id': 'A00086', 'customer_id': 'C00003', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00041', 'transaction_amount': 7301.66, 'exchange_rate': 1.2856}
[2025-07-28T22:47:24.590+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000016', 'transaction_date': 1735685244590, 'account_id': 'A00024', 'customer_id': 'C00095', 'transaction_type': 'Debit', 'currency': 'USD', 'branch_id': 'B00089', 'transaction_amount': 3541.53, 'exchange_rate': 0.7465}
[2025-07-28T22:47:24.592+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000017', 'transaction_date': 1738709244592, 'account_id': 'A00067', 'customer_id': 'C00021', 'transaction_type': 'Credit', 'currency': 'EUR', 'branch_id': 'B00065', 'transaction_amount': 88678.18, 'exchange_rate': 0.252}
[2025-07-28T22:47:24.593+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000018', 'transaction_date': 1748299644593, 'account_id': 'A00040', 'customer_id': 'C00014', 'transaction_type': 'Debit', 'currency': 'USD', 'branch_id': 'B00046', 'transaction_amount': 87346.27, 'exchange_rate': 1.0813}
[2025-07-28T22:47:24.594+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000019', 'transaction_date': 1751323644594, 'account_id': 'A00032', 'customer_id': 'C00055', 'transaction_type': 'Transfer', 'currency': 'EUR', 'branch_id': 'B00001', 'transaction_amount': 82543.24, 'exchange_rate': 0.0444}
[2025-07-28T22:47:24.595+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000020', 'transaction_date': 1751410044594, 'account_id': 'A00016', 'customer_id': 'C00057', 'transaction_type': 'Withdraw', 'currency': 'USD', 'branch_id': 'B00042', 'transaction_amount': 20546.34, 'exchange_rate': 0.0644}
[2025-07-28T22:47:24.598+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000021', 'transaction_date': 1741819644598, 'account_id': 'A00080', 'customer_id': 'C00053', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00033', 'transaction_amount': 56328.76, 'exchange_rate': 0.1665}
[2025-07-28T22:47:24.600+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000022', 'transaction_date': 1750718844600, 'account_id': 'A00095', 'customer_id': 'C00063', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00082', 'transaction_amount': 72808.64, 'exchange_rate': 0.8789}
[2025-07-28T22:47:24.603+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000023', 'transaction_date': 1733870844603, 'account_id': 'A00017', 'customer_id': 'C00093', 'transaction_type': 'Credit', 'currency': 'GBP', 'branch_id': 'B00007', 'transaction_amount': 71140.97, 'exchange_rate': 0.3154}
[2025-07-28T22:47:24.605+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000024', 'transaction_date': 1747090044605, 'account_id': 'A00001', 'customer_id': 'C00066', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00087', 'transaction_amount': 21739.26, 'exchange_rate': 0.9206}
[2025-07-28T22:47:24.606+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000025', 'transaction_date': 1740869244606, 'account_id': 'A00010', 'customer_id': 'C00023', 'transaction_type': 'Withdraw', 'currency': 'EUR', 'branch_id': 'B00039', 'transaction_amount': 88402.72, 'exchange_rate': 0.6783}
[2025-07-28T22:47:24.607+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000026', 'transaction_date': 1745189244607, 'account_id': 'A00008', 'customer_id': 'C00060', 'transaction_type': 'Withdraw', 'currency': 'EUR', 'branch_id': 'B00025', 'transaction_amount': 70284.09, 'exchange_rate': 1.48}
[2025-07-28T22:47:24.609+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000027', 'transaction_date': 1735685244608, 'account_id': 'A00096', 'customer_id': 'C00004', 'transaction_type': 'Transfer', 'currency': 'USD', 'branch_id': 'B00090', 'transaction_amount': 87372.22, 'exchange_rate': 0.2679}
[2025-07-28T22:47:24.612+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000028', 'transaction_date': 1729118844610, 'account_id': 'A00025', 'customer_id': 'C00095', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00062', 'transaction_amount': 57141.99, 'exchange_rate': 0.3487}
[2025-07-28T22:47:24.613+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000029', 'transaction_date': 1747608444613, 'account_id': 'A00068', 'customer_id': 'C00057', 'transaction_type': 'Credit', 'currency': 'EUR', 'branch_id': 'B00021', 'transaction_amount': 55598.48, 'exchange_rate': 0.642}
[2025-07-28T22:47:24.614+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000030', 'transaction_date': 1723243644614, 'account_id': 'A00100', 'customer_id': 'C00095', 'transaction_type': 'Credit', 'currency': 'EUR', 'branch_id': 'B00074', 'transaction_amount': 57666.01, 'exchange_rate': 0.4841}
[2025-07-28T22:47:24.615+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000031', 'transaction_date': 1748472444615, 'account_id': 'A00060', 'customer_id': 'C00065', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00015', 'transaction_amount': 79423.7, 'exchange_rate': 0.8276}
[2025-07-28T22:47:24.615+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000032', 'transaction_date': 1753656444615, 'account_id': 'A00012', 'customer_id': 'C00091', 'transaction_type': 'Deposit', 'currency': 'EUR', 'branch_id': 'B00012', 'transaction_amount': 53190.66, 'exchange_rate': 1.1204}
