[2025-07-28T22:47:33.559+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-06-27T00:00:00+00:00 [queued]>
[2025-07-28T22:47:33.565+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-06-27T00:00:00+00:00 [queued]>
[2025-07-28T22:47:33.565+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 1
[2025-07-28T22:47:33.570+0000] {taskinstance.py:1380} INFO - Executing <Task(KafkaProduceOperator): generate_txn_fact_data> on 2025-06-27 00:00:00+00:00
[2025-07-28T22:47:33.572+0000] {standard_task_runner.py:57} INFO - Started process 589 to run task
[2025-07-28T22:47:33.573+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'scheduled__2025-06-27T00:00:00+00:00', '--job-id', '521', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator.py', '--cfg-path', '/tmp/tmpgj7inogc']
[2025-07-28T22:47:33.574+0000] {standard_task_runner.py:85} INFO - Job 521: Subtask generate_txn_fact_data
[2025-07-28T22:47:33.593+0000] {task_command.py:415} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-06-27T00:00:00+00:00 [running]> on host 3d064542141b
[2025-07-28T22:47:33.628+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='GGCODE' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2025-06-27T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-06-27T00:00:00+00:00'
[2025-07-28T22:47:33.629+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.19.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.19.0.3', 9092) IPv4]
[2025-07-28T22:47:33.631+0000] {conn.py:618} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <checking_api_versions_recv> [IPv4 ('172.19.0.3', 9092)]>: Broker version identified as 2.5
[2025-07-28T22:47:33.631+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.19.0.3', 9092)]>: Connection complete.
[2025-07-28T22:47:33.736+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.19.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.19.0.3', 9092) IPv4]
[2025-07-28T22:47:33.736+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connected> [IPv4 ('172.19.0.3', 9092)]>: Connection complete.
[2025-07-28T22:47:33.736+0000] {conn.py:945} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.19.0.3', 9092)]>: Closing connection. 
[2025-07-28T22:47:33.737+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000001', 'transaction_date': 1727995653632, 'account_id': 'A00093', 'customer_id': 'C00094', 'transaction_type': 'Credit', 'currency': 'GBP', 'branch_id': 'B00069', 'transaction_amount': 69538.21, 'exchange_rate': 0.9137}
[2025-07-28T22:47:33.737+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000002', 'transaction_date': 1749250053737, 'account_id': 'A00072', 'customer_id': 'C00096', 'transaction_type': 'Withdraw', 'currency': 'GBP', 'branch_id': 'B00076', 'transaction_amount': 82159.06, 'exchange_rate': 1.1315}
[2025-07-28T22:47:33.737+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000003', 'transaction_date': 1726181253737, 'account_id': 'A00049', 'customer_id': 'C00015', 'transaction_type': 'Transfer', 'currency': 'USD', 'branch_id': 'B00010', 'transaction_amount': 58316.13, 'exchange_rate': 0.8472}
[2025-07-28T22:47:33.738+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000004', 'transaction_date': 1741474053738, 'account_id': 'A00021', 'customer_id': 'C00010', 'transaction_type': 'Transfer', 'currency': 'USD', 'branch_id': 'B00060', 'transaction_amount': 73024.12, 'exchange_rate': 1.1566}
[2025-07-28T22:47:33.738+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000005', 'transaction_date': 1742338053738, 'account_id': 'A00018', 'customer_id': 'C00026', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00060', 'transaction_amount': 25750.64, 'exchange_rate': 1.2268}
[2025-07-28T22:47:33.738+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000006', 'transaction_date': 1740523653738, 'account_id': 'A00022', 'customer_id': 'C00099', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00008', 'transaction_amount': 37697.47, 'exchange_rate': 0.0298}
[2025-07-28T22:47:33.739+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000007', 'transaction_date': 1731970053739, 'account_id': 'A00092', 'customer_id': 'C00007', 'transaction_type': 'Withdraw', 'currency': 'EUR', 'branch_id': 'B00063', 'transaction_amount': 8430.14, 'exchange_rate': 0.3704}
[2025-07-28T22:47:33.739+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000008', 'transaction_date': 1739314053739, 'account_id': 'A00004', 'customer_id': 'C00033', 'transaction_type': 'Withdraw', 'currency': 'EUR', 'branch_id': 'B00048', 'transaction_amount': 97304.87, 'exchange_rate': 0.6903}
[2025-07-28T22:47:33.739+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000009', 'transaction_date': 1745534853739, 'account_id': 'A00083', 'customer_id': 'C00000', 'transaction_type': 'Withdraw', 'currency': 'USD', 'branch_id': 'B00064', 'transaction_amount': 5574.63, 'exchange_rate': 0.0606}
[2025-07-28T22:47:33.739+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000010', 'transaction_date': 1747608453739, 'account_id': 'A00002', 'customer_id': 'C00081', 'transaction_type': 'Withdraw', 'currency': 'USD', 'branch_id': 'B00066', 'transaction_amount': 27074.17, 'exchange_rate': 0.2111}
[2025-07-28T22:47:33.740+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000011', 'transaction_date': 1729810053740, 'account_id': 'A00091', 'customer_id': 'C00069', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00040', 'transaction_amount': 27042.67, 'exchange_rate': 1.1532}
[2025-07-28T22:47:33.740+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000012', 'transaction_date': 1733957253740, 'account_id': 'A00099', 'customer_id': 'C00062', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00068', 'transaction_amount': 40472.43, 'exchange_rate': 0.8792}
