[2025-07-31T21:54:13.776+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T00:04:00+00:00 [queued]>
[2025-07-31T21:54:13.790+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T00:04:00+00:00 [queued]>
[2025-07-31T21:54:13.791+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 1
[2025-07-31T21:54:13.807+0000] {taskinstance.py:1380} INFO - Executing <Task(KafkaProduceOperator): generate_txn_fact_data> on 2025-07-31 00:04:00+00:00
[2025-07-31T21:54:13.814+0000] {standard_task_runner.py:57} INFO - Started process 2206 to run task
[2025-07-31T21:54:13.825+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'scheduled__2025-07-31T00:04:00+00:00', '--job-id', '975', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator.py', '--cfg-path', '/tmp/tmpj42f8ch7']
[2025-07-31T21:54:13.834+0000] {standard_task_runner.py:85} INFO - Job 975: Subtask generate_txn_fact_data
[2025-07-31T21:54:13.982+0000] {task_command.py:415} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T00:04:00+00:00 [running]> on host d47ad9177d65
[2025-07-31T21:54:14.158+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='GGCODE' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2025-07-31T00:04:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-07-31T00:04:00+00:00'
[2025-07-31T21:54:14.163+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.3', 9092) IPv4]
[2025-07-31T21:54:14.172+0000] {conn.py:618} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <checking_api_versions_recv> [IPv4 ('172.18.0.3', 9092)]>: Broker version identified as 2.5
[2025-07-31T21:54:14.173+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Connection complete.
[2025-07-31T21:54:14.280+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.3', 9092) IPv4]
[2025-07-31T21:54:14.282+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Connection complete.
[2025-07-31T21:54:14.286+0000] {conn.py:945} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Closing connection. 
[2025-07-31T21:54:14.302+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000001', 'transaction_date': 1750888454178, 'account_id': 'A00095', 'customer_id': 'C00044', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00074', 'transaction_amount': 51526.82, 'exchange_rate': 0.9702}
[2025-07-31T21:54:14.303+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000002', 'transaction_date': 1750110854303, 'account_id': 'A00022', 'customer_id': 'C00065', 'transaction_type': 'Withdraw', 'currency': 'GBP', 'branch_id': 'B00081', 'transaction_amount': 55596.58, 'exchange_rate': 0.3798}
[2025-07-31T21:54:14.304+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000003', 'transaction_date': 1728683654304, 'account_id': 'A00017', 'customer_id': 'C00035', 'transaction_type': 'Credit', 'currency': 'GBP', 'branch_id': 'B00032', 'transaction_amount': 32877.44, 'exchange_rate': 0.2851}
[2025-07-31T21:54:14.306+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000004', 'transaction_date': 1738792454306, 'account_id': 'A00048', 'customer_id': 'C00021', 'transaction_type': 'Credit', 'currency': 'USD', 'branch_id': 'B00002', 'transaction_amount': 1157.17, 'exchange_rate': 0.6387}
[2025-07-31T21:54:14.307+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000005', 'transaction_date': 1723067654307, 'account_id': 'A00027', 'customer_id': 'C00011', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00000', 'transaction_amount': 29991.2, 'exchange_rate': 0.5984}
[2025-07-31T21:54:14.308+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000006', 'transaction_date': 1743285254308, 'account_id': 'A00004', 'customer_id': 'C00076', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00007', 'transaction_amount': 76348.0, 'exchange_rate': 0.0129}
[2025-07-31T21:54:14.310+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000007', 'transaction_date': 1731016454309, 'account_id': 'A00098', 'customer_id': 'C00078', 'transaction_type': 'Deposit', 'currency': 'GBP', 'branch_id': 'B00020', 'transaction_amount': 78457.52, 'exchange_rate': 0.9258}
[2025-07-31T21:54:14.313+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000008', 'transaction_date': 1737582854312, 'account_id': 'A00078', 'customer_id': 'C00035', 'transaction_type': 'Credit', 'currency': 'USD', 'branch_id': 'B00100', 'transaction_amount': 26470.25, 'exchange_rate': 0.4342}
[2025-07-31T21:54:14.314+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000009', 'transaction_date': 1747778054313, 'account_id': 'A00028', 'customer_id': 'C00084', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00076', 'transaction_amount': 8128.09, 'exchange_rate': 0.2785}
[2025-07-31T21:54:14.317+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000010', 'transaction_date': 1748296454316, 'account_id': 'A00088', 'customer_id': 'C00070', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00085', 'transaction_amount': 5546.28, 'exchange_rate': 0.2884}
[2025-07-31T21:54:14.317+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000011', 'transaction_date': 1752357254317, 'account_id': 'A00046', 'customer_id': 'C00080', 'transaction_type': 'Withdraw', 'currency': 'EUR', 'branch_id': 'B00031', 'transaction_amount': 17808.58, 'exchange_rate': 1.0788}
[2025-07-31T21:54:14.318+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000012', 'transaction_date': 1728078854318, 'account_id': 'A00089', 'customer_id': 'C00012', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00066', 'transaction_amount': 35867.29, 'exchange_rate': 0.6982}
