[2025-07-31T21:54:13.948+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T00:08:00+00:00 [queued]>
[2025-07-31T21:54:13.972+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T00:08:00+00:00 [queued]>
[2025-07-31T21:54:13.974+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 1
[2025-07-31T21:54:14.041+0000] {taskinstance.py:1380} INFO - Executing <Task(KafkaProduceOperator): generate_txn_fact_data> on 2025-07-31 00:08:00+00:00
[2025-07-31T21:54:14.050+0000] {standard_task_runner.py:57} INFO - Started process 2214 to run task
[2025-07-31T21:54:14.055+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'scheduled__2025-07-31T00:08:00+00:00', '--job-id', '982', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator.py', '--cfg-path', '/tmp/tmpx_71f0ac']
[2025-07-31T21:54:14.063+0000] {standard_task_runner.py:85} INFO - Job 982: Subtask generate_txn_fact_data
[2025-07-31T21:54:14.188+0000] {task_command.py:415} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T00:08:00+00:00 [running]> on host d47ad9177d65
[2025-07-31T21:54:14.298+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='GGCODE' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2025-07-31T00:08:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-07-31T00:08:00+00:00'
[2025-07-31T21:54:14.303+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.3', 9092) IPv4]
[2025-07-31T21:54:14.318+0000] {conn.py:618} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <checking_api_versions_recv> [IPv4 ('172.18.0.3', 9092)]>: Broker version identified as 2.5
[2025-07-31T21:54:14.319+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Connection complete.
[2025-07-31T21:54:14.426+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.3', 9092) IPv4]
[2025-07-31T21:54:14.432+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Connection complete.
[2025-07-31T21:54:14.435+0000] {conn.py:945} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Closing connection. 
[2025-07-31T21:54:14.440+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000001', 'transaction_date': 1729634054323, 'account_id': 'A00019', 'customer_id': 'C00027', 'transaction_type': 'Credit', 'currency': 'EUR', 'branch_id': 'B00083', 'transaction_amount': 54946.9, 'exchange_rate': 1.0935}
[2025-07-31T21:54:14.453+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000002', 'transaction_date': 1728078854453, 'account_id': 'A00012', 'customer_id': 'C00096', 'transaction_type': 'Deposit', 'currency': 'GBP', 'branch_id': 'B00039', 'transaction_amount': 75650.12, 'exchange_rate': 0.4929}
[2025-07-31T21:54:14.455+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000003', 'transaction_date': 1729202054454, 'account_id': 'A00017', 'customer_id': 'C00090', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00034', 'transaction_amount': 14862.54, 'exchange_rate': 0.6453}
[2025-07-31T21:54:14.457+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000004', 'transaction_date': 1728078854456, 'account_id': 'A00100', 'customer_id': 'C00085', 'transaction_type': 'Deposit', 'currency': 'EUR', 'branch_id': 'B00014', 'transaction_amount': 54859.51, 'exchange_rate': 1.1138}
[2025-07-31T21:54:14.457+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000005', 'transaction_date': 1728510854457, 'account_id': 'A00008', 'customer_id': 'C00063', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00018', 'transaction_amount': 74152.0, 'exchange_rate': 1.4314}
[2025-07-31T21:54:14.458+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000006', 'transaction_date': 1746741254458, 'account_id': 'A00026', 'customer_id': 'C00057', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00069', 'transaction_amount': 59437.04, 'exchange_rate': 0.464}
[2025-07-31T21:54:14.461+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000007', 'transaction_date': 1725227654461, 'account_id': 'A00036', 'customer_id': 'C00058', 'transaction_type': 'Credit', 'currency': 'USD', 'branch_id': 'B00034', 'transaction_amount': 65678.74, 'exchange_rate': 0.3931}
[2025-07-31T21:54:14.463+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000008', 'transaction_date': 1728683654463, 'account_id': 'A00047', 'customer_id': 'C00003', 'transaction_type': 'Withdraw', 'currency': 'USD', 'branch_id': 'B00066', 'transaction_amount': 83376.61, 'exchange_rate': 0.1166}
[2025-07-31T21:54:14.463+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000009', 'transaction_date': 1725054854463, 'account_id': 'A00036', 'customer_id': 'C00009', 'transaction_type': 'Credit', 'currency': 'EUR', 'branch_id': 'B00058', 'transaction_amount': 76254.79, 'exchange_rate': 1.109}
[2025-07-31T21:54:14.464+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000010', 'transaction_date': 1738619654464, 'account_id': 'A00010', 'customer_id': 'C00094', 'transaction_type': 'Withdraw', 'currency': 'EUR', 'branch_id': 'B00068', 'transaction_amount': 12668.62, 'exchange_rate': 1.2369}
[2025-07-31T21:54:14.466+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000011', 'transaction_date': 1730584454466, 'account_id': 'A00056', 'customer_id': 'C00088', 'transaction_type': 'Withdraw', 'currency': 'GBP', 'branch_id': 'B00013', 'transaction_amount': 1010.8, 'exchange_rate': 0.7023}
[2025-07-31T21:54:14.467+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000012', 'transaction_date': 1729893254466, 'account_id': 'A00049', 'customer_id': 'C00056', 'transaction_type': 'Credit', 'currency': 'USD', 'branch_id': 'B00094', 'transaction_amount': 1205.63, 'exchange_rate': 1.3431}
