[2025-07-31T21:54:48.226+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T00:30:00+00:00 [queued]>
[2025-07-31T21:54:48.235+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T00:30:00+00:00 [queued]>
[2025-07-31T21:54:48.236+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 1
[2025-07-31T21:54:48.260+0000] {taskinstance.py:1380} INFO - Executing <Task(KafkaProduceOperator): generate_txn_fact_data> on 2025-07-31 00:30:00+00:00
[2025-07-31T21:54:48.267+0000] {standard_task_runner.py:57} INFO - Started process 2355 to run task
[2025-07-31T21:54:48.271+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'scheduled__2025-07-31T00:30:00+00:00', '--job-id', '1009', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator.py', '--cfg-path', '/tmp/tmpw2wyxrr2']
[2025-07-31T21:54:48.276+0000] {standard_task_runner.py:85} INFO - Job 1009: Subtask generate_txn_fact_data
[2025-07-31T21:54:48.322+0000] {task_command.py:415} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T00:30:00+00:00 [running]> on host d47ad9177d65
[2025-07-31T21:54:48.403+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='GGCODE' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2025-07-31T00:30:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-07-31T00:30:00+00:00'
[2025-07-31T21:54:48.407+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.3', 9092) IPv4]
[2025-07-31T21:54:48.412+0000] {conn.py:618} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <checking_api_versions_recv> [IPv4 ('172.18.0.3', 9092)]>: Broker version identified as 2.5
[2025-07-31T21:54:48.412+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Connection complete.
[2025-07-31T21:54:48.520+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.3', 9092) IPv4]
[2025-07-31T21:54:48.520+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Connection complete.
[2025-07-31T21:54:48.521+0000] {conn.py:945} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Closing connection. 
[2025-07-31T21:54:48.523+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000001', 'transaction_date': 1742075688414, 'account_id': 'A00059', 'customer_id': 'C00002', 'transaction_type': 'Transfer', 'currency': 'EUR', 'branch_id': 'B00000', 'transaction_amount': 12237.76, 'exchange_rate': 0.9918}
[2025-07-31T21:54:48.525+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000002', 'transaction_date': 1736027688525, 'account_id': 'A00036', 'customer_id': 'C00081', 'transaction_type': 'Deposit', 'currency': 'EUR', 'branch_id': 'B00040', 'transaction_amount': 19601.57, 'exchange_rate': 1.4926}
[2025-07-31T21:54:48.526+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000003', 'transaction_date': 1746309288526, 'account_id': 'A00053', 'customer_id': 'C00044', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00065', 'transaction_amount': 84764.01, 'exchange_rate': 1.2614}
[2025-07-31T21:54:48.529+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000004', 'transaction_date': 1751061288529, 'account_id': 'A00056', 'customer_id': 'C00057', 'transaction_type': 'Withdraw', 'currency': 'EUR', 'branch_id': 'B00060', 'transaction_amount': 54550.67, 'exchange_rate': 0.012}
[2025-07-31T21:54:48.531+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000005', 'transaction_date': 1750974888531, 'account_id': 'A00045', 'customer_id': 'C00051', 'transaction_type': 'Credit', 'currency': 'USD', 'branch_id': 'B00029', 'transaction_amount': 26935.27, 'exchange_rate': 0.2156}
[2025-07-31T21:54:48.534+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000006', 'transaction_date': 1726955688534, 'account_id': 'A00008', 'customer_id': 'C00001', 'transaction_type': 'Transfer', 'currency': 'EUR', 'branch_id': 'B00094', 'transaction_amount': 84008.87, 'exchange_rate': 0.4179}
[2025-07-31T21:54:48.538+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000007', 'transaction_date': 1734990888537, 'account_id': 'A00015', 'customer_id': 'C00030', 'transaction_type': 'Deposit', 'currency': 'GBP', 'branch_id': 'B00032', 'transaction_amount': 96470.58, 'exchange_rate': 0.3701}
[2025-07-31T21:54:48.538+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000008', 'transaction_date': 1725573288538, 'account_id': 'A00044', 'customer_id': 'C00069', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00062', 'transaction_amount': 31371.71, 'exchange_rate': 0.6791}
[2025-07-31T21:54:48.540+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000009', 'transaction_date': 1752789288539, 'account_id': 'A00072', 'customer_id': 'C00024', 'transaction_type': 'Withdraw', 'currency': 'GBP', 'branch_id': 'B00060', 'transaction_amount': 97661.57, 'exchange_rate': 0.1654}
[2025-07-31T21:54:48.542+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000010', 'transaction_date': 1744149288541, 'account_id': 'A00000', 'customer_id': 'C00051', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00100', 'transaction_amount': 87669.19, 'exchange_rate': 1.2144}
[2025-07-31T21:54:48.544+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000011', 'transaction_date': 1749765288543, 'account_id': 'A00063', 'customer_id': 'C00000', 'transaction_type': 'Withdraw', 'currency': 'USD', 'branch_id': 'B00007', 'transaction_amount': 4824.14, 'exchange_rate': 1.414}
[2025-07-31T21:54:48.548+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000012', 'transaction_date': 1735768488548, 'account_id': 'A00069', 'customer_id': 'C00071', 'transaction_type': 'Withdraw', 'currency': 'USD', 'branch_id': 'B00021', 'transaction_amount': 76993.84, 'exchange_rate': 0.6403}
[2025-07-31T21:54:48.552+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000013', 'transaction_date': 1722981288552, 'account_id': 'A00034', 'customer_id': 'C00002', 'transaction_type': 'Debit', 'currency': 'USD', 'branch_id': 'B00089', 'transaction_amount': 62016.31, 'exchange_rate': 0.3073}
[2025-07-31T21:54:48.554+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000014', 'transaction_date': 1730757288553, 'account_id': 'A00046', 'customer_id': 'C00049', 'transaction_type': 'Credit', 'currency': 'EUR', 'branch_id': 'B00083', 'transaction_amount': 78972.07, 'exchange_rate': 0.5349}
[2025-07-31T21:54:48.554+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000015', 'transaction_date': 1737064488554, 'account_id': 'A00041', 'customer_id': 'C00022', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00014', 'transaction_amount': 64226.27, 'exchange_rate': 0.0851}
[2025-07-31T21:54:48.555+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000016', 'transaction_date': 1731189288555, 'account_id': 'A00066', 'customer_id': 'C00018', 'transaction_type': 'Credit', 'currency': 'EUR', 'branch_id': 'B00007', 'transaction_amount': 31593.93, 'exchange_rate': 1.2402}
[2025-07-31T21:54:48.557+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000017', 'transaction_date': 1729806888556, 'account_id': 'A00029', 'customer_id': 'C00056', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00055', 'transaction_amount': 92127.75, 'exchange_rate': 0.5583}
[2025-07-31T21:54:48.558+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000018', 'transaction_date': 1750283688558, 'account_id': 'A00017', 'customer_id': 'C00054', 'transaction_type': 'Transfer', 'currency': 'EUR', 'branch_id': 'B00028', 'transaction_amount': 99797.32, 'exchange_rate': 1.4601}
[2025-07-31T21:54:48.560+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000019', 'transaction_date': 1723499688560, 'account_id': 'A00012', 'customer_id': 'C00026', 'transaction_type': 'Withdraw', 'currency': 'EUR', 'branch_id': 'B00090', 'transaction_amount': 42386.96, 'exchange_rate': 0.792}
[2025-07-31T21:54:48.563+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000020', 'transaction_date': 1735854888563, 'account_id': 'A00077', 'customer_id': 'C00023', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00084', 'transaction_amount': 763.85, 'exchange_rate': 0.7675}
[2025-07-31T21:54:48.564+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000021', 'transaction_date': 1739483688564, 'account_id': 'A00064', 'customer_id': 'C00089', 'transaction_type': 'Credit', 'currency': 'GBP', 'branch_id': 'B00044', 'transaction_amount': 84827.72, 'exchange_rate': 0.0831}
