[2025-07-31T21:55:04.688+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T00:57:00+00:00 [queued]>
[2025-07-31T21:55:04.698+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T00:57:00+00:00 [queued]>
[2025-07-31T21:55:04.699+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 1
[2025-07-31T21:55:04.716+0000] {taskinstance.py:1380} INFO - Executing <Task(KafkaProduceOperator): generate_txn_fact_data> on 2025-07-31 00:57:00+00:00
[2025-07-31T21:55:04.721+0000] {standard_task_runner.py:57} INFO - Started process 2474 to run task
[2025-07-31T21:55:04.727+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'scheduled__2025-07-31T00:57:00+00:00', '--job-id', '1036', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator.py', '--cfg-path', '/tmp/tmpo0sxatph']
[2025-07-31T21:55:04.738+0000] {standard_task_runner.py:85} INFO - Job 1036: Subtask generate_txn_fact_data
[2025-07-31T21:55:04.781+0000] {task_command.py:415} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T00:57:00+00:00 [running]> on host d47ad9177d65
[2025-07-31T21:55:04.886+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='GGCODE' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2025-07-31T00:57:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-07-31T00:57:00+00:00'
[2025-07-31T21:55:04.892+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.3', 9092) IPv4]
[2025-07-31T21:55:04.897+0000] {conn.py:618} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <checking_api_versions_recv> [IPv4 ('172.18.0.3', 9092)]>: Broker version identified as 2.5
[2025-07-31T21:55:04.898+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Connection complete.
[2025-07-31T21:55:05.004+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.3', 9092) IPv4]
[2025-07-31T21:55:05.005+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Connection complete.
[2025-07-31T21:55:05.005+0000] {conn.py:945} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Closing connection. 
[2025-07-31T21:55:05.008+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000001', 'transaction_date': 1740520504900, 'account_id': 'A00096', 'customer_id': 'C00095', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00030', 'transaction_amount': 32176.09, 'exchange_rate': 1.4021}
[2025-07-31T21:55:05.010+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000002', 'transaction_date': 1726696505010, 'account_id': 'A00006', 'customer_id': 'C00072', 'transaction_type': 'Transfer', 'currency': 'EUR', 'branch_id': 'B00026', 'transaction_amount': 66063.11, 'exchange_rate': 0.6641}
[2025-07-31T21:55:05.013+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000003', 'transaction_date': 1741384505013, 'account_id': 'A00024', 'customer_id': 'C00004', 'transaction_type': 'Deposit', 'currency': 'EUR', 'branch_id': 'B00072', 'transaction_amount': 27895.13, 'exchange_rate': 1.2194}
[2025-07-31T21:55:05.015+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000004', 'transaction_date': 1727646905015, 'account_id': 'A00053', 'customer_id': 'C00000', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00015', 'transaction_amount': 31955.58, 'exchange_rate': 1.0933}
[2025-07-31T21:55:05.016+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000005', 'transaction_date': 1738533305016, 'account_id': 'A00053', 'customer_id': 'C00028', 'transaction_type': 'Withdraw', 'currency': 'GBP', 'branch_id': 'B00085', 'transaction_amount': 57981.38, 'exchange_rate': 0.5058}
[2025-07-31T21:55:05.016+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000006', 'transaction_date': 1736546105016, 'account_id': 'A00060', 'customer_id': 'C00008', 'transaction_type': 'Transfer', 'currency': 'USD', 'branch_id': 'B00042', 'transaction_amount': 88508.72, 'exchange_rate': 0.6748}
[2025-07-31T21:55:05.019+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000007', 'transaction_date': 1748123705019, 'account_id': 'A00047', 'customer_id': 'C00073', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00060', 'transaction_amount': 37177.04, 'exchange_rate': 1.0142}
[2025-07-31T21:55:05.019+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000008', 'transaction_date': 1745099705019, 'account_id': 'A00084', 'customer_id': 'C00100', 'transaction_type': 'Withdraw', 'currency': 'USD', 'branch_id': 'B00016', 'transaction_amount': 6460.54, 'exchange_rate': 0.2282}
[2025-07-31T21:55:05.020+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000009', 'transaction_date': 1744149305020, 'account_id': 'A00018', 'customer_id': 'C00004', 'transaction_type': 'Withdraw', 'currency': 'USD', 'branch_id': 'B00031', 'transaction_amount': 43913.75, 'exchange_rate': 0.6167}
[2025-07-31T21:55:05.023+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000010', 'transaction_date': 1750629305023, 'account_id': 'A00032', 'customer_id': 'C00092', 'transaction_type': 'Transfer', 'currency': 'USD', 'branch_id': 'B00040', 'transaction_amount': 93143.49, 'exchange_rate': 1.0879}
[2025-07-31T21:55:05.026+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000011', 'transaction_date': 1735422905026, 'account_id': 'A00006', 'customer_id': 'C00043', 'transaction_type': 'Credit', 'currency': 'GBP', 'branch_id': 'B00059', 'transaction_amount': 98086.54, 'exchange_rate': 1.3302}
[2025-07-31T21:55:05.027+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000012', 'transaction_date': 1731448505027, 'account_id': 'A00002', 'customer_id': 'C00042', 'transaction_type': 'Transfer', 'currency': 'USD', 'branch_id': 'B00047', 'transaction_amount': 32375.84, 'exchange_rate': 0.6156}
