[2025-07-31T21:55:12.257+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T01:08:00+00:00 [queued]>
[2025-07-31T21:55:12.275+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T01:08:00+00:00 [queued]>
[2025-07-31T21:55:12.276+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 1
[2025-07-31T21:55:12.334+0000] {taskinstance.py:1380} INFO - Executing <Task(KafkaProduceOperator): generate_txn_fact_data> on 2025-07-31 01:08:00+00:00
[2025-07-31T21:55:12.341+0000] {standard_task_runner.py:57} INFO - Started process 2512 to run task
[2025-07-31T21:55:12.344+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'scheduled__2025-07-31T01:08:00+00:00', '--job-id', '1047', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator.py', '--cfg-path', '/tmp/tmpn359ctmj']
[2025-07-31T21:55:12.347+0000] {standard_task_runner.py:85} INFO - Job 1047: Subtask generate_txn_fact_data
[2025-07-31T21:55:12.393+0000] {task_command.py:415} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T01:08:00+00:00 [running]> on host d47ad9177d65
[2025-07-31T21:55:12.506+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='GGCODE' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2025-07-31T01:08:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-07-31T01:08:00+00:00'
[2025-07-31T21:55:12.517+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.3', 9092) IPv4]
[2025-07-31T21:55:12.523+0000] {conn.py:618} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <checking_api_versions_recv> [IPv4 ('172.18.0.3', 9092)]>: Broker version identified as 2.5
[2025-07-31T21:55:12.523+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Connection complete.
[2025-07-31T21:55:12.628+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.3', 9092) IPv4]
[2025-07-31T21:55:12.630+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Connection complete.
[2025-07-31T21:55:12.631+0000] {conn.py:945} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Closing connection. 
[2025-07-31T21:55:12.637+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000001', 'transaction_date': 1723586112525, 'account_id': 'A00045', 'customer_id': 'C00090', 'transaction_type': 'Transfer', 'currency': 'EUR', 'branch_id': 'B00016', 'transaction_amount': 14833.2, 'exchange_rate': 0.0793}
[2025-07-31T21:55:12.638+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000002', 'transaction_date': 1739742912638, 'account_id': 'A00062', 'customer_id': 'C00079', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00035', 'transaction_amount': 99619.03, 'exchange_rate': 0.0808}
[2025-07-31T21:55:12.639+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000003', 'transaction_date': 1733349312638, 'account_id': 'A00015', 'customer_id': 'C00051', 'transaction_type': 'Credit', 'currency': 'GBP', 'branch_id': 'B00032', 'transaction_amount': 70831.79, 'exchange_rate': 0.9331}
[2025-07-31T21:55:12.639+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000004', 'transaction_date': 1726782912639, 'account_id': 'A00045', 'customer_id': 'C00062', 'transaction_type': 'Credit', 'currency': 'USD', 'branch_id': 'B00039', 'transaction_amount': 18691.69, 'exchange_rate': 1.3721}
[2025-07-31T21:55:12.640+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000005', 'transaction_date': 1740088512640, 'account_id': 'A00000', 'customer_id': 'C00085', 'transaction_type': 'Credit', 'currency': 'EUR', 'branch_id': 'B00050', 'transaction_amount': 10793.04, 'exchange_rate': 0.2033}
[2025-07-31T21:55:12.641+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000006', 'transaction_date': 1733867712641, 'account_id': 'A00071', 'customer_id': 'C00069', 'transaction_type': 'Deposit', 'currency': 'GBP', 'branch_id': 'B00053', 'transaction_amount': 89314.87, 'exchange_rate': 0.7574}
[2025-07-31T21:55:12.644+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000007', 'transaction_date': 1742162112643, 'account_id': 'A00017', 'customer_id': 'C00031', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00023', 'transaction_amount': 67298.35, 'exchange_rate': 0.6759}
[2025-07-31T21:55:12.644+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000008', 'transaction_date': 1739224512644, 'account_id': 'A00032', 'customer_id': 'C00030', 'transaction_type': 'Debit', 'currency': 'USD', 'branch_id': 'B00060', 'transaction_amount': 99774.23, 'exchange_rate': 0.8222}
[2025-07-31T21:55:12.648+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000009', 'transaction_date': 1732917312647, 'account_id': 'A00068', 'customer_id': 'C00037', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00019', 'transaction_amount': 61106.27, 'exchange_rate': 1.4994}
[2025-07-31T21:55:12.651+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000010', 'transaction_date': 1733090112651, 'account_id': 'A00099', 'customer_id': 'C00093', 'transaction_type': 'Transfer', 'currency': 'EUR', 'branch_id': 'B00050', 'transaction_amount': 5596.9, 'exchange_rate': 0.2364}
[2025-07-31T21:55:12.652+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000011', 'transaction_date': 1723499712652, 'account_id': 'A00081', 'customer_id': 'C00055', 'transaction_type': 'Transfer', 'currency': 'USD', 'branch_id': 'B00025', 'transaction_amount': 37882.08, 'exchange_rate': 1.1279}
[2025-07-31T21:55:12.652+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000012', 'transaction_date': 1738792512652, 'account_id': 'A00068', 'customer_id': 'C00069', 'transaction_type': 'Credit', 'currency': 'USD', 'branch_id': 'B00100', 'transaction_amount': 60635.02, 'exchange_rate': 1.1751}
[2025-07-31T21:55:12.653+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000013', 'transaction_date': 1732571712653, 'account_id': 'A00016', 'customer_id': 'C00001', 'transaction_type': 'Credit', 'currency': 'USD', 'branch_id': 'B00082', 'transaction_amount': 72861.88, 'exchange_rate': 1.0268}
[2025-07-31T21:55:12.653+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000014', 'transaction_date': 1753480512653, 'account_id': 'A00058', 'customer_id': 'C00099', 'transaction_type': 'Credit', 'currency': 'GBP', 'branch_id': 'B00027', 'transaction_amount': 83859.82, 'exchange_rate': 1.361}
[2025-07-31T21:55:12.658+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000015', 'transaction_date': 1745877312658, 'account_id': 'A00006', 'customer_id': 'C00083', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00095', 'transaction_amount': 73563.77, 'exchange_rate': 0.7062}
[2025-07-31T21:55:12.659+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000016', 'transaction_date': 1744754112659, 'account_id': 'A00068', 'customer_id': 'C00084', 'transaction_type': 'Withdraw', 'currency': 'USD', 'branch_id': 'B00080', 'transaction_amount': 21354.09, 'exchange_rate': 0.0657}
[2025-07-31T21:55:12.660+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000017', 'transaction_date': 1746309312659, 'account_id': 'A00095', 'customer_id': 'C00062', 'transaction_type': 'Transfer', 'currency': 'EUR', 'branch_id': 'B00041', 'transaction_amount': 23157.52, 'exchange_rate': 1.0824}
[2025-07-31T21:55:12.666+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000018', 'transaction_date': 1751925312666, 'account_id': 'A00047', 'customer_id': 'C00048', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00057', 'transaction_amount': 21976.37, 'exchange_rate': 0.2014}
[2025-07-31T21:55:12.667+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000019', 'transaction_date': 1748296512666, 'account_id': 'A00036', 'customer_id': 'C00062', 'transaction_type': 'Transfer', 'currency': 'EUR', 'branch_id': 'B00093', 'transaction_amount': 6831.39, 'exchange_rate': 0.0206}
[2025-07-31T21:55:12.667+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000020', 'transaction_date': 1736027712667, 'account_id': 'A00015', 'customer_id': 'C00000', 'transaction_type': 'Credit', 'currency': 'GBP', 'branch_id': 'B00037', 'transaction_amount': 25434.63, 'exchange_rate': 0.949}
[2025-07-31T21:55:12.667+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000021', 'transaction_date': 1742075712667, 'account_id': 'A00054', 'customer_id': 'C00013', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00021', 'transaction_amount': 57126.65, 'exchange_rate': 0.088}
[2025-07-31T21:55:12.669+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000022', 'transaction_date': 1723067712669, 'account_id': 'A00042', 'customer_id': 'C00026', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00027', 'transaction_amount': 56792.34, 'exchange_rate': 1.4055}
[2025-07-31T21:55:12.670+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000023', 'transaction_date': 1736114112670, 'account_id': 'A00100', 'customer_id': 'C00060', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00044', 'transaction_amount': 61778.11, 'exchange_rate': 0.1395}
[2025-07-31T21:55:12.671+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000024', 'transaction_date': 1736546112671, 'account_id': 'A00008', 'customer_id': 'C00066', 'transaction_type': 'Transfer', 'currency': 'USD', 'branch_id': 'B00040', 'transaction_amount': 16065.57, 'exchange_rate': 0.6914}
[2025-07-31T21:55:12.673+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000025', 'transaction_date': 1735768512673, 'account_id': 'A00002', 'customer_id': 'C00019', 'transaction_type': 'Debit', 'currency': 'USD', 'branch_id': 'B00092', 'transaction_amount': 97429.27, 'exchange_rate': 1.4836}
[2025-07-31T21:55:12.674+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000026', 'transaction_date': 1742594112674, 'account_id': 'A00100', 'customer_id': 'C00023', 'transaction_type': 'Deposit', 'currency': 'EUR', 'branch_id': 'B00006', 'transaction_amount': 75340.9, 'exchange_rate': 0.1166}
[2025-07-31T21:55:12.675+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000027', 'transaction_date': 1732571712675, 'account_id': 'A00063', 'customer_id': 'C00051', 'transaction_type': 'Transfer', 'currency': 'EUR', 'branch_id': 'B00063', 'transaction_amount': 46009.99, 'exchange_rate': 0.0621}
