[2025-07-31T21:55:21.574+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T01:20:00+00:00 [queued]>
[2025-07-31T21:55:21.590+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T01:20:00+00:00 [queued]>
[2025-07-31T21:55:21.591+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 1
[2025-07-31T21:55:21.683+0000] {taskinstance.py:1380} INFO - Executing <Task(KafkaProduceOperator): generate_txn_fact_data> on 2025-07-31 01:20:00+00:00
[2025-07-31T21:55:21.688+0000] {standard_task_runner.py:57} INFO - Started process 2554 to run task
[2025-07-31T21:55:21.692+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'scheduled__2025-07-31T01:20:00+00:00', '--job-id', '1059', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator.py', '--cfg-path', '/tmp/tmpghwinjyn']
[2025-07-31T21:55:21.696+0000] {standard_task_runner.py:85} INFO - Job 1059: Subtask generate_txn_fact_data
[2025-07-31T21:55:21.761+0000] {task_command.py:415} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T01:20:00+00:00 [running]> on host d47ad9177d65
[2025-07-31T21:55:21.874+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='GGCODE' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2025-07-31T01:20:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-07-31T01:20:00+00:00'
[2025-07-31T21:55:21.879+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.3', 9092) IPv4]
[2025-07-31T21:55:21.882+0000] {conn.py:618} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <checking_api_versions_recv> [IPv4 ('172.18.0.3', 9092)]>: Broker version identified as 2.5
[2025-07-31T21:55:21.883+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Connection complete.
[2025-07-31T21:55:22.022+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.3', 9092) IPv4]
[2025-07-31T21:55:22.023+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Connection complete.
[2025-07-31T21:55:22.024+0000] {conn.py:945} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Closing connection. 
[2025-07-31T21:55:22.028+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000001', 'transaction_date': 1726350921885, 'account_id': 'A00086', 'customer_id': 'C00033', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00021', 'transaction_amount': 51237.96, 'exchange_rate': 1.4377}
[2025-07-31T21:55:22.030+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000002', 'transaction_date': 1732139722030, 'account_id': 'A00010', 'customer_id': 'C00026', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00001', 'transaction_amount': 35882.78, 'exchange_rate': 0.7441}
[2025-07-31T21:55:22.031+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000003', 'transaction_date': 1736114122031, 'account_id': 'A00065', 'customer_id': 'C00023', 'transaction_type': 'Withdraw', 'currency': 'GBP', 'branch_id': 'B00057', 'transaction_amount': 70173.88, 'exchange_rate': 1.1456}
[2025-07-31T21:55:22.038+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000004', 'transaction_date': 1736978122037, 'account_id': 'A00000', 'customer_id': 'C00062', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00091', 'transaction_amount': 98053.68, 'exchange_rate': 0.5051}
[2025-07-31T21:55:22.048+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000005', 'transaction_date': 1744667722046, 'account_id': 'A00046', 'customer_id': 'C00028', 'transaction_type': 'Withdraw', 'currency': 'GBP', 'branch_id': 'B00099', 'transaction_amount': 89095.51, 'exchange_rate': 0.7404}
[2025-07-31T21:55:22.052+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000006', 'transaction_date': 1746654922051, 'account_id': 'A00049', 'customer_id': 'C00032', 'transaction_type': 'Withdraw', 'currency': 'GBP', 'branch_id': 'B00017', 'transaction_amount': 73418.12, 'exchange_rate': 0.537}
[2025-07-31T21:55:22.058+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000007', 'transaction_date': 1743371722058, 'account_id': 'A00049', 'customer_id': 'C00034', 'transaction_type': 'Debit', 'currency': 'USD', 'branch_id': 'B00098', 'transaction_amount': 90967.65, 'exchange_rate': 0.0672}
[2025-07-31T21:55:22.061+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000008', 'transaction_date': 1748469322061, 'account_id': 'A00027', 'customer_id': 'C00078', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00001', 'transaction_amount': 38353.12, 'exchange_rate': 0.7643}
[2025-07-31T21:55:22.065+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000009', 'transaction_date': 1752443722065, 'account_id': 'A00042', 'customer_id': 'C00016', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00005', 'transaction_amount': 43999.55, 'exchange_rate': 0.875}
[2025-07-31T21:55:22.068+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000010', 'transaction_date': 1745358922068, 'account_id': 'A00021', 'customer_id': 'C00007', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00073', 'transaction_amount': 42435.58, 'exchange_rate': 0.8559}
[2025-07-31T21:55:22.069+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000011', 'transaction_date': 1735422922069, 'account_id': 'A00091', 'customer_id': 'C00038', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00047', 'transaction_amount': 84290.87, 'exchange_rate': 1.0864}
[2025-07-31T21:55:22.071+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000012', 'transaction_date': 1743371722071, 'account_id': 'A00014', 'customer_id': 'C00075', 'transaction_type': 'Withdraw', 'currency': 'USD', 'branch_id': 'B00027', 'transaction_amount': 89829.88, 'exchange_rate': 0.9723}
