[2025-07-31T21:55:34.852+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T01:49:00+00:00 [queued]>
[2025-07-31T21:55:34.867+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T01:49:00+00:00 [queued]>
[2025-07-31T21:55:34.868+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 1
[2025-07-31T21:55:34.893+0000] {taskinstance.py:1380} INFO - Executing <Task(KafkaProduceOperator): generate_txn_fact_data> on 2025-07-31 01:49:00+00:00
[2025-07-31T21:55:34.900+0000] {standard_task_runner.py:57} INFO - Started process 2675 to run task
[2025-07-31T21:55:34.904+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'scheduled__2025-07-31T01:49:00+00:00', '--job-id', '1088', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator.py', '--cfg-path', '/tmp/tmpjwbm2d58']
[2025-07-31T21:55:34.909+0000] {standard_task_runner.py:85} INFO - Job 1088: Subtask generate_txn_fact_data
[2025-07-31T21:55:34.999+0000] {task_command.py:415} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T01:49:00+00:00 [running]> on host d47ad9177d65
[2025-07-31T21:55:35.114+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='GGCODE' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2025-07-31T01:49:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-07-31T01:49:00+00:00'
[2025-07-31T21:55:35.120+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.3', 9092) IPv4]
[2025-07-31T21:55:35.124+0000] {conn.py:618} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <checking_api_versions_recv> [IPv4 ('172.18.0.3', 9092)]>: Broker version identified as 2.5
[2025-07-31T21:55:35.124+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Connection complete.
[2025-07-31T21:55:35.230+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.3', 9092) IPv4]
[2025-07-31T21:55:35.231+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Connection complete.
[2025-07-31T21:55:35.232+0000] {conn.py:945} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Closing connection. 
[2025-07-31T21:55:35.238+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000001', 'transaction_date': 1727646935127, 'account_id': 'A00010', 'customer_id': 'C00042', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00039', 'transaction_amount': 94688.23, 'exchange_rate': 0.2315}
[2025-07-31T21:55:35.241+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000002', 'transaction_date': 1753653335241, 'account_id': 'A00018', 'customer_id': 'C00085', 'transaction_type': 'Deposit', 'currency': 'EUR', 'branch_id': 'B00030', 'transaction_amount': 34949.33, 'exchange_rate': 0.893}
[2025-07-31T21:55:35.247+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000003', 'transaction_date': 1740520535246, 'account_id': 'A00046', 'customer_id': 'C00092', 'transaction_type': 'Transfer', 'currency': 'USD', 'branch_id': 'B00003', 'transaction_amount': 61696.29, 'exchange_rate': 0.2933}
[2025-07-31T21:55:35.287+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000004', 'transaction_date': 1749074135287, 'account_id': 'A00084', 'customer_id': 'C00048', 'transaction_type': 'Credit', 'currency': 'EUR', 'branch_id': 'B00050', 'transaction_amount': 48064.37, 'exchange_rate': 0.8289}
[2025-07-31T21:55:35.303+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000005', 'transaction_date': 1730066135302, 'account_id': 'A00067', 'customer_id': 'C00088', 'transaction_type': 'Deposit', 'currency': 'GBP', 'branch_id': 'B00038', 'transaction_amount': 86573.9, 'exchange_rate': 0.8157}
[2025-07-31T21:55:35.306+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000006', 'transaction_date': 1727214935306, 'account_id': 'A00047', 'customer_id': 'C00092', 'transaction_type': 'Debit', 'currency': 'USD', 'branch_id': 'B00036', 'transaction_amount': 96402.82, 'exchange_rate': 0.1148}
[2025-07-31T21:55:35.317+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000007', 'transaction_date': 1743544535316, 'account_id': 'A00035', 'customer_id': 'C00019', 'transaction_type': 'Withdraw', 'currency': 'EUR', 'branch_id': 'B00033', 'transaction_amount': 99118.76, 'exchange_rate': 0.1948}
[2025-07-31T21:55:35.319+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000008', 'transaction_date': 1749938135319, 'account_id': 'A00049', 'customer_id': 'C00073', 'transaction_type': 'Credit', 'currency': 'USD', 'branch_id': 'B00034', 'transaction_amount': 3027.17, 'exchange_rate': 0.4885}
[2025-07-31T21:55:35.321+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000009', 'transaction_date': 1735854935321, 'account_id': 'A00055', 'customer_id': 'C00006', 'transaction_type': 'Debit', 'currency': 'USD', 'branch_id': 'B00039', 'transaction_amount': 61759.94, 'exchange_rate': 0.3548}
[2025-07-31T21:55:35.323+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000010', 'transaction_date': 1733349335323, 'account_id': 'A00017', 'customer_id': 'C00031', 'transaction_type': 'Transfer', 'currency': 'USD', 'branch_id': 'B00028', 'transaction_amount': 61022.99, 'exchange_rate': 0.3967}
[2025-07-31T21:55:35.325+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000011', 'transaction_date': 1739224535324, 'account_id': 'A00065', 'customer_id': 'C00009', 'transaction_type': 'Withdraw', 'currency': 'USD', 'branch_id': 'B00037', 'transaction_amount': 28492.6, 'exchange_rate': 0.5864}
[2025-07-31T21:55:35.327+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000012', 'transaction_date': 1729115735327, 'account_id': 'A00023', 'customer_id': 'C00065', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00096', 'transaction_amount': 35023.04, 'exchange_rate': 0.0689}
