[2025-07-31T21:55:41.368+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T02:06:00+00:00 [queued]>
[2025-07-31T21:55:41.377+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T02:06:00+00:00 [queued]>
[2025-07-31T21:55:41.377+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 1
[2025-07-31T21:55:41.440+0000] {taskinstance.py:1380} INFO - Executing <Task(KafkaProduceOperator): generate_txn_fact_data> on 2025-07-31 02:06:00+00:00
[2025-07-31T21:55:41.445+0000] {standard_task_runner.py:57} INFO - Started process 2727 to run task
[2025-07-31T21:55:41.448+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'scheduled__2025-07-31T02:06:00+00:00', '--job-id', '1105', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator.py', '--cfg-path', '/tmp/tmpnjnlg50q']
[2025-07-31T21:55:41.451+0000] {standard_task_runner.py:85} INFO - Job 1105: Subtask generate_txn_fact_data
[2025-07-31T21:55:41.531+0000] {task_command.py:415} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T02:06:00+00:00 [running]> on host d47ad9177d65
[2025-07-31T21:55:41.684+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='GGCODE' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2025-07-31T02:06:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-07-31T02:06:00+00:00'
[2025-07-31T21:55:41.698+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.3', 9092) IPv4]
[2025-07-31T21:55:41.703+0000] {conn.py:618} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <checking_api_versions_recv> [IPv4 ('172.18.0.3', 9092)]>: Broker version identified as 2.5
[2025-07-31T21:55:41.704+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Connection complete.
[2025-07-31T21:55:41.815+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.3', 9092) IPv4]
[2025-07-31T21:55:41.816+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Connection complete.
[2025-07-31T21:55:41.817+0000] {conn.py:945} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Closing connection. 
[2025-07-31T21:55:41.822+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000001', 'transaction_date': 1747950941709, 'account_id': 'A00072', 'customer_id': 'C00053', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00086', 'transaction_amount': 32666.53, 'exchange_rate': 1.2954}
[2025-07-31T21:55:41.823+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000002', 'transaction_date': 1738878941823, 'account_id': 'A00073', 'customer_id': 'C00015', 'transaction_type': 'Withdraw', 'currency': 'EUR', 'branch_id': 'B00099', 'transaction_amount': 45837.72, 'exchange_rate': 0.4852}
[2025-07-31T21:55:41.828+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000003', 'transaction_date': 1752357341828, 'account_id': 'A00080', 'customer_id': 'C00008', 'transaction_type': 'Withdraw', 'currency': 'USD', 'branch_id': 'B00029', 'transaction_amount': 66359.95, 'exchange_rate': 0.1717}
[2025-07-31T21:55:41.830+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000004', 'transaction_date': 1743630941830, 'account_id': 'A00064', 'customer_id': 'C00091', 'transaction_type': 'Debit', 'currency': 'USD', 'branch_id': 'B00048', 'transaction_amount': 31774.46, 'exchange_rate': 0.4908}
[2025-07-31T21:55:41.836+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000005', 'transaction_date': 1750456541835, 'account_id': 'A00024', 'customer_id': 'C00078', 'transaction_type': 'Deposit', 'currency': 'GBP', 'branch_id': 'B00001', 'transaction_amount': 78362.29, 'exchange_rate': 0.0268}
[2025-07-31T21:55:41.837+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000006', 'transaction_date': 1733435741837, 'account_id': 'A00017', 'customer_id': 'C00008', 'transaction_type': 'Deposit', 'currency': 'EUR', 'branch_id': 'B00094', 'transaction_amount': 32365.79, 'exchange_rate': 0.0586}
[2025-07-31T21:55:41.839+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000007', 'transaction_date': 1728856541839, 'account_id': 'A00064', 'customer_id': 'C00071', 'transaction_type': 'Transfer', 'currency': 'USD', 'branch_id': 'B00054', 'transaction_amount': 6559.56, 'exchange_rate': 0.3369}
[2025-07-31T21:55:41.841+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000008', 'transaction_date': 1753912541841, 'account_id': 'A00049', 'customer_id': 'C00027', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00013', 'transaction_amount': 6963.41, 'exchange_rate': 1.2392}
[2025-07-31T21:55:41.843+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000009', 'transaction_date': 1726437341842, 'account_id': 'A00100', 'customer_id': 'C00097', 'transaction_type': 'Credit', 'currency': 'USD', 'branch_id': 'B00053', 'transaction_amount': 16612.29, 'exchange_rate': 0.4288}
[2025-07-31T21:55:41.847+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000010', 'transaction_date': 1753566941847, 'account_id': 'A00071', 'customer_id': 'C00077', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00072', 'transaction_amount': 10571.83, 'exchange_rate': 1.0388}
[2025-07-31T21:55:41.852+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000011', 'transaction_date': 1747259741850, 'account_id': 'A00071', 'customer_id': 'C00079', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00004', 'transaction_amount': 66242.44, 'exchange_rate': 0.7478}
[2025-07-31T21:55:41.855+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000012', 'transaction_date': 1744408541854, 'account_id': 'A00066', 'customer_id': 'C00093', 'transaction_type': 'Credit', 'currency': 'USD', 'branch_id': 'B00021', 'transaction_amount': 5145.31, 'exchange_rate': 0.1526}
[2025-07-31T21:55:41.858+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000013', 'transaction_date': 1733176541857, 'account_id': 'A00100', 'customer_id': 'C00021', 'transaction_type': 'Debit', 'currency': 'USD', 'branch_id': 'B00080', 'transaction_amount': 54776.9, 'exchange_rate': 1.4076}
[2025-07-31T21:55:41.861+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000014', 'transaction_date': 1735163741861, 'account_id': 'A00075', 'customer_id': 'C00014', 'transaction_type': 'Credit', 'currency': 'USD', 'branch_id': 'B00029', 'transaction_amount': 98882.22, 'exchange_rate': 1.0746}
[2025-07-31T21:55:41.863+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000015', 'transaction_date': 1743285341863, 'account_id': 'A00075', 'customer_id': 'C00091', 'transaction_type': 'Withdraw', 'currency': 'USD', 'branch_id': 'B00019', 'transaction_amount': 132.1, 'exchange_rate': 1.1208}
[2025-07-31T21:55:41.865+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000016', 'transaction_date': 1742421341865, 'account_id': 'A00039', 'customer_id': 'C00087', 'transaction_type': 'Credit', 'currency': 'EUR', 'branch_id': 'B00079', 'transaction_amount': 9593.85, 'exchange_rate': 0.9269}
[2025-07-31T21:55:41.868+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000017', 'transaction_date': 1737928541868, 'account_id': 'A00014', 'customer_id': 'C00063', 'transaction_type': 'Credit', 'currency': 'GBP', 'branch_id': 'B00094', 'transaction_amount': 23859.38, 'exchange_rate': 1.0249}
[2025-07-31T21:55:41.870+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000018', 'transaction_date': 1742507741869, 'account_id': 'A00095', 'customer_id': 'C00044', 'transaction_type': 'Deposit', 'currency': 'EUR', 'branch_id': 'B00019', 'transaction_amount': 67115.41, 'exchange_rate': 0.662}
[2025-07-31T21:55:41.872+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000019', 'transaction_date': 1752962141872, 'account_id': 'A00084', 'customer_id': 'C00058', 'transaction_type': 'Deposit', 'currency': 'EUR', 'branch_id': 'B00030', 'transaction_amount': 44606.48, 'exchange_rate': 0.0753}
[2025-07-31T21:55:41.873+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000020', 'transaction_date': 1750283741873, 'account_id': 'A00016', 'customer_id': 'C00062', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00020', 'transaction_amount': 7765.56, 'exchange_rate': 0.9824}
[2025-07-31T21:55:41.875+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000021', 'transaction_date': 1749160541874, 'account_id': 'A00010', 'customer_id': 'C00041', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00080', 'transaction_amount': 50053.91, 'exchange_rate': 0.615}
[2025-07-31T21:55:41.877+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000022', 'transaction_date': 1745272541877, 'account_id': 'A00048', 'customer_id': 'C00012', 'transaction_type': 'Credit', 'currency': 'GBP', 'branch_id': 'B00095', 'transaction_amount': 26875.52, 'exchange_rate': 0.1969}
[2025-07-31T21:55:41.878+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000023', 'transaction_date': 1745358941878, 'account_id': 'A00064', 'customer_id': 'C00093', 'transaction_type': 'Transfer', 'currency': 'EUR', 'branch_id': 'B00062', 'transaction_amount': 18719.91, 'exchange_rate': 1.3936}
[2025-07-31T21:55:41.880+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000024', 'transaction_date': 1729806941880, 'account_id': 'A00085', 'customer_id': 'C00056', 'transaction_type': 'Withdraw', 'currency': 'GBP', 'branch_id': 'B00006', 'transaction_amount': 20086.23, 'exchange_rate': 1.0919}
[2025-07-31T21:55:41.882+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000025', 'transaction_date': 1724709341881, 'account_id': 'A00097', 'customer_id': 'C00063', 'transaction_type': 'Transfer', 'currency': 'EUR', 'branch_id': 'B00026', 'transaction_amount': 67913.76, 'exchange_rate': 0.7822}
[2025-07-31T21:55:41.887+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000026', 'transaction_date': 1752357341887, 'account_id': 'A00092', 'customer_id': 'C00077', 'transaction_type': 'Debit', 'currency': 'USD', 'branch_id': 'B00083', 'transaction_amount': 8449.15, 'exchange_rate': 0.7655}
[2025-07-31T21:55:41.892+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000027', 'transaction_date': 1749160541891, 'account_id': 'A00037', 'customer_id': 'C00026', 'transaction_type': 'Withdraw', 'currency': 'GBP', 'branch_id': 'B00064', 'transaction_amount': 49543.23, 'exchange_rate': 1.2252}
[2025-07-31T21:55:41.893+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000028', 'transaction_date': 1731794141892, 'account_id': 'A00055', 'customer_id': 'C00018', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00007', 'transaction_amount': 61372.7, 'exchange_rate': 0.803}
[2025-07-31T21:55:41.894+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000029', 'transaction_date': 1727301341894, 'account_id': 'A00085', 'customer_id': 'C00032', 'transaction_type': 'Debit', 'currency': 'USD', 'branch_id': 'B00083', 'transaction_amount': 27755.85, 'exchange_rate': 1.0653}
[2025-07-31T21:55:41.896+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000030', 'transaction_date': 1746222941895, 'account_id': 'A00004', 'customer_id': 'C00020', 'transaction_type': 'Transfer', 'currency': 'EUR', 'branch_id': 'B00047', 'transaction_amount': 18993.28, 'exchange_rate': 0.7885}
[2025-07-31T21:55:41.899+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000031', 'transaction_date': 1736114141898, 'account_id': 'A00060', 'customer_id': 'C00033', 'transaction_type': 'Credit', 'currency': 'GBP', 'branch_id': 'B00024', 'transaction_amount': 46338.56, 'exchange_rate': 0.8508}
