[2025-07-31T21:56:00.006+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T02:51:00+00:00 [queued]>
[2025-07-31T21:56:00.017+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T02:51:00+00:00 [queued]>
[2025-07-31T21:56:00.018+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 1
[2025-07-31T21:56:00.035+0000] {taskinstance.py:1380} INFO - Executing <Task(KafkaProduceOperator): generate_txn_fact_data> on 2025-07-31 02:51:00+00:00
[2025-07-31T21:56:00.042+0000] {standard_task_runner.py:57} INFO - Started process 2915 to run task
[2025-07-31T21:56:00.047+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'scheduled__2025-07-31T02:51:00+00:00', '--job-id', '1152', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator.py', '--cfg-path', '/tmp/tmpqf6og1j1']
[2025-07-31T21:56:00.052+0000] {standard_task_runner.py:85} INFO - Job 1152: Subtask generate_txn_fact_data
[2025-07-31T21:56:00.116+0000] {task_command.py:415} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T02:51:00+00:00 [running]> on host d47ad9177d65
[2025-07-31T21:56:00.251+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='GGCODE' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2025-07-31T02:51:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-07-31T02:51:00+00:00'
[2025-07-31T21:56:00.256+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.3', 9092) IPv4]
[2025-07-31T21:56:00.263+0000] {conn.py:618} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <checking_api_versions_recv> [IPv4 ('172.18.0.3', 9092)]>: Broker version identified as 2.5
[2025-07-31T21:56:00.265+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Connection complete.
[2025-07-31T21:56:00.378+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.3', 9092) IPv4]
[2025-07-31T21:56:00.385+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Connection complete.
[2025-07-31T21:56:00.385+0000] {conn.py:945} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Closing connection. 
[2025-07-31T21:56:00.392+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000001', 'transaction_date': 1734386160274, 'account_id': 'A00083', 'customer_id': 'C00095', 'transaction_type': 'Debit', 'currency': 'USD', 'branch_id': 'B00054', 'transaction_amount': 77858.93, 'exchange_rate': 0.017}
[2025-07-31T21:56:00.398+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000002', 'transaction_date': 1730411760396, 'account_id': 'A00097', 'customer_id': 'C00016', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00099', 'transaction_amount': 92974.27, 'exchange_rate': 0.4723}
[2025-07-31T21:56:00.399+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000003', 'transaction_date': 1735595760399, 'account_id': 'A00003', 'customer_id': 'C00036', 'transaction_type': 'Credit', 'currency': 'EUR', 'branch_id': 'B00063', 'transaction_amount': 81329.34, 'exchange_rate': 1.4737}
[2025-07-31T21:56:00.405+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000004', 'transaction_date': 1725314160404, 'account_id': 'A00089', 'customer_id': 'C00084', 'transaction_type': 'Transfer', 'currency': 'EUR', 'branch_id': 'B00060', 'transaction_amount': 4350.05, 'exchange_rate': 1.0899}
[2025-07-31T21:56:00.408+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000005', 'transaction_date': 1725486960407, 'account_id': 'A00100', 'customer_id': 'C00027', 'transaction_type': 'Transfer', 'currency': 'USD', 'branch_id': 'B00038', 'transaction_amount': 90152.79, 'exchange_rate': 0.3488}
[2025-07-31T21:56:00.411+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000006', 'transaction_date': 1741730160410, 'account_id': 'A00095', 'customer_id': 'C00093', 'transaction_type': 'Credit', 'currency': 'GBP', 'branch_id': 'B00076', 'transaction_amount': 74522.37, 'exchange_rate': 1.1076}
[2025-07-31T21:56:00.413+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000007', 'transaction_date': 1747518960412, 'account_id': 'A00000', 'customer_id': 'C00039', 'transaction_type': 'Credit', 'currency': 'GBP', 'branch_id': 'B00045', 'transaction_amount': 4943.15, 'exchange_rate': 0.8798}
[2025-07-31T21:56:00.414+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000008', 'transaction_date': 1732312560414, 'account_id': 'A00100', 'customer_id': 'C00011', 'transaction_type': 'Transfer', 'currency': 'USD', 'branch_id': 'B00022', 'transaction_amount': 1983.57, 'exchange_rate': 1.101}
[2025-07-31T21:56:00.416+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000009', 'transaction_date': 1739138160416, 'account_id': 'A00084', 'customer_id': 'C00044', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00063', 'transaction_amount': 75693.9, 'exchange_rate': 1.4723}
[2025-07-31T21:56:00.417+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000010', 'transaction_date': 1727387760417, 'account_id': 'A00017', 'customer_id': 'C00093', 'transaction_type': 'Credit', 'currency': 'USD', 'branch_id': 'B00085', 'transaction_amount': 54711.22, 'exchange_rate': 0.0608}
[2025-07-31T21:56:00.417+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000011', 'transaction_date': 1726178160417, 'account_id': 'A00070', 'customer_id': 'C00091', 'transaction_type': 'Transfer', 'currency': 'EUR', 'branch_id': 'B00072', 'transaction_amount': 78378.05, 'exchange_rate': 0.8611}
[2025-07-31T21:56:00.422+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000012', 'transaction_date': 1747864560421, 'account_id': 'A00039', 'customer_id': 'C00018', 'transaction_type': 'Credit', 'currency': 'GBP', 'branch_id': 'B00095', 'transaction_amount': 45894.29, 'exchange_rate': 1.2876}
