[2025-07-31T21:56:01.538+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T02:59:00+00:00 [queued]>
[2025-07-31T21:56:01.544+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T02:59:00+00:00 [queued]>
[2025-07-31T21:56:01.544+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 1
[2025-07-31T21:56:01.552+0000] {taskinstance.py:1380} INFO - Executing <Task(KafkaProduceOperator): generate_txn_fact_data> on 2025-07-31 02:59:00+00:00
[2025-07-31T21:56:01.555+0000] {standard_task_runner.py:57} INFO - Started process 2939 to run task
[2025-07-31T21:56:01.557+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'scheduled__2025-07-31T02:59:00+00:00', '--job-id', '1161', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator.py', '--cfg-path', '/tmp/tmpg2p5_a89']
[2025-07-31T21:56:01.559+0000] {standard_task_runner.py:85} INFO - Job 1161: Subtask generate_txn_fact_data
[2025-07-31T21:56:01.586+0000] {task_command.py:415} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T02:59:00+00:00 [running]> on host d47ad9177d65
[2025-07-31T21:56:01.642+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='GGCODE' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2025-07-31T02:59:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-07-31T02:59:00+00:00'
[2025-07-31T21:56:01.644+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.3', 9092) IPv4]
[2025-07-31T21:56:01.646+0000] {conn.py:618} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <checking_api_versions_recv> [IPv4 ('172.18.0.3', 9092)]>: Broker version identified as 2.5
[2025-07-31T21:56:01.646+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Connection complete.
[2025-07-31T21:56:01.749+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.3', 9092) IPv4]
[2025-07-31T21:56:01.750+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Connection complete.
[2025-07-31T21:56:01.750+0000] {conn.py:945} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Closing connection. 
[2025-07-31T21:56:01.751+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000001', 'transaction_date': 1723067761647, 'account_id': 'A00041', 'customer_id': 'C00073', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00074', 'transaction_amount': 33698.74, 'exchange_rate': 0.7743}
[2025-07-31T21:56:01.752+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000002', 'transaction_date': 1726610161752, 'account_id': 'A00086', 'customer_id': 'C00057', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00026', 'transaction_amount': 4578.4, 'exchange_rate': 1.1639}
[2025-07-31T21:56:01.753+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000003', 'transaction_date': 1751666161753, 'account_id': 'A00033', 'customer_id': 'C00037', 'transaction_type': 'Deposit', 'currency': 'EUR', 'branch_id': 'B00018', 'transaction_amount': 68538.22, 'exchange_rate': 0.7827}
[2025-07-31T21:56:01.753+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000004', 'transaction_date': 1727214961753, 'account_id': 'A00022', 'customer_id': 'C00025', 'transaction_type': 'Withdraw', 'currency': 'GBP', 'branch_id': 'B00083', 'transaction_amount': 8409.69, 'exchange_rate': 0.3214}
[2025-07-31T21:56:01.754+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000005', 'transaction_date': 1734818161754, 'account_id': 'A00065', 'customer_id': 'C00022', 'transaction_type': 'Credit', 'currency': 'USD', 'branch_id': 'B00019', 'transaction_amount': 43556.98, 'exchange_rate': 1.4093}
[2025-07-31T21:56:01.755+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000006', 'transaction_date': 1738619761754, 'account_id': 'A00076', 'customer_id': 'C00066', 'transaction_type': 'Withdraw', 'currency': 'EUR', 'branch_id': 'B00074', 'transaction_amount': 99884.21, 'exchange_rate': 1.0633}
[2025-07-31T21:56:01.755+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000007', 'transaction_date': 1749506161755, 'account_id': 'A00040', 'customer_id': 'C00036', 'transaction_type': 'Deposit', 'currency': 'EUR', 'branch_id': 'B00038', 'transaction_amount': 51360.5, 'exchange_rate': 0.3192}
[2025-07-31T21:56:01.756+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000008', 'transaction_date': 1733090161756, 'account_id': 'A00079', 'customer_id': 'C00065', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00034', 'transaction_amount': 58804.98, 'exchange_rate': 0.4069}
[2025-07-31T21:56:01.757+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000009', 'transaction_date': 1724363761757, 'account_id': 'A00079', 'customer_id': 'C00082', 'transaction_type': 'Withdraw', 'currency': 'GBP', 'branch_id': 'B00081', 'transaction_amount': 46567.58, 'exchange_rate': 1.4286}
[2025-07-31T21:56:01.757+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000010', 'transaction_date': 1747864561757, 'account_id': 'A00041', 'customer_id': 'C00004', 'transaction_type': 'Credit', 'currency': 'GBP', 'branch_id': 'B00010', 'transaction_amount': 6347.2, 'exchange_rate': 0.545}
[2025-07-31T21:56:01.758+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000011', 'transaction_date': 1738878961758, 'account_id': 'A00081', 'customer_id': 'C00018', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00078', 'transaction_amount': 9736.0, 'exchange_rate': 1.1232}
[2025-07-31T21:56:01.758+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000012', 'transaction_date': 1731794161758, 'account_id': 'A00082', 'customer_id': 'C00048', 'transaction_type': 'Withdraw', 'currency': 'USD', 'branch_id': 'B00026', 'transaction_amount': 56509.45, 'exchange_rate': 0.9161}
