[2025-07-31T21:56:06.757+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T03:07:00+00:00 [queued]>
[2025-07-31T21:56:06.774+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T03:07:00+00:00 [queued]>
[2025-07-31T21:56:06.776+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 1
[2025-07-31T21:56:06.927+0000] {taskinstance.py:1380} INFO - Executing <Task(KafkaProduceOperator): generate_txn_fact_data> on 2025-07-31 03:07:00+00:00
[2025-07-31T21:56:06.935+0000] {standard_task_runner.py:57} INFO - Started process 2982 to run task
[2025-07-31T21:56:06.938+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'scheduled__2025-07-31T03:07:00+00:00', '--job-id', '1173', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator.py', '--cfg-path', '/tmp/tmp7phhjd6q']
[2025-07-31T21:56:06.941+0000] {standard_task_runner.py:85} INFO - Job 1173: Subtask generate_txn_fact_data
[2025-07-31T21:56:07.016+0000] {task_command.py:415} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T03:07:00+00:00 [running]> on host d47ad9177d65
[2025-07-31T21:56:07.114+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='GGCODE' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2025-07-31T03:07:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-07-31T03:07:00+00:00'
[2025-07-31T21:56:07.120+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.3', 9092) IPv4]
[2025-07-31T21:56:07.123+0000] {conn.py:618} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <checking_api_versions_recv> [IPv4 ('172.18.0.3', 9092)]>: Broker version identified as 2.5
[2025-07-31T21:56:07.123+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Connection complete.
[2025-07-31T21:56:07.229+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.3', 9092) IPv4]
[2025-07-31T21:56:07.230+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Connection complete.
[2025-07-31T21:56:07.231+0000] {conn.py:945} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Closing connection. 
[2025-07-31T21:56:07.239+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000001', 'transaction_date': 1731102967126, 'account_id': 'A00096', 'customer_id': 'C00027', 'transaction_type': 'Deposit', 'currency': 'EUR', 'branch_id': 'B00015', 'transaction_amount': 807.76, 'exchange_rate': 1.2465}
[2025-07-31T21:56:07.240+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000002', 'transaction_date': 1722722167240, 'account_id': 'A00011', 'customer_id': 'C00063', 'transaction_type': 'Withdraw', 'currency': 'GBP', 'branch_id': 'B00060', 'transaction_amount': 19708.04, 'exchange_rate': 1.2751}
[2025-07-31T21:56:07.242+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000003', 'transaction_date': 1752357367242, 'account_id': 'A00036', 'customer_id': 'C00035', 'transaction_type': 'Credit', 'currency': 'EUR', 'branch_id': 'B00073', 'transaction_amount': 38736.6, 'exchange_rate': 0.9584}
[2025-07-31T21:56:07.244+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000004', 'transaction_date': 1726264567244, 'account_id': 'A00031', 'customer_id': 'C00083', 'transaction_type': 'Withdraw', 'currency': 'EUR', 'branch_id': 'B00000', 'transaction_amount': 66735.04, 'exchange_rate': 1.4831}
[2025-07-31T21:56:07.246+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000005', 'transaction_date': 1737410167245, 'account_id': 'A00091', 'customer_id': 'C00021', 'transaction_type': 'Credit', 'currency': 'USD', 'branch_id': 'B00077', 'transaction_amount': 25004.19, 'exchange_rate': 0.2533}
[2025-07-31T21:56:07.247+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000006', 'transaction_date': 1729979767247, 'account_id': 'A00055', 'customer_id': 'C00077', 'transaction_type': 'Withdraw', 'currency': 'GBP', 'branch_id': 'B00010', 'transaction_amount': 7378.8, 'exchange_rate': 0.1222}
[2025-07-31T21:56:07.250+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000007', 'transaction_date': 1736114167248, 'account_id': 'A00005', 'customer_id': 'C00052', 'transaction_type': 'Withdraw', 'currency': 'USD', 'branch_id': 'B00096', 'transaction_amount': 16959.87, 'exchange_rate': 0.2843}
[2025-07-31T21:56:07.250+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000008', 'transaction_date': 1737410167250, 'account_id': 'A00007', 'customer_id': 'C00090', 'transaction_type': 'Credit', 'currency': 'GBP', 'branch_id': 'B00097', 'transaction_amount': 87603.88, 'exchange_rate': 1.4584}
[2025-07-31T21:56:07.252+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000009', 'transaction_date': 1728683767252, 'account_id': 'A00048', 'customer_id': 'C00075', 'transaction_type': 'Credit', 'currency': 'USD', 'branch_id': 'B00093', 'transaction_amount': 68117.35, 'exchange_rate': 1.3229}
[2025-07-31T21:56:07.253+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000010', 'transaction_date': 1728510967253, 'account_id': 'A00099', 'customer_id': 'C00064', 'transaction_type': 'Credit', 'currency': 'EUR', 'branch_id': 'B00072', 'transaction_amount': 35209.66, 'exchange_rate': 0.2509}
[2025-07-31T21:56:07.254+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000011', 'transaction_date': 1738360567254, 'account_id': 'A00078', 'customer_id': 'C00100', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00001', 'transaction_amount': 46748.53, 'exchange_rate': 1.3127}
[2025-07-31T21:56:07.255+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000012', 'transaction_date': 1731707767255, 'account_id': 'A00048', 'customer_id': 'C00044', 'transaction_type': 'Withdraw', 'currency': 'GBP', 'branch_id': 'B00019', 'transaction_amount': 37740.52, 'exchange_rate': 1.0474}
