[2025-07-31T21:56:12.966+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T03:26:00+00:00 [queued]>
[2025-07-31T21:56:12.972+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T03:26:00+00:00 [queued]>
[2025-07-31T21:56:12.973+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 1
[2025-07-31T21:56:12.981+0000] {taskinstance.py:1380} INFO - Executing <Task(KafkaProduceOperator): generate_txn_fact_data> on 2025-07-31 03:26:00+00:00
[2025-07-31T21:56:12.984+0000] {standard_task_runner.py:57} INFO - Started process 3037 to run task
[2025-07-31T21:56:12.986+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'scheduled__2025-07-31T03:26:00+00:00', '--job-id', '1193', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator.py', '--cfg-path', '/tmp/tmpb0agha7j']
[2025-07-31T21:56:12.988+0000] {standard_task_runner.py:85} INFO - Job 1193: Subtask generate_txn_fact_data
[2025-07-31T21:56:13.019+0000] {task_command.py:415} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T03:26:00+00:00 [running]> on host d47ad9177d65
[2025-07-31T21:56:13.068+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='GGCODE' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2025-07-31T03:26:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-07-31T03:26:00+00:00'
[2025-07-31T21:56:13.070+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.3', 9092) IPv4]
[2025-07-31T21:56:13.072+0000] {conn.py:618} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <checking_api_versions_recv> [IPv4 ('172.18.0.3', 9092)]>: Broker version identified as 2.5
[2025-07-31T21:56:13.072+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Connection complete.
[2025-07-31T21:56:13.177+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.3', 9092) IPv4]
[2025-07-31T21:56:13.178+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Connection complete.
[2025-07-31T21:56:13.178+0000] {conn.py:945} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Closing connection. 
[2025-07-31T21:56:13.179+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000001', 'transaction_date': 1740261373074, 'account_id': 'A00064', 'customer_id': 'C00008', 'transaction_type': 'Withdraw', 'currency': 'USD', 'branch_id': 'B00047', 'transaction_amount': 30546.77, 'exchange_rate': 0.9572}
[2025-07-31T21:56:13.180+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000002', 'transaction_date': 1740002173180, 'account_id': 'A00064', 'customer_id': 'C00041', 'transaction_type': 'Deposit', 'currency': 'EUR', 'branch_id': 'B00095', 'transaction_amount': 73412.51, 'exchange_rate': 1.4572}
[2025-07-31T21:56:13.181+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000003', 'transaction_date': 1735509373181, 'account_id': 'A00016', 'customer_id': 'C00075', 'transaction_type': 'Credit', 'currency': 'USD', 'branch_id': 'B00023', 'transaction_amount': 10971.93, 'exchange_rate': 0.5531}
[2025-07-31T21:56:13.182+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000004', 'transaction_date': 1741902973182, 'account_id': 'A00034', 'customer_id': 'C00049', 'transaction_type': 'Transfer', 'currency': 'EUR', 'branch_id': 'B00060', 'transaction_amount': 68077.67, 'exchange_rate': 0.8415}
[2025-07-31T21:56:13.183+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000005', 'transaction_date': 1747950973183, 'account_id': 'A00024', 'customer_id': 'C00097', 'transaction_type': 'Withdraw', 'currency': 'EUR', 'branch_id': 'B00004', 'transaction_amount': 29009.51, 'exchange_rate': 0.924}
[2025-07-31T21:56:13.185+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000006', 'transaction_date': 1751752573184, 'account_id': 'A00016', 'customer_id': 'C00043', 'transaction_type': 'Transfer', 'currency': 'USD', 'branch_id': 'B00046', 'transaction_amount': 83072.94, 'exchange_rate': 0.0788}
[2025-07-31T21:56:13.185+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000007', 'transaction_date': 1746914173185, 'account_id': 'A00057', 'customer_id': 'C00097', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00099', 'transaction_amount': 15034.46, 'exchange_rate': 0.2565}
[2025-07-31T21:56:13.186+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000008', 'transaction_date': 1727387773186, 'account_id': 'A00023', 'customer_id': 'C00096', 'transaction_type': 'Withdraw', 'currency': 'USD', 'branch_id': 'B00026', 'transaction_amount': 99589.58, 'exchange_rate': 0.1393}
[2025-07-31T21:56:13.187+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000009', 'transaction_date': 1723067773187, 'account_id': 'A00075', 'customer_id': 'C00040', 'transaction_type': 'Withdraw', 'currency': 'GBP', 'branch_id': 'B00091', 'transaction_amount': 87598.68, 'exchange_rate': 0.1766}
[2025-07-31T21:56:13.188+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000010', 'transaction_date': 1738706173188, 'account_id': 'A00060', 'customer_id': 'C00072', 'transaction_type': 'Credit', 'currency': 'GBP', 'branch_id': 'B00023', 'transaction_amount': 26156.33, 'exchange_rate': 0.7493}
[2025-07-31T21:56:13.190+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000011', 'transaction_date': 1725227773188, 'account_id': 'A00017', 'customer_id': 'C00052', 'transaction_type': 'Transfer', 'currency': 'EUR', 'branch_id': 'B00065', 'transaction_amount': 58935.08, 'exchange_rate': 1.4153}
[2025-07-31T21:56:13.191+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000012', 'transaction_date': 1752270973190, 'account_id': 'A00045', 'customer_id': 'C00050', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00086', 'transaction_amount': 58404.18, 'exchange_rate': 0.6871}
