[2025-07-31T21:56:23.574+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T03:32:00+00:00 [queued]>
[2025-07-31T21:56:23.579+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T03:32:00+00:00 [queued]>
[2025-07-31T21:56:23.579+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 1
[2025-07-31T21:56:23.587+0000] {taskinstance.py:1380} INFO - Executing <Task(KafkaProduceOperator): generate_txn_fact_data> on 2025-07-31 03:32:00+00:00
[2025-07-31T21:56:23.590+0000] {standard_task_runner.py:57} INFO - Started process 3066 to run task
[2025-07-31T21:56:23.592+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'scheduled__2025-07-31T03:32:00+00:00', '--job-id', '1199', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator.py', '--cfg-path', '/tmp/tmpz00tsziv']
[2025-07-31T21:56:23.594+0000] {standard_task_runner.py:85} INFO - Job 1199: Subtask generate_txn_fact_data
[2025-07-31T21:56:23.621+0000] {task_command.py:415} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T03:32:00+00:00 [running]> on host d47ad9177d65
[2025-07-31T21:56:23.673+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='GGCODE' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2025-07-31T03:32:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-07-31T03:32:00+00:00'
[2025-07-31T21:56:23.675+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.3', 9092) IPv4]
[2025-07-31T21:56:23.677+0000] {conn.py:618} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <checking_api_versions_recv> [IPv4 ('172.18.0.3', 9092)]>: Broker version identified as 2.5
[2025-07-31T21:56:23.677+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Connection complete.
[2025-07-31T21:56:23.828+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.3', 9092) IPv4]
[2025-07-31T21:56:23.831+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Connection complete.
[2025-07-31T21:56:23.834+0000] {conn.py:945} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Closing connection. 
[2025-07-31T21:56:23.847+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000001', 'transaction_date': 1737928583679, 'account_id': 'A00100', 'customer_id': 'C00045', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00097', 'transaction_amount': 76327.57, 'exchange_rate': 1.1163}
[2025-07-31T21:56:23.851+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000002', 'transaction_date': 1722981383850, 'account_id': 'A00016', 'customer_id': 'C00022', 'transaction_type': 'Credit', 'currency': 'USD', 'branch_id': 'B00037', 'transaction_amount': 31291.95, 'exchange_rate': 1.2251}
[2025-07-31T21:56:23.857+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000003', 'transaction_date': 1724622983857, 'account_id': 'A00036', 'customer_id': 'C00060', 'transaction_type': 'Credit', 'currency': 'USD', 'branch_id': 'B00028', 'transaction_amount': 44990.84, 'exchange_rate': 0.296}
[2025-07-31T21:56:23.870+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000004', 'transaction_date': 1734213383870, 'account_id': 'A00057', 'customer_id': 'C00024', 'transaction_type': 'Deposit', 'currency': 'GBP', 'branch_id': 'B00008', 'transaction_amount': 64628.05, 'exchange_rate': 1.1184}
[2025-07-31T21:56:23.873+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000005', 'transaction_date': 1730411783872, 'account_id': 'A00079', 'customer_id': 'C00028', 'transaction_type': 'Withdraw', 'currency': 'USD', 'branch_id': 'B00100', 'transaction_amount': 74292.74, 'exchange_rate': 0.2582}
[2025-07-31T21:56:23.875+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000006', 'transaction_date': 1726264583875, 'account_id': 'A00007', 'customer_id': 'C00090', 'transaction_type': 'Deposit', 'currency': 'GBP', 'branch_id': 'B00082', 'transaction_amount': 7040.81, 'exchange_rate': 0.1424}
[2025-07-31T21:56:23.878+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000007', 'transaction_date': 1734645383878, 'account_id': 'A00053', 'customer_id': 'C00081', 'transaction_type': 'Credit', 'currency': 'GBP', 'branch_id': 'B00091', 'transaction_amount': 37521.56, 'exchange_rate': 1.3374}
[2025-07-31T21:56:23.881+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000008', 'transaction_date': 1735595783881, 'account_id': 'A00057', 'customer_id': 'C00023', 'transaction_type': 'Deposit', 'currency': 'GBP', 'branch_id': 'B00055', 'transaction_amount': 66440.9, 'exchange_rate': 0.243}
[2025-07-31T21:56:23.883+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000009', 'transaction_date': 1741038983883, 'account_id': 'A00037', 'customer_id': 'C00015', 'transaction_type': 'Credit', 'currency': 'GBP', 'branch_id': 'B00096', 'transaction_amount': 68717.53, 'exchange_rate': 1.1537}
[2025-07-31T21:56:23.885+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000010', 'transaction_date': 1724277383885, 'account_id': 'A00044', 'customer_id': 'C00000', 'transaction_type': 'Withdraw', 'currency': 'EUR', 'branch_id': 'B00047', 'transaction_amount': 34116.66, 'exchange_rate': 0.2519}
[2025-07-31T21:56:23.888+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000011', 'transaction_date': 1743112583887, 'account_id': 'A00046', 'customer_id': 'C00055', 'transaction_type': 'Withdraw', 'currency': 'GBP', 'branch_id': 'B00089', 'transaction_amount': 58483.06, 'exchange_rate': 0.5562}
[2025-07-31T21:56:23.890+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000012', 'transaction_date': 1728251783889, 'account_id': 'A00073', 'customer_id': 'C00008', 'transaction_type': 'Credit', 'currency': 'EUR', 'branch_id': 'B00053', 'transaction_amount': 29467.84, 'exchange_rate': 0.4546}
[2025-07-31T21:56:23.893+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000013', 'transaction_date': 1730411783893, 'account_id': 'A00063', 'customer_id': 'C00036', 'transaction_type': 'Withdraw', 'currency': 'EUR', 'branch_id': 'B00011', 'transaction_amount': 18158.3, 'exchange_rate': 0.9019}
[2025-07-31T21:56:23.896+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000014', 'transaction_date': 1749333383895, 'account_id': 'A00021', 'customer_id': 'C00013', 'transaction_type': 'Withdraw', 'currency': 'EUR', 'branch_id': 'B00039', 'transaction_amount': 93289.98, 'exchange_rate': 0.7937}
[2025-07-31T21:56:23.902+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000015', 'transaction_date': 1729634183901, 'account_id': 'A00025', 'customer_id': 'C00042', 'transaction_type': 'Deposit', 'currency': 'GBP', 'branch_id': 'B00007', 'transaction_amount': 76950.48, 'exchange_rate': 0.675}
[2025-07-31T21:56:23.905+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000016', 'transaction_date': 1745790983904, 'account_id': 'A00014', 'customer_id': 'C00021', 'transaction_type': 'Withdraw', 'currency': 'GBP', 'branch_id': 'B00097', 'transaction_amount': 52294.7, 'exchange_rate': 0.091}
[2025-07-31T21:56:23.907+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000017', 'transaction_date': 1723154183907, 'account_id': 'A00053', 'customer_id': 'C00019', 'transaction_type': 'Debit', 'currency': 'USD', 'branch_id': 'B00080', 'transaction_amount': 78402.73, 'exchange_rate': 0.6891}
[2025-07-31T21:56:23.910+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000018', 'transaction_date': 1723931783909, 'account_id': 'A00024', 'customer_id': 'C00025', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00004', 'transaction_amount': 45300.72, 'exchange_rate': 0.7284}
[2025-07-31T21:56:23.913+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000019', 'transaction_date': 1742334983913, 'account_id': 'A00006', 'customer_id': 'C00091', 'transaction_type': 'Withdraw', 'currency': 'GBP', 'branch_id': 'B00065', 'transaction_amount': 70345.25, 'exchange_rate': 1.2115}
[2025-07-31T21:56:23.916+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000020', 'transaction_date': 1738187783916, 'account_id': 'A00065', 'customer_id': 'C00017', 'transaction_type': 'Transfer', 'currency': 'USD', 'branch_id': 'B00077', 'transaction_amount': 66434.69, 'exchange_rate': 0.3419}
[2025-07-31T21:56:23.919+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000021', 'transaction_date': 1725918983918, 'account_id': 'A00014', 'customer_id': 'C00083', 'transaction_type': 'Debit', 'currency': 'USD', 'branch_id': 'B00033', 'transaction_amount': 98430.72, 'exchange_rate': 0.1825}
[2025-07-31T21:56:23.921+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000022', 'transaction_date': 1727733383921, 'account_id': 'A00016', 'customer_id': 'C00043', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00099', 'transaction_amount': 77044.79, 'exchange_rate': 1.3939}
[2025-07-31T21:56:23.923+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000023', 'transaction_date': 1741557383923, 'account_id': 'A00091', 'customer_id': 'C00046', 'transaction_type': 'Debit', 'currency': 'USD', 'branch_id': 'B00093', 'transaction_amount': 41741.85, 'exchange_rate': 1.0109}
[2025-07-31T21:56:23.926+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000024', 'transaction_date': 1730066183925, 'account_id': 'A00024', 'customer_id': 'C00058', 'transaction_type': 'Withdraw', 'currency': 'USD', 'branch_id': 'B00076', 'transaction_amount': 30209.52, 'exchange_rate': 0.0523}
[2025-07-31T21:56:23.929+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000025', 'transaction_date': 1741816583927, 'account_id': 'A00061', 'customer_id': 'C00006', 'transaction_type': 'Deposit', 'currency': 'EUR', 'branch_id': 'B00049', 'transaction_amount': 46393.9, 'exchange_rate': 1.0096}
[2025-07-31T21:56:23.931+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000026', 'transaction_date': 1747518983930, 'account_id': 'A00043', 'customer_id': 'C00005', 'transaction_type': 'Withdraw', 'currency': 'USD', 'branch_id': 'B00091', 'transaction_amount': 65195.77, 'exchange_rate': 0.8096}
[2025-07-31T21:56:23.932+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000027', 'transaction_date': 1727906183932, 'account_id': 'A00018', 'customer_id': 'C00053', 'transaction_type': 'Credit', 'currency': 'GBP', 'branch_id': 'B00008', 'transaction_amount': 87104.48, 'exchange_rate': 0.0043}
[2025-07-31T21:56:23.934+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000028', 'transaction_date': 1747691783934, 'account_id': 'A00052', 'customer_id': 'C00086', 'transaction_type': 'Withdraw', 'currency': 'GBP', 'branch_id': 'B00020', 'transaction_amount': 58229.08, 'exchange_rate': 0.5468}
[2025-07-31T21:56:23.936+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000029', 'transaction_date': 1737237383936, 'account_id': 'A00066', 'customer_id': 'C00073', 'transaction_type': 'Credit', 'currency': 'EUR', 'branch_id': 'B00052', 'transaction_amount': 1633.28, 'exchange_rate': 1.0517}
[2025-07-31T21:56:23.937+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000030', 'transaction_date': 1742334983937, 'account_id': 'A00060', 'customer_id': 'C00062', 'transaction_type': 'Transfer', 'currency': 'EUR', 'branch_id': 'B00067', 'transaction_amount': 95944.32, 'exchange_rate': 0.7729}
[2025-07-31T21:56:23.939+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000031', 'transaction_date': 1748901383939, 'account_id': 'A00068', 'customer_id': 'C00074', 'transaction_type': 'Withdraw', 'currency': 'USD', 'branch_id': 'B00049', 'transaction_amount': 88402.43, 'exchange_rate': 0.7669}
[2025-07-31T21:56:23.941+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000032', 'transaction_date': 1734299783941, 'account_id': 'A00084', 'customer_id': 'C00083', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00042', 'transaction_amount': 31838.27, 'exchange_rate': 0.2153}
[2025-07-31T21:56:23.943+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000033', 'transaction_date': 1750802183942, 'account_id': 'A00030', 'customer_id': 'C00079', 'transaction_type': 'Deposit', 'currency': 'GBP', 'branch_id': 'B00020', 'transaction_amount': 60269.35, 'exchange_rate': 0.2571}
[2025-07-31T21:56:23.944+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000034', 'transaction_date': 1752875783944, 'account_id': 'A00003', 'customer_id': 'C00081', 'transaction_type': 'Credit', 'currency': 'USD', 'branch_id': 'B00005', 'transaction_amount': 86507.42, 'exchange_rate': 0.4434}
[2025-07-31T21:56:23.945+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000035', 'transaction_date': 1741989383945, 'account_id': 'A00032', 'customer_id': 'C00030', 'transaction_type': 'Withdraw', 'currency': 'EUR', 'branch_id': 'B00075', 'transaction_amount': 58818.39, 'exchange_rate': 0.1554}
[2025-07-31T21:56:23.947+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000036', 'transaction_date': 1731448583946, 'account_id': 'A00060', 'customer_id': 'C00055', 'transaction_type': 'Transfer', 'currency': 'USD', 'branch_id': 'B00084', 'transaction_amount': 90476.16, 'exchange_rate': 0.2172}
[2025-07-31T21:56:23.947+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000037', 'transaction_date': 1736546183947, 'account_id': 'A00064', 'customer_id': 'C00033', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00056', 'transaction_amount': 87329.98, 'exchange_rate': 0.7993}
[2025-07-31T21:56:23.949+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000038', 'transaction_date': 1728424583948, 'account_id': 'A00017', 'customer_id': 'C00053', 'transaction_type': 'Deposit', 'currency': 'GBP', 'branch_id': 'B00010', 'transaction_amount': 72325.81, 'exchange_rate': 1.2674}
[2025-07-31T21:56:23.951+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000039', 'transaction_date': 1725832583950, 'account_id': 'A00011', 'customer_id': 'C00070', 'transaction_type': 'Debit', 'currency': 'USD', 'branch_id': 'B00056', 'transaction_amount': 12369.95, 'exchange_rate': 0.1239}
[2025-07-31T21:56:23.952+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000040', 'transaction_date': 1727301383952, 'account_id': 'A00021', 'customer_id': 'C00014', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00060', 'transaction_amount': 40333.43, 'exchange_rate': 1.3064}
[2025-07-31T21:56:23.953+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000041', 'transaction_date': 1733781383953, 'account_id': 'A00001', 'customer_id': 'C00053', 'transaction_type': 'Debit', 'currency': 'USD', 'branch_id': 'B00002', 'transaction_amount': 30175.43, 'exchange_rate': 0.0418}
[2025-07-31T21:56:23.954+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000042', 'transaction_date': 1738619783954, 'account_id': 'A00031', 'customer_id': 'C00018', 'transaction_type': 'Transfer', 'currency': 'USD', 'branch_id': 'B00064', 'transaction_amount': 22476.12, 'exchange_rate': 0.1282}
[2025-07-31T21:56:23.955+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000043', 'transaction_date': 1724190983955, 'account_id': 'A00040', 'customer_id': 'C00008', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00096', 'transaction_amount': 8966.77, 'exchange_rate': 0.6719}
[2025-07-31T21:56:23.956+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000044', 'transaction_date': 1748555783956, 'account_id': 'A00022', 'customer_id': 'C00041', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00070', 'transaction_amount': 54934.49, 'exchange_rate': 0.3597}
[2025-07-31T21:56:23.958+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000045', 'transaction_date': 1749074183957, 'account_id': 'A00096', 'customer_id': 'C00089', 'transaction_type': 'Deposit', 'currency': 'EUR', 'branch_id': 'B00063', 'transaction_amount': 2662.25, 'exchange_rate': 1.12}
[2025-07-31T21:56:23.958+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000046', 'transaction_date': 1739483783958, 'account_id': 'A00083', 'customer_id': 'C00032', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00087', 'transaction_amount': 8018.31, 'exchange_rate': 1.323}
