[2025-07-31T21:56:40.804+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T03:53:00+00:00 [queued]>
[2025-07-31T21:56:40.815+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T03:53:00+00:00 [queued]>
[2025-07-31T21:56:40.816+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 1
[2025-07-31T21:56:40.867+0000] {taskinstance.py:1380} INFO - Executing <Task(KafkaProduceOperator): generate_txn_fact_data> on 2025-07-31 03:53:00+00:00
[2025-07-31T21:56:40.874+0000] {standard_task_runner.py:57} INFO - Started process 3170 to run task
[2025-07-31T21:56:40.882+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'scheduled__2025-07-31T03:53:00+00:00', '--job-id', '1220', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator.py', '--cfg-path', '/tmp/tmpynjsmavy']
[2025-07-31T21:56:40.892+0000] {standard_task_runner.py:85} INFO - Job 1220: Subtask generate_txn_fact_data
[2025-07-31T21:56:41.090+0000] {task_command.py:415} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T03:53:00+00:00 [running]> on host d47ad9177d65
[2025-07-31T21:56:41.241+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='GGCODE' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2025-07-31T03:53:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-07-31T03:53:00+00:00'
[2025-07-31T21:56:41.246+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.3', 9092) IPv4]
[2025-07-31T21:56:41.250+0000] {conn.py:618} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <checking_api_versions_recv> [IPv4 ('172.18.0.3', 9092)]>: Broker version identified as 2.5
[2025-07-31T21:56:41.251+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Connection complete.
[2025-07-31T21:56:41.358+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.3', 9092) IPv4]
[2025-07-31T21:56:41.359+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Connection complete.
[2025-07-31T21:56:41.360+0000] {conn.py:945} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Closing connection. 
[2025-07-31T21:56:41.363+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000001', 'transaction_date': 1738879001256, 'account_id': 'A00055', 'customer_id': 'C00065', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00081', 'transaction_amount': 46824.66, 'exchange_rate': 0.1353}
[2025-07-31T21:56:41.365+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000002', 'transaction_date': 1722808601365, 'account_id': 'A00004', 'customer_id': 'C00092', 'transaction_type': 'Deposit', 'currency': 'GBP', 'branch_id': 'B00096', 'transaction_amount': 1732.47, 'exchange_rate': 1.0707}
[2025-07-31T21:56:41.369+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000003', 'transaction_date': 1740002201368, 'account_id': 'A00014', 'customer_id': 'C00036', 'transaction_type': 'Transfer', 'currency': 'EUR', 'branch_id': 'B00058', 'transaction_amount': 36600.04, 'exchange_rate': 0.4405}
[2025-07-31T21:56:41.374+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000004', 'transaction_date': 1744408601373, 'account_id': 'A00077', 'customer_id': 'C00040', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00028', 'transaction_amount': 57196.37, 'exchange_rate': 0.3378}
[2025-07-31T21:56:41.377+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000005', 'transaction_date': 1723759001377, 'account_id': 'A00028', 'customer_id': 'C00007', 'transaction_type': 'Transfer', 'currency': 'EUR', 'branch_id': 'B00060', 'transaction_amount': 95001.09, 'exchange_rate': 1.443}
[2025-07-31T21:56:41.380+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000006', 'transaction_date': 1732399001380, 'account_id': 'A00056', 'customer_id': 'C00059', 'transaction_type': 'Transfer', 'currency': 'USD', 'branch_id': 'B00066', 'transaction_amount': 82648.3, 'exchange_rate': 1.4836}
[2025-07-31T21:56:41.382+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000007', 'transaction_date': 1737323801382, 'account_id': 'A00065', 'customer_id': 'C00022', 'transaction_type': 'Withdraw', 'currency': 'USD', 'branch_id': 'B00057', 'transaction_amount': 5630.37, 'exchange_rate': 0.2295}
[2025-07-31T21:56:41.384+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000008', 'transaction_date': 1741471001384, 'account_id': 'A00060', 'customer_id': 'C00069', 'transaction_type': 'Transfer', 'currency': 'USD', 'branch_id': 'B00020', 'transaction_amount': 31225.33, 'exchange_rate': 0.7893}
[2025-07-31T21:56:41.388+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000009', 'transaction_date': 1732831001387, 'account_id': 'A00044', 'customer_id': 'C00024', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00037', 'transaction_amount': 64582.71, 'exchange_rate': 1.0819}
[2025-07-31T21:56:41.388+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000010', 'transaction_date': 1745359001388, 'account_id': 'A00069', 'customer_id': 'C00100', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00027', 'transaction_amount': 4457.28, 'exchange_rate': 0.3999}
[2025-07-31T21:56:41.392+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000011', 'transaction_date': 1738447001391, 'account_id': 'A00100', 'customer_id': 'C00043', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00066', 'transaction_amount': 5636.27, 'exchange_rate': 1.0457}
[2025-07-31T21:56:41.397+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000012', 'transaction_date': 1739743001396, 'account_id': 'A00062', 'customer_id': 'C00057', 'transaction_type': 'Credit', 'currency': 'EUR', 'branch_id': 'B00036', 'transaction_amount': 65986.79, 'exchange_rate': 0.5052}
[2025-07-31T21:56:41.400+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000013', 'transaction_date': 1741298201400, 'account_id': 'A00002', 'customer_id': 'C00060', 'transaction_type': 'Withdraw', 'currency': 'USD', 'branch_id': 'B00007', 'transaction_amount': 90816.15, 'exchange_rate': 1.3631}
[2025-07-31T21:56:41.402+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000014', 'transaction_date': 1750629401401, 'account_id': 'A00080', 'customer_id': 'C00058', 'transaction_type': 'Withdraw', 'currency': 'GBP', 'branch_id': 'B00085', 'transaction_amount': 38913.96, 'exchange_rate': 1.1564}
[2025-07-31T21:56:41.404+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000015', 'transaction_date': 1732399001403, 'account_id': 'A00050', 'customer_id': 'C00011', 'transaction_type': 'Withdraw', 'currency': 'GBP', 'branch_id': 'B00086', 'transaction_amount': 41890.57, 'exchange_rate': 0.0196}
[2025-07-31T21:56:41.408+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000016', 'transaction_date': 1745618201408, 'account_id': 'A00024', 'customer_id': 'C00096', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00001', 'transaction_amount': 37139.07, 'exchange_rate': 0.339}
[2025-07-31T21:56:41.411+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000017', 'transaction_date': 1746223001411, 'account_id': 'A00008', 'customer_id': 'C00032', 'transaction_type': 'Debit', 'currency': 'USD', 'branch_id': 'B00064', 'transaction_amount': 38001.17, 'exchange_rate': 1.0423}
[2025-07-31T21:56:41.412+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000018', 'transaction_date': 1737928601411, 'account_id': 'A00091', 'customer_id': 'C00022', 'transaction_type': 'Deposit', 'currency': 'EUR', 'branch_id': 'B00034', 'transaction_amount': 11506.89, 'exchange_rate': 1.4112}
[2025-07-31T21:56:41.413+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000019', 'transaction_date': 1753135001413, 'account_id': 'A00082', 'customer_id': 'C00004', 'transaction_type': 'Withdraw', 'currency': 'USD', 'branch_id': 'B00095', 'transaction_amount': 75725.91, 'exchange_rate': 1.0495}
[2025-07-31T21:56:41.417+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000020', 'transaction_date': 1747173401416, 'account_id': 'A00053', 'customer_id': 'C00036', 'transaction_type': 'Withdraw', 'currency': 'GBP', 'branch_id': 'B00041', 'transaction_amount': 61284.33, 'exchange_rate': 1.2632}
