[2025-07-31T21:56:42.740+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T04:04:00+00:00 [queued]>
[2025-07-31T21:56:42.755+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T04:04:00+00:00 [queued]>
[2025-07-31T21:56:42.756+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 1
[2025-07-31T21:56:42.785+0000] {taskinstance.py:1380} INFO - Executing <Task(KafkaProduceOperator): generate_txn_fact_data> on 2025-07-31 04:04:00+00:00
[2025-07-31T21:56:42.794+0000] {standard_task_runner.py:57} INFO - Started process 3199 to run task
[2025-07-31T21:56:42.798+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'scheduled__2025-07-31T04:04:00+00:00', '--job-id', '1231', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator.py', '--cfg-path', '/tmp/tmpodkji9pt']
[2025-07-31T21:56:42.801+0000] {standard_task_runner.py:85} INFO - Job 1231: Subtask generate_txn_fact_data
[2025-07-31T21:56:42.838+0000] {task_command.py:415} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T04:04:00+00:00 [running]> on host d47ad9177d65
[2025-07-31T21:56:42.889+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='GGCODE' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2025-07-31T04:04:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-07-31T04:04:00+00:00'
[2025-07-31T21:56:42.891+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.3', 9092) IPv4]
[2025-07-31T21:56:42.893+0000] {conn.py:618} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <checking_api_versions_recv> [IPv4 ('172.18.0.3', 9092)]>: Broker version identified as 2.5
[2025-07-31T21:56:42.893+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Connection complete.
[2025-07-31T21:56:42.999+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.3', 9092) IPv4]
[2025-07-31T21:56:43.000+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Connection complete.
[2025-07-31T21:56:43.001+0000] {conn.py:945} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Closing connection. 
[2025-07-31T21:56:43.003+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000001', 'transaction_date': 1751147802897, 'account_id': 'A00061', 'customer_id': 'C00034', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00015', 'transaction_amount': 23057.85, 'exchange_rate': 0.6038}
[2025-07-31T21:56:43.004+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000002', 'transaction_date': 1736373403004, 'account_id': 'A00014', 'customer_id': 'C00044', 'transaction_type': 'Deposit', 'currency': 'EUR', 'branch_id': 'B00047', 'transaction_amount': 81544.51, 'exchange_rate': 0.6737}
[2025-07-31T21:56:43.006+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000003', 'transaction_date': 1733608603006, 'account_id': 'A00087', 'customer_id': 'C00054', 'transaction_type': 'Transfer', 'currency': 'EUR', 'branch_id': 'B00056', 'transaction_amount': 74101.58, 'exchange_rate': 0.6838}
[2025-07-31T21:56:43.007+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000004', 'transaction_date': 1746568603007, 'account_id': 'A00042', 'customer_id': 'C00030', 'transaction_type': 'Withdraw', 'currency': 'GBP', 'branch_id': 'B00065', 'transaction_amount': 79900.95, 'exchange_rate': 0.5024}
[2025-07-31T21:56:43.008+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000005', 'transaction_date': 1733867803007, 'account_id': 'A00065', 'customer_id': 'C00010', 'transaction_type': 'Deposit', 'currency': 'GBP', 'branch_id': 'B00073', 'transaction_amount': 51095.6, 'exchange_rate': 0.8543}
[2025-07-31T21:56:43.008+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000006', 'transaction_date': 1743803803008, 'account_id': 'A00080', 'customer_id': 'C00043', 'transaction_type': 'Credit', 'currency': 'GBP', 'branch_id': 'B00060', 'transaction_amount': 44968.52, 'exchange_rate': 0.4513}
[2025-07-31T21:56:43.010+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000007', 'transaction_date': 1747691803009, 'account_id': 'A00059', 'customer_id': 'C00082', 'transaction_type': 'Credit', 'currency': 'USD', 'branch_id': 'B00056', 'transaction_amount': 24684.06, 'exchange_rate': 0.1658}
[2025-07-31T21:56:43.010+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000008', 'transaction_date': 1746136603010, 'account_id': 'A00051', 'customer_id': 'C00029', 'transaction_type': 'Withdraw', 'currency': 'USD', 'branch_id': 'B00089', 'transaction_amount': 759.14, 'exchange_rate': 0.7525}
[2025-07-31T21:56:43.011+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000009', 'transaction_date': 1746395803011, 'account_id': 'A00083', 'customer_id': 'C00014', 'transaction_type': 'Transfer', 'currency': 'USD', 'branch_id': 'B00024', 'transaction_amount': 66052.11, 'exchange_rate': 1.1914}
[2025-07-31T21:56:43.011+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000010', 'transaction_date': 1737323803011, 'account_id': 'A00060', 'customer_id': 'C00080', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00004', 'transaction_amount': 15831.79, 'exchange_rate': 0.0234}
[2025-07-31T21:56:43.012+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000011', 'transaction_date': 1734731803012, 'account_id': 'A00033', 'customer_id': 'C00054', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00030', 'transaction_amount': 19086.17, 'exchange_rate': 1.1117}
[2025-07-31T21:56:43.013+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000012', 'transaction_date': 1748987803013, 'account_id': 'A00069', 'customer_id': 'C00074', 'transaction_type': 'Withdraw', 'currency': 'USD', 'branch_id': 'B00061', 'transaction_amount': 13715.73, 'exchange_rate': 0.3552}
