[2025-07-31T21:56:49.698+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T04:09:00+00:00 [queued]>
[2025-07-31T21:56:49.709+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T04:09:00+00:00 [queued]>
[2025-07-31T21:56:49.710+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 1
[2025-07-31T21:56:49.773+0000] {taskinstance.py:1380} INFO - Executing <Task(KafkaProduceOperator): generate_txn_fact_data> on 2025-07-31 04:09:00+00:00
[2025-07-31T21:56:49.779+0000] {standard_task_runner.py:57} INFO - Started process 3228 to run task
[2025-07-31T21:56:49.782+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'scheduled__2025-07-31T04:09:00+00:00', '--job-id', '1236', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator.py', '--cfg-path', '/tmp/tmpb5xcxacu']
[2025-07-31T21:56:49.787+0000] {standard_task_runner.py:85} INFO - Job 1236: Subtask generate_txn_fact_data
[2025-07-31T21:56:49.835+0000] {task_command.py:415} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T04:09:00+00:00 [running]> on host d47ad9177d65
[2025-07-31T21:56:49.908+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='GGCODE' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2025-07-31T04:09:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-07-31T04:09:00+00:00'
[2025-07-31T21:56:49.914+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.3', 9092) IPv4]
[2025-07-31T21:56:49.916+0000] {conn.py:618} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <checking_api_versions_recv> [IPv4 ('172.18.0.3', 9092)]>: Broker version identified as 2.5
[2025-07-31T21:56:49.917+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Connection complete.
[2025-07-31T21:56:50.023+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.3', 9092) IPv4]
[2025-07-31T21:56:50.024+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Connection complete.
[2025-07-31T21:56:50.027+0000] {conn.py:945} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Closing connection. 
[2025-07-31T21:56:50.033+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000001', 'transaction_date': 1722895009919, 'account_id': 'A00028', 'customer_id': 'C00011', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00081', 'transaction_amount': 22945.65, 'exchange_rate': 0.0391}
[2025-07-31T21:56:50.036+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000002', 'transaction_date': 1744149410036, 'account_id': 'A00025', 'customer_id': 'C00097', 'transaction_type': 'Withdraw', 'currency': 'EUR', 'branch_id': 'B00046', 'transaction_amount': 3301.75, 'exchange_rate': 0.9721}
[2025-07-31T21:56:50.037+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000003', 'transaction_date': 1731103010037, 'account_id': 'A00091', 'customer_id': 'C00076', 'transaction_type': 'Transfer', 'currency': 'EUR', 'branch_id': 'B00006', 'transaction_amount': 68022.53, 'exchange_rate': 1.2441}
[2025-07-31T21:56:50.042+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000004', 'transaction_date': 1733867810041, 'account_id': 'A00061', 'customer_id': 'C00064', 'transaction_type': 'Withdraw', 'currency': 'USD', 'branch_id': 'B00094', 'transaction_amount': 82914.08, 'exchange_rate': 1.4736}
[2025-07-31T21:56:50.045+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000005', 'transaction_date': 1748815010044, 'account_id': 'A00078', 'customer_id': 'C00008', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00053', 'transaction_amount': 46965.21, 'exchange_rate': 0.3823}
[2025-07-31T21:56:50.045+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000006', 'transaction_date': 1725055010045, 'account_id': 'A00093', 'customer_id': 'C00049', 'transaction_type': 'Debit', 'currency': 'USD', 'branch_id': 'B00091', 'transaction_amount': 91232.33, 'exchange_rate': 0.2686}
[2025-07-31T21:56:50.046+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000007', 'transaction_date': 1745531810046, 'account_id': 'A00026', 'customer_id': 'C00020', 'transaction_type': 'Debit', 'currency': 'USD', 'branch_id': 'B00045', 'transaction_amount': 46532.55, 'exchange_rate': 0.1322}
[2025-07-31T21:56:50.047+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000008', 'transaction_date': 1753739810047, 'account_id': 'A00018', 'customer_id': 'C00020', 'transaction_type': 'Credit', 'currency': 'GBP', 'branch_id': 'B00034', 'transaction_amount': 68248.96, 'exchange_rate': 0.7744}
[2025-07-31T21:56:50.048+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000009', 'transaction_date': 1737928610048, 'account_id': 'A00005', 'customer_id': 'C00018', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00011', 'transaction_amount': 41406.22, 'exchange_rate': 0.4699}
[2025-07-31T21:56:50.049+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000010', 'transaction_date': 1747346210049, 'account_id': 'A00016', 'customer_id': 'C00058', 'transaction_type': 'Withdraw', 'currency': 'GBP', 'branch_id': 'B00072', 'transaction_amount': 28588.03, 'exchange_rate': 1.0945}
[2025-07-31T21:56:50.050+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000011', 'transaction_date': 1747864610050, 'account_id': 'A00044', 'customer_id': 'C00013', 'transaction_type': 'Deposit', 'currency': 'EUR', 'branch_id': 'B00059', 'transaction_amount': 33442.78, 'exchange_rate': 1.0474}
[2025-07-31T21:56:50.051+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000012', 'transaction_date': 1731621410051, 'account_id': 'A00004', 'customer_id': 'C00016', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00026', 'transaction_amount': 40701.33, 'exchange_rate': 0.1847}
