[2025-07-31T21:56:50.344+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T04:15:00+00:00 [queued]>
[2025-07-31T21:56:50.356+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T04:15:00+00:00 [queued]>
[2025-07-31T21:56:50.357+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 1
[2025-07-31T21:56:50.369+0000] {taskinstance.py:1380} INFO - Executing <Task(KafkaProduceOperator): generate_txn_fact_data> on 2025-07-31 04:15:00+00:00
[2025-07-31T21:56:50.376+0000] {standard_task_runner.py:57} INFO - Started process 3245 to run task
[2025-07-31T21:56:50.381+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'scheduled__2025-07-31T04:15:00+00:00', '--job-id', '1242', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator.py', '--cfg-path', '/tmp/tmpzjhhmtq3']
[2025-07-31T21:56:50.385+0000] {standard_task_runner.py:85} INFO - Job 1242: Subtask generate_txn_fact_data
[2025-07-31T21:56:50.436+0000] {task_command.py:415} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T04:15:00+00:00 [running]> on host d47ad9177d65
[2025-07-31T21:56:50.545+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='GGCODE' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2025-07-31T04:15:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-07-31T04:15:00+00:00'
[2025-07-31T21:56:50.556+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.3', 9092) IPv4]
[2025-07-31T21:56:50.564+0000] {conn.py:618} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <checking_api_versions_recv> [IPv4 ('172.18.0.3', 9092)]>: Broker version identified as 2.5
[2025-07-31T21:56:50.564+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Connection complete.
[2025-07-31T21:56:50.674+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.3', 9092) IPv4]
[2025-07-31T21:56:50.675+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Connection complete.
[2025-07-31T21:56:50.675+0000] {conn.py:945} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Closing connection. 
[2025-07-31T21:56:50.678+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000001', 'transaction_date': 1747864610568, 'account_id': 'A00013', 'customer_id': 'C00078', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00039', 'transaction_amount': 79573.07, 'exchange_rate': 0.0002}
[2025-07-31T21:56:50.684+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000002', 'transaction_date': 1748728610684, 'account_id': 'A00044', 'customer_id': 'C00060', 'transaction_type': 'Deposit', 'currency': 'EUR', 'branch_id': 'B00064', 'transaction_amount': 57787.44, 'exchange_rate': 1.0503}
[2025-07-31T21:56:50.687+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000003', 'transaction_date': 1748210210687, 'account_id': 'A00083', 'customer_id': 'C00062', 'transaction_type': 'Credit', 'currency': 'EUR', 'branch_id': 'B00064', 'transaction_amount': 28053.55, 'exchange_rate': 0.0854}
[2025-07-31T21:56:50.692+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000004', 'transaction_date': 1736719010691, 'account_id': 'A00096', 'customer_id': 'C00001', 'transaction_type': 'Credit', 'currency': 'GBP', 'branch_id': 'B00087', 'transaction_amount': 7161.77, 'exchange_rate': 1.1798}
[2025-07-31T21:56:50.696+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000005', 'transaction_date': 1732571810694, 'account_id': 'A00092', 'customer_id': 'C00060', 'transaction_type': 'Credit', 'currency': 'EUR', 'branch_id': 'B00032', 'transaction_amount': 41921.79, 'exchange_rate': 0.0326}
[2025-07-31T21:56:50.699+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000006', 'transaction_date': 1749679010698, 'account_id': 'A00027', 'customer_id': 'C00096', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00073', 'transaction_amount': 33856.59, 'exchange_rate': 0.2138}
[2025-07-31T21:56:50.703+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000007', 'transaction_date': 1749333410703, 'account_id': 'A00048', 'customer_id': 'C00077', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00054', 'transaction_amount': 26578.11, 'exchange_rate': 0.1739}
[2025-07-31T21:56:50.705+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000008', 'transaction_date': 1731448610705, 'account_id': 'A00062', 'customer_id': 'C00092', 'transaction_type': 'Deposit', 'currency': 'GBP', 'branch_id': 'B00070', 'transaction_amount': 32742.46, 'exchange_rate': 0.0351}
[2025-07-31T21:56:50.717+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000009', 'transaction_date': 1724623010716, 'account_id': 'A00026', 'customer_id': 'C00027', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00032', 'transaction_amount': 36057.12, 'exchange_rate': 0.0481}
[2025-07-31T21:56:50.718+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000010', 'transaction_date': 1741989410717, 'account_id': 'A00028', 'customer_id': 'C00090', 'transaction_type': 'Transfer', 'currency': 'USD', 'branch_id': 'B00058', 'transaction_amount': 93105.69, 'exchange_rate': 1.0015}
[2025-07-31T21:56:50.719+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000011', 'transaction_date': 1734127010719, 'account_id': 'A00070', 'customer_id': 'C00054', 'transaction_type': 'Credit', 'currency': 'EUR', 'branch_id': 'B00059', 'transaction_amount': 17607.72, 'exchange_rate': 1.1262}
[2025-07-31T21:56:50.720+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000012', 'transaction_date': 1748555810720, 'account_id': 'A00079', 'customer_id': 'C00042', 'transaction_type': 'Deposit', 'currency': 'GBP', 'branch_id': 'B00034', 'transaction_amount': 22348.21, 'exchange_rate': 1.3334}
[2025-07-31T21:56:50.721+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000013', 'transaction_date': 1731189410721, 'account_id': 'A00011', 'customer_id': 'C00089', 'transaction_type': 'Credit', 'currency': 'EUR', 'branch_id': 'B00017', 'transaction_amount': 54245.91, 'exchange_rate': 0.2548}
[2025-07-31T21:56:50.728+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000014', 'transaction_date': 1747346210723, 'account_id': 'A00010', 'customer_id': 'C00082', 'transaction_type': 'Credit', 'currency': 'USD', 'branch_id': 'B00090', 'transaction_amount': 16322.41, 'exchange_rate': 1.037}
[2025-07-31T21:56:50.729+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000015', 'transaction_date': 1729461410729, 'account_id': 'A00078', 'customer_id': 'C00025', 'transaction_type': 'Withdraw', 'currency': 'GBP', 'branch_id': 'B00080', 'transaction_amount': 65903.24, 'exchange_rate': 0.9228}
[2025-07-31T21:56:50.731+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000016', 'transaction_date': 1753394210731, 'account_id': 'A00021', 'customer_id': 'C00011', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00009', 'transaction_amount': 51228.57, 'exchange_rate': 1.4453}
[2025-07-31T21:56:50.732+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000017', 'transaction_date': 1724709410732, 'account_id': 'A00039', 'customer_id': 'C00050', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00055', 'transaction_amount': 44229.94, 'exchange_rate': 1.2149}
[2025-07-31T21:56:50.733+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000018', 'transaction_date': 1742507810733, 'account_id': 'A00096', 'customer_id': 'C00085', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00015', 'transaction_amount': 15073.03, 'exchange_rate': 0.8179}
[2025-07-31T21:56:50.734+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000019', 'transaction_date': 1737323810734, 'account_id': 'A00055', 'customer_id': 'C00009', 'transaction_type': 'Withdraw', 'currency': 'EUR', 'branch_id': 'B00036', 'transaction_amount': 15682.38, 'exchange_rate': 0.2089}
[2025-07-31T21:56:50.737+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000020', 'transaction_date': 1726955810737, 'account_id': 'A00028', 'customer_id': 'C00009', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00092', 'transaction_amount': 15476.53, 'exchange_rate': 0.325}
[2025-07-31T21:56:50.738+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000021', 'transaction_date': 1727387810738, 'account_id': 'A00076', 'customer_id': 'C00002', 'transaction_type': 'Credit', 'currency': 'USD', 'branch_id': 'B00087', 'transaction_amount': 540.74, 'exchange_rate': 0.0579}
[2025-07-31T21:56:50.739+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000022', 'transaction_date': 1740693410739, 'account_id': 'A00076', 'customer_id': 'C00026', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00050', 'transaction_amount': 17134.23, 'exchange_rate': 1.1918}
[2025-07-31T21:56:50.742+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000023', 'transaction_date': 1731448610741, 'account_id': 'A00062', 'customer_id': 'C00011', 'transaction_type': 'Withdraw', 'currency': 'GBP', 'branch_id': 'B00027', 'transaction_amount': 97614.51, 'exchange_rate': 0.0613}
[2025-07-31T21:56:50.742+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000024', 'transaction_date': 1738101410742, 'account_id': 'A00058', 'customer_id': 'C00032', 'transaction_type': 'Withdraw', 'currency': 'EUR', 'branch_id': 'B00074', 'transaction_amount': 99566.37, 'exchange_rate': 0.17}
[2025-07-31T21:56:50.746+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000025', 'transaction_date': 1740693410746, 'account_id': 'A00078', 'customer_id': 'C00074', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00085', 'transaction_amount': 21314.03, 'exchange_rate': 0.6361}
[2025-07-31T21:56:50.746+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000026', 'transaction_date': 1726178210746, 'account_id': 'A00010', 'customer_id': 'C00070', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00002', 'transaction_amount': 97408.55, 'exchange_rate': 1.4753}
[2025-07-31T21:56:50.748+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000027', 'transaction_date': 1752703010748, 'account_id': 'A00021', 'customer_id': 'C00074', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00085', 'transaction_amount': 62359.82, 'exchange_rate': 0.8086}
