[2025-07-31T21:56:51.205+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T04:22:00+00:00 [queued]>
[2025-07-31T21:56:51.211+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T04:22:00+00:00 [queued]>
[2025-07-31T21:56:51.211+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 1
[2025-07-31T21:56:51.220+0000] {taskinstance.py:1380} INFO - Executing <Task(KafkaProduceOperator): generate_txn_fact_data> on 2025-07-31 04:22:00+00:00
[2025-07-31T21:56:51.223+0000] {standard_task_runner.py:57} INFO - Started process 3262 to run task
[2025-07-31T21:56:51.225+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'scheduled__2025-07-31T04:22:00+00:00', '--job-id', '1249', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator.py', '--cfg-path', '/tmp/tmpvfmaef5y']
[2025-07-31T21:56:51.227+0000] {standard_task_runner.py:85} INFO - Job 1249: Subtask generate_txn_fact_data
[2025-07-31T21:56:51.258+0000] {task_command.py:415} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T04:22:00+00:00 [running]> on host d47ad9177d65
[2025-07-31T21:56:51.309+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='GGCODE' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2025-07-31T04:22:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-07-31T04:22:00+00:00'
[2025-07-31T21:56:51.311+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.3', 9092) IPv4]
[2025-07-31T21:56:51.314+0000] {conn.py:618} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <checking_api_versions_recv> [IPv4 ('172.18.0.3', 9092)]>: Broker version identified as 2.5
[2025-07-31T21:56:51.314+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Connection complete.
[2025-07-31T21:56:51.419+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.3', 9092) IPv4]
[2025-07-31T21:56:51.419+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Connection complete.
[2025-07-31T21:56:51.419+0000] {conn.py:945} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Closing connection. 
[2025-07-31T21:56:51.420+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000001', 'transaction_date': 1725746211316, 'account_id': 'A00031', 'customer_id': 'C00009', 'transaction_type': 'Withdraw', 'currency': 'GBP', 'branch_id': 'B00008', 'transaction_amount': 93750.21, 'exchange_rate': 0.9331}
[2025-07-31T21:56:51.421+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000002', 'transaction_date': 1749419811421, 'account_id': 'A00001', 'customer_id': 'C00010', 'transaction_type': 'Debit', 'currency': 'USD', 'branch_id': 'B00063', 'transaction_amount': 73668.54, 'exchange_rate': 0.4358}
[2025-07-31T21:56:51.422+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000003', 'transaction_date': 1751752611422, 'account_id': 'A00062', 'customer_id': 'C00039', 'transaction_type': 'Deposit', 'currency': 'EUR', 'branch_id': 'B00039', 'transaction_amount': 67192.11, 'exchange_rate': 0.4533}
[2025-07-31T21:56:51.423+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000004', 'transaction_date': 1727128611423, 'account_id': 'A00026', 'customer_id': 'C00088', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00014', 'transaction_amount': 36233.89, 'exchange_rate': 0.2195}
[2025-07-31T21:56:51.424+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000005', 'transaction_date': 1751147811423, 'account_id': 'A00035', 'customer_id': 'C00099', 'transaction_type': 'Credit', 'currency': 'GBP', 'branch_id': 'B00075', 'transaction_amount': 60800.74, 'exchange_rate': 0.3257}
[2025-07-31T21:56:51.424+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000006', 'transaction_date': 1741557411424, 'account_id': 'A00002', 'customer_id': 'C00099', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00050', 'transaction_amount': 77237.91, 'exchange_rate': 0.9635}
[2025-07-31T21:56:51.425+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000007', 'transaction_date': 1731103011425, 'account_id': 'A00080', 'customer_id': 'C00088', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00037', 'transaction_amount': 27459.67, 'exchange_rate': 1.0167}
[2025-07-31T21:56:51.426+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000008', 'transaction_date': 1750802211426, 'account_id': 'A00061', 'customer_id': 'C00067', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00037', 'transaction_amount': 91100.22, 'exchange_rate': 1.0157}
[2025-07-31T21:56:51.427+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000009', 'transaction_date': 1722635811427, 'account_id': 'A00012', 'customer_id': 'C00068', 'transaction_type': 'Debit', 'currency': 'USD', 'branch_id': 'B00009', 'transaction_amount': 61641.33, 'exchange_rate': 1.4622}
[2025-07-31T21:56:51.427+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000010', 'transaction_date': 1739829411427, 'account_id': 'A00060', 'customer_id': 'C00016', 'transaction_type': 'Credit', 'currency': 'EUR', 'branch_id': 'B00004', 'transaction_amount': 91388.73, 'exchange_rate': 0.4069}
[2025-07-31T21:56:51.428+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000011', 'transaction_date': 1753912611428, 'account_id': 'A00024', 'customer_id': 'C00019', 'transaction_type': 'Credit', 'currency': 'EUR', 'branch_id': 'B00009', 'transaction_amount': 13560.78, 'exchange_rate': 0.751}
[2025-07-31T21:56:51.429+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000012', 'transaction_date': 1734213411429, 'account_id': 'A00038', 'customer_id': 'C00057', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00097', 'transaction_amount': 37440.51, 'exchange_rate': 1.3799}
[2025-07-31T21:56:51.430+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000013', 'transaction_date': 1736546211430, 'account_id': 'A00038', 'customer_id': 'C00068', 'transaction_type': 'Withdraw', 'currency': 'EUR', 'branch_id': 'B00022', 'transaction_amount': 61182.68, 'exchange_rate': 0.2545}
[2025-07-31T21:56:51.431+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000014', 'transaction_date': 1740002211431, 'account_id': 'A00004', 'customer_id': 'C00078', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00056', 'transaction_amount': 9687.42, 'exchange_rate': 0.9746}
[2025-07-31T21:56:51.431+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000015', 'transaction_date': 1732399011431, 'account_id': 'A00003', 'customer_id': 'C00078', 'transaction_type': 'Transfer', 'currency': 'EUR', 'branch_id': 'B00022', 'transaction_amount': 12329.93, 'exchange_rate': 0.0114}
[2025-07-31T21:56:51.432+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000016', 'transaction_date': 1753221411432, 'account_id': 'A00067', 'customer_id': 'C00087', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00092', 'transaction_amount': 41011.67, 'exchange_rate': 1.105}
[2025-07-31T21:56:51.433+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000017', 'transaction_date': 1728251811433, 'account_id': 'A00032', 'customer_id': 'C00064', 'transaction_type': 'Withdraw', 'currency': 'USD', 'branch_id': 'B00059', 'transaction_amount': 86211.25, 'exchange_rate': 1.3419}
