[2025-07-31T21:57:17.252+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T05:07:00+00:00 [queued]>
[2025-07-31T21:57:17.263+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T05:07:00+00:00 [queued]>
[2025-07-31T21:57:17.263+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 1
[2025-07-31T21:57:17.329+0000] {taskinstance.py:1380} INFO - Executing <Task(KafkaProduceOperator): generate_txn_fact_data> on 2025-07-31 05:07:00+00:00
[2025-07-31T21:57:17.336+0000] {standard_task_runner.py:57} INFO - Started process 3443 to run task
[2025-07-31T21:57:17.339+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'scheduled__2025-07-31T05:07:00+00:00', '--job-id', '1294', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator.py', '--cfg-path', '/tmp/tmpqrm_nic0']
[2025-07-31T21:57:17.342+0000] {standard_task_runner.py:85} INFO - Job 1294: Subtask generate_txn_fact_data
[2025-07-31T21:57:17.396+0000] {task_command.py:415} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T05:07:00+00:00 [running]> on host d47ad9177d65
[2025-07-31T21:57:17.488+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='GGCODE' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2025-07-31T05:07:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-07-31T05:07:00+00:00'
[2025-07-31T21:57:17.491+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.3', 9092) IPv4]
[2025-07-31T21:57:17.494+0000] {conn.py:618} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <checking_api_versions_recv> [IPv4 ('172.18.0.3', 9092)]>: Broker version identified as 2.5
[2025-07-31T21:57:17.496+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Connection complete.
[2025-07-31T21:57:17.607+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.3', 9092) IPv4]
[2025-07-31T21:57:17.608+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Connection complete.
[2025-07-31T21:57:17.609+0000] {conn.py:945} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Closing connection. 
[2025-07-31T21:57:17.613+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000001', 'transaction_date': 1736891837503, 'account_id': 'A00072', 'customer_id': 'C00087', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00030', 'transaction_amount': 51050.05, 'exchange_rate': 1.0382}
[2025-07-31T21:57:17.614+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000002', 'transaction_date': 1731275837614, 'account_id': 'A00026', 'customer_id': 'C00047', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00017', 'transaction_amount': 5654.01, 'exchange_rate': 0.1463}
[2025-07-31T21:57:17.616+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000003', 'transaction_date': 1729547837615, 'account_id': 'A00012', 'customer_id': 'C00068', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00004', 'transaction_amount': 78910.55, 'exchange_rate': 0.3628}
[2025-07-31T21:57:17.617+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000004', 'transaction_date': 1745272637617, 'account_id': 'A00021', 'customer_id': 'C00047', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00029', 'transaction_amount': 30731.6, 'exchange_rate': 0.3406}
[2025-07-31T21:57:17.618+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000005', 'transaction_date': 1753567037617, 'account_id': 'A00074', 'customer_id': 'C00052', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00091', 'transaction_amount': 61039.04, 'exchange_rate': 1.2757}
[2025-07-31T21:57:17.619+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000006', 'transaction_date': 1739915837619, 'account_id': 'A00013', 'customer_id': 'C00031', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00024', 'transaction_amount': 72532.97, 'exchange_rate': 1.2354}
[2025-07-31T21:57:17.620+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000007', 'transaction_date': 1741903037620, 'account_id': 'A00008', 'customer_id': 'C00048', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00071', 'transaction_amount': 60877.54, 'exchange_rate': 0.2161}
[2025-07-31T21:57:17.622+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000008', 'transaction_date': 1750715837621, 'account_id': 'A00047', 'customer_id': 'C00078', 'transaction_type': 'Withdraw', 'currency': 'EUR', 'branch_id': 'B00086', 'transaction_amount': 53210.18, 'exchange_rate': 1.1228}
[2025-07-31T21:57:17.625+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000009', 'transaction_date': 1743544637625, 'account_id': 'A00013', 'customer_id': 'C00016', 'transaction_type': 'Withdraw', 'currency': 'USD', 'branch_id': 'B00042', 'transaction_amount': 87045.48, 'exchange_rate': 1.3665}
[2025-07-31T21:57:17.632+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000010', 'transaction_date': 1734991037631, 'account_id': 'A00087', 'customer_id': 'C00062', 'transaction_type': 'Credit', 'currency': 'GBP', 'branch_id': 'B00033', 'transaction_amount': 27303.48, 'exchange_rate': 0.1919}
[2025-07-31T21:57:17.633+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000011', 'transaction_date': 1741730237632, 'account_id': 'A00084', 'customer_id': 'C00085', 'transaction_type': 'Debit', 'currency': 'USD', 'branch_id': 'B00001', 'transaction_amount': 30084.47, 'exchange_rate': 0.5106}
[2025-07-31T21:57:17.634+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000012', 'transaction_date': 1753394237634, 'account_id': 'A00049', 'customer_id': 'C00073', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00020', 'transaction_amount': 82527.09, 'exchange_rate': 0.6969}
[2025-07-31T21:57:17.639+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000013', 'transaction_date': 1736891837639, 'account_id': 'A00006', 'customer_id': 'C00099', 'transaction_type': 'Deposit', 'currency': 'EUR', 'branch_id': 'B00066', 'transaction_amount': 91547.94, 'exchange_rate': 0.7715}
[2025-07-31T21:57:17.640+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000014', 'transaction_date': 1728338237639, 'account_id': 'A00000', 'customer_id': 'C00044', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00070', 'transaction_amount': 91631.32, 'exchange_rate': 1.0332}
[2025-07-31T21:57:17.643+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000015', 'transaction_date': 1749333437643, 'account_id': 'A00064', 'customer_id': 'C00084', 'transaction_type': 'Transfer', 'currency': 'USD', 'branch_id': 'B00084', 'transaction_amount': 40312.37, 'exchange_rate': 1.0277}
[2025-07-31T21:57:17.644+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000016', 'transaction_date': 1738706237644, 'account_id': 'A00007', 'customer_id': 'C00005', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00086', 'transaction_amount': 32686.7, 'exchange_rate': 0.3595}
[2025-07-31T21:57:17.650+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000017', 'transaction_date': 1743199037648, 'account_id': 'A00039', 'customer_id': 'C00088', 'transaction_type': 'Credit', 'currency': 'EUR', 'branch_id': 'B00000', 'transaction_amount': 58935.53, 'exchange_rate': 1.1562}
[2025-07-31T21:57:17.654+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000018', 'transaction_date': 1724795837653, 'account_id': 'A00042', 'customer_id': 'C00097', 'transaction_type': 'Withdraw', 'currency': 'USD', 'branch_id': 'B00031', 'transaction_amount': 74747.43, 'exchange_rate': 1.4904}
[2025-07-31T21:57:17.659+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000019', 'transaction_date': 1741384637657, 'account_id': 'A00097', 'customer_id': 'C00098', 'transaction_type': 'Withdraw', 'currency': 'GBP', 'branch_id': 'B00053', 'transaction_amount': 30862.38, 'exchange_rate': 0.448}
[2025-07-31T21:57:17.660+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000020', 'transaction_date': 1747259837660, 'account_id': 'A00029', 'customer_id': 'C00087', 'transaction_type': 'Debit', 'currency': 'USD', 'branch_id': 'B00015', 'transaction_amount': 52937.73, 'exchange_rate': 0.8501}
[2025-07-31T21:57:17.663+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000021', 'transaction_date': 1741989437662, 'account_id': 'A00088', 'customer_id': 'C00067', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00088', 'transaction_amount': 28465.02, 'exchange_rate': 0.2609}
[2025-07-31T21:57:17.666+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000022', 'transaction_date': 1728165437665, 'account_id': 'A00037', 'customer_id': 'C00083', 'transaction_type': 'Withdraw', 'currency': 'USD', 'branch_id': 'B00030', 'transaction_amount': 90595.74, 'exchange_rate': 1.45}
