[2025-07-31T21:57:45.868+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T06:05:00+00:00 [queued]>
[2025-07-31T21:57:45.876+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T06:05:00+00:00 [queued]>
[2025-07-31T21:57:45.876+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 1
[2025-07-31T21:57:45.918+0000] {taskinstance.py:1380} INFO - Executing <Task(KafkaProduceOperator): generate_txn_fact_data> on 2025-07-31 06:05:00+00:00
[2025-07-31T21:57:45.922+0000] {standard_task_runner.py:57} INFO - Started process 3659 to run task
[2025-07-31T21:57:45.929+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'scheduled__2025-07-31T06:05:00+00:00', '--job-id', '1352', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator.py', '--cfg-path', '/tmp/tmpw27f8ck0']
[2025-07-31T21:57:45.935+0000] {standard_task_runner.py:85} INFO - Job 1352: Subtask generate_txn_fact_data
[2025-07-31T21:57:45.996+0000] {task_command.py:415} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T06:05:00+00:00 [running]> on host d47ad9177d65
[2025-07-31T21:57:46.077+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='GGCODE' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2025-07-31T06:05:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-07-31T06:05:00+00:00'
[2025-07-31T21:57:46.081+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.3', 9092) IPv4]
[2025-07-31T21:57:46.084+0000] {conn.py:618} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <checking_api_versions_recv> [IPv4 ('172.18.0.3', 9092)]>: Broker version identified as 2.5
[2025-07-31T21:57:46.084+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Connection complete.
[2025-07-31T21:57:46.191+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.3', 9092) IPv4]
[2025-07-31T21:57:46.192+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Connection complete.
[2025-07-31T21:57:46.193+0000] {conn.py:945} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Closing connection. 
[2025-07-31T21:57:46.201+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000001', 'transaction_date': 1725227866088, 'account_id': 'A00062', 'customer_id': 'C00060', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00069', 'transaction_amount': 30883.65, 'exchange_rate': 0.3299}
[2025-07-31T21:57:46.203+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000002', 'transaction_date': 1749419866203, 'account_id': 'A00063', 'customer_id': 'C00075', 'transaction_type': 'Transfer', 'currency': 'EUR', 'branch_id': 'B00097', 'transaction_amount': 51383.19, 'exchange_rate': 1.2123}
[2025-07-31T21:57:46.206+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000003', 'transaction_date': 1749247066206, 'account_id': 'A00097', 'customer_id': 'C00066', 'transaction_type': 'Withdraw', 'currency': 'EUR', 'branch_id': 'B00057', 'transaction_amount': 5351.85, 'exchange_rate': 0.5608}
[2025-07-31T21:57:46.208+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000004', 'transaction_date': 1735163866207, 'account_id': 'A00048', 'customer_id': 'C00005', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00083', 'transaction_amount': 13147.6, 'exchange_rate': 1.2157}
[2025-07-31T21:57:46.209+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000005', 'transaction_date': 1732917466209, 'account_id': 'A00084', 'customer_id': 'C00045', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00098', 'transaction_amount': 97184.45, 'exchange_rate': 1.3526}
[2025-07-31T21:57:46.212+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000006', 'transaction_date': 1749419866211, 'account_id': 'A00027', 'customer_id': 'C00014', 'transaction_type': 'Deposit', 'currency': 'EUR', 'branch_id': 'B00092', 'transaction_amount': 16858.9, 'exchange_rate': 0.504}
[2025-07-31T21:57:46.212+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000007', 'transaction_date': 1745099866212, 'account_id': 'A00064', 'customer_id': 'C00046', 'transaction_type': 'Withdraw', 'currency': 'GBP', 'branch_id': 'B00009', 'transaction_amount': 18469.59, 'exchange_rate': 0.5048}
[2025-07-31T21:57:46.213+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000008', 'transaction_date': 1729375066213, 'account_id': 'A00035', 'customer_id': 'C00051', 'transaction_type': 'Transfer', 'currency': 'USD', 'branch_id': 'B00038', 'transaction_amount': 9984.13, 'exchange_rate': 0.0386}
[2025-07-31T21:57:46.214+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000009', 'transaction_date': 1749765466214, 'account_id': 'A00022', 'customer_id': 'C00046', 'transaction_type': 'Credit', 'currency': 'EUR', 'branch_id': 'B00091', 'transaction_amount': 90501.24, 'exchange_rate': 0.7294}
[2025-07-31T21:57:46.216+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000010', 'transaction_date': 1725487066216, 'account_id': 'A00088', 'customer_id': 'C00081', 'transaction_type': 'Transfer', 'currency': 'USD', 'branch_id': 'B00017', 'transaction_amount': 54604.16, 'exchange_rate': 0.4642}
[2025-07-31T21:57:46.217+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000011', 'transaction_date': 1744495066217, 'account_id': 'A00009', 'customer_id': 'C00090', 'transaction_type': 'Debit', 'currency': 'USD', 'branch_id': 'B00051', 'transaction_amount': 99683.22, 'exchange_rate': 0.5803}
[2025-07-31T21:57:46.218+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000012', 'transaction_date': 1735336666218, 'account_id': 'A00043', 'customer_id': 'C00093', 'transaction_type': 'Withdraw', 'currency': 'GBP', 'branch_id': 'B00023', 'transaction_amount': 21935.59, 'exchange_rate': 0.6144}
