[2025-07-31T21:57:52.433+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T06:26:00+00:00 [queued]>
[2025-07-31T21:57:52.441+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T06:26:00+00:00 [queued]>
[2025-07-31T21:57:52.442+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 1
[2025-07-31T21:57:52.494+0000] {taskinstance.py:1380} INFO - Executing <Task(KafkaProduceOperator): generate_txn_fact_data> on 2025-07-31 06:26:00+00:00
[2025-07-31T21:57:52.500+0000] {standard_task_runner.py:57} INFO - Started process 3730 to run task
[2025-07-31T21:57:52.503+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'scheduled__2025-07-31T06:26:00+00:00', '--job-id', '1373', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator.py', '--cfg-path', '/tmp/tmphuw5pgxa']
[2025-07-31T21:57:52.511+0000] {standard_task_runner.py:85} INFO - Job 1373: Subtask generate_txn_fact_data
[2025-07-31T21:57:52.566+0000] {task_command.py:415} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T06:26:00+00:00 [running]> on host d47ad9177d65
[2025-07-31T21:57:52.674+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='GGCODE' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2025-07-31T06:26:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-07-31T06:26:00+00:00'
[2025-07-31T21:57:52.677+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.3', 9092) IPv4]
[2025-07-31T21:57:52.680+0000] {conn.py:618} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <checking_api_versions_recv> [IPv4 ('172.18.0.3', 9092)]>: Broker version identified as 2.5
[2025-07-31T21:57:52.680+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Connection complete.
[2025-07-31T21:57:52.786+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.3', 9092) IPv4]
[2025-07-31T21:57:52.787+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Connection complete.
[2025-07-31T21:57:52.787+0000] {conn.py:945} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Closing connection. 
[2025-07-31T21:57:52.789+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000001', 'transaction_date': 1734040672683, 'account_id': 'A00095', 'customer_id': 'C00071', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00020', 'transaction_amount': 84782.71, 'exchange_rate': 0.1975}
[2025-07-31T21:57:52.790+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000002', 'transaction_date': 1743803872789, 'account_id': 'A00004', 'customer_id': 'C00036', 'transaction_type': 'Transfer', 'currency': 'USD', 'branch_id': 'B00092', 'transaction_amount': 44672.24, 'exchange_rate': 1.0519}
[2025-07-31T21:57:52.791+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000003', 'transaction_date': 1741384672791, 'account_id': 'A00044', 'customer_id': 'C00002', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00001', 'transaction_amount': 69818.75, 'exchange_rate': 1.4331}
[2025-07-31T21:57:52.792+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000004', 'transaction_date': 1749419872792, 'account_id': 'A00009', 'customer_id': 'C00017', 'transaction_type': 'Withdraw', 'currency': 'GBP', 'branch_id': 'B00077', 'transaction_amount': 23112.57, 'exchange_rate': 0.083}
[2025-07-31T21:57:52.793+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000005', 'transaction_date': 1724882272793, 'account_id': 'A00097', 'customer_id': 'C00080', 'transaction_type': 'Credit', 'currency': 'EUR', 'branch_id': 'B00053', 'transaction_amount': 87018.1, 'exchange_rate': 1.3057}
[2025-07-31T21:57:52.797+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000006', 'transaction_date': 1723154272795, 'account_id': 'A00030', 'customer_id': 'C00006', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00053', 'transaction_amount': 45477.64, 'exchange_rate': 0.6397}
[2025-07-31T21:57:52.798+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000007', 'transaction_date': 1748555872797, 'account_id': 'A00090', 'customer_id': 'C00013', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00074', 'transaction_amount': 34254.17, 'exchange_rate': 0.0092}
[2025-07-31T21:57:52.799+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000008', 'transaction_date': 1739224672799, 'account_id': 'A00098', 'customer_id': 'C00099', 'transaction_type': 'Credit', 'currency': 'GBP', 'branch_id': 'B00068', 'transaction_amount': 55083.0, 'exchange_rate': 0.6141}
[2025-07-31T21:57:52.800+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000009', 'transaction_date': 1727560672800, 'account_id': 'A00078', 'customer_id': 'C00095', 'transaction_type': 'Deposit', 'currency': 'GBP', 'branch_id': 'B00059', 'transaction_amount': 9371.48, 'exchange_rate': 0.9585}
[2025-07-31T21:57:52.801+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000010', 'transaction_date': 1722895072801, 'account_id': 'A00087', 'customer_id': 'C00051', 'transaction_type': 'Debit', 'currency': 'USD', 'branch_id': 'B00076', 'transaction_amount': 35340.11, 'exchange_rate': 1.3581}
[2025-07-31T21:57:52.802+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000011', 'transaction_date': 1729202272802, 'account_id': 'A00027', 'customer_id': 'C00006', 'transaction_type': 'Credit', 'currency': 'GBP', 'branch_id': 'B00099', 'transaction_amount': 47558.91, 'exchange_rate': 1.4121}
[2025-07-31T21:57:52.803+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000012', 'transaction_date': 1724191072803, 'account_id': 'A00087', 'customer_id': 'C00062', 'transaction_type': 'Withdraw', 'currency': 'GBP', 'branch_id': 'B00063', 'transaction_amount': 36042.94, 'exchange_rate': 0.9786}
