[2025-07-31T21:58:19.959+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T07:26:00+00:00 [queued]>
[2025-07-31T21:58:19.966+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T07:26:00+00:00 [queued]>
[2025-07-31T21:58:19.966+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 1
[2025-07-31T21:58:19.975+0000] {taskinstance.py:1380} INFO - Executing <Task(KafkaProduceOperator): generate_txn_fact_data> on 2025-07-31 07:26:00+00:00
[2025-07-31T21:58:19.978+0000] {standard_task_runner.py:57} INFO - Started process 3957 to run task
[2025-07-31T21:58:19.981+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'scheduled__2025-07-31T07:26:00+00:00', '--job-id', '1434', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator.py', '--cfg-path', '/tmp/tmpwq4j6h6r']
[2025-07-31T21:58:19.983+0000] {standard_task_runner.py:85} INFO - Job 1434: Subtask generate_txn_fact_data
[2025-07-31T21:58:20.013+0000] {task_command.py:415} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-07-31T07:26:00+00:00 [running]> on host d47ad9177d65
[2025-07-31T21:58:20.068+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='GGCODE' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2025-07-31T07:26:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-07-31T07:26:00+00:00'
[2025-07-31T21:58:20.071+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.3', 9092) IPv4]
[2025-07-31T21:58:20.073+0000] {conn.py:618} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <checking_api_versions_recv> [IPv4 ('172.18.0.3', 9092)]>: Broker version identified as 2.5
[2025-07-31T21:58:20.073+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Connection complete.
[2025-07-31T21:58:20.176+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.3', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.3', 9092) IPv4]
[2025-07-31T21:58:20.177+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Connection complete.
[2025-07-31T21:58:20.177+0000] {conn.py:945} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Closing connection. 
[2025-07-31T21:58:20.178+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000001', 'transaction_date': 1751234300075, 'account_id': 'A00067', 'customer_id': 'C00058', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00075', 'transaction_amount': 58570.18, 'exchange_rate': 0.0113}
[2025-07-31T21:58:20.179+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000002', 'transaction_date': 1726869500179, 'account_id': 'A00050', 'customer_id': 'C00022', 'transaction_type': 'Deposit', 'currency': 'EUR', 'branch_id': 'B00041', 'transaction_amount': 52508.24, 'exchange_rate': 0.125}
[2025-07-31T21:58:20.180+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000003', 'transaction_date': 1747605500180, 'account_id': 'A00081', 'customer_id': 'C00089', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00019', 'transaction_amount': 30909.68, 'exchange_rate': 0.6119}
[2025-07-31T21:58:20.181+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000004', 'transaction_date': 1732485500181, 'account_id': 'A00010', 'customer_id': 'C00032', 'transaction_type': 'Credit', 'currency': 'GBP', 'branch_id': 'B00028', 'transaction_amount': 63168.73, 'exchange_rate': 0.7316}
[2025-07-31T21:58:20.182+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000005', 'transaction_date': 1749938300182, 'account_id': 'A00020', 'customer_id': 'C00041', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00012', 'transaction_amount': 7894.95, 'exchange_rate': 0.0545}
[2025-07-31T21:58:20.182+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000006', 'transaction_date': 1737583100182, 'account_id': 'A00053', 'customer_id': 'C00015', 'transaction_type': 'Credit', 'currency': 'GBP', 'branch_id': 'B00023', 'transaction_amount': 71063.17, 'exchange_rate': 0.0803}
[2025-07-31T21:58:20.183+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000007', 'transaction_date': 1726351100183, 'account_id': 'A00052', 'customer_id': 'C00025', 'transaction_type': 'Deposit', 'currency': 'GBP', 'branch_id': 'B00071', 'transaction_amount': 5977.06, 'exchange_rate': 0.621}
[2025-07-31T21:58:20.184+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000008', 'transaction_date': 1753048700184, 'account_id': 'A00062', 'customer_id': 'C00061', 'transaction_type': 'Debit', 'currency': 'USD', 'branch_id': 'B00079', 'transaction_amount': 56206.22, 'exchange_rate': 0.091}
[2025-07-31T21:58:20.185+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000009', 'transaction_date': 1734645500185, 'account_id': 'A00059', 'customer_id': 'C00070', 'transaction_type': 'Withdraw', 'currency': 'USD', 'branch_id': 'B00017', 'transaction_amount': 80980.36, 'exchange_rate': 0.7284}
[2025-07-31T21:58:20.186+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000010', 'transaction_date': 1745877500185, 'account_id': 'A00001', 'customer_id': 'C00069', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00040', 'transaction_amount': 208.64, 'exchange_rate': 0.9204}
[2025-07-31T21:58:20.187+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000011', 'transaction_date': 1753567100186, 'account_id': 'A00058', 'customer_id': 'C00049', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00041', 'transaction_amount': 18063.5, 'exchange_rate': 0.4089}
[2025-07-31T21:58:20.188+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000012', 'transaction_date': 1730930300188, 'account_id': 'A00040', 'customer_id': 'C00019', 'transaction_type': 'Debit', 'currency': 'USD', 'branch_id': 'B00019', 'transaction_amount': 55447.37, 'exchange_rate': 0.3778}
[2025-07-31T21:58:20.188+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000013', 'transaction_date': 1748123900188, 'account_id': 'A00051', 'customer_id': 'C00045', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00064', 'transaction_amount': 98118.61, 'exchange_rate': 0.3481}
[2025-07-31T21:58:20.189+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000014', 'transaction_date': 1729288700189, 'account_id': 'A00005', 'customer_id': 'C00030', 'transaction_type': 'Withdraw', 'currency': 'EUR', 'branch_id': 'B00064', 'transaction_amount': 93254.17, 'exchange_rate': 1.2398}
[2025-07-31T21:58:20.190+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000015', 'transaction_date': 1741730300190, 'account_id': 'A00092', 'customer_id': 'C00053', 'transaction_type': 'Withdraw', 'currency': 'USD', 'branch_id': 'B00042', 'transaction_amount': 79266.89, 'exchange_rate': 0.0139}
[2025-07-31T21:58:20.191+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000016', 'transaction_date': 1753048700191, 'account_id': 'A00053', 'customer_id': 'C00086', 'transaction_type': 'Withdraw', 'currency': 'EUR', 'branch_id': 'B00011', 'transaction_amount': 78072.41, 'exchange_rate': 0.5399}
[2025-07-31T21:58:20.193+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000017', 'transaction_date': 1737064700192, 'account_id': 'A00094', 'customer_id': 'C00040', 'transaction_type': 'Transfer', 'currency': 'USD', 'branch_id': 'B00093', 'transaction_amount': 89892.12, 'exchange_rate': 0.0436}
[2025-07-31T21:58:20.193+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000018', 'transaction_date': 1743285500193, 'account_id': 'A00010', 'customer_id': 'C00013', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00046', 'transaction_amount': 94163.03, 'exchange_rate': 0.5405}
[2025-07-31T21:58:20.194+0000] {kafka_operator.py:55} INFO - Sent transaction {'transaction_id': 'T000019', 'transaction_date': 1736805500194, 'account_id': 'A00057', 'customer_id': 'C00006', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00040', 'transaction_amount': 66447.04, 'exchange_rate': 1.4751}
